ID TIME BLK BLOCK UBI PAY BALANCE MEAN #VOTES #OKVOTES C? BCSIZE CPU BLOCKHASH
222 138 4 4 40 0 0.01 5000000 0 0 False 166171 17.67
222 181 4 4 40 0 0.01 5000000 0 0 False 166275 17.71
222 299 5 5 0 0 40.01 5000000 0 0 False 167917 17.83
222 563 6 5 20 0 40.01 5000000 0 0 False 173016 18.04
222 636 6 6 20 0 40.01 5000000 0 0 False 173120 18.13
222 857 8 7 0 0 20.01 5000000 2 0 False 176971 18.33
222 877 8 8 0 0 20.01 5000000 2 0 False 176971 18.35
222 896 8 8 0 0 20.01 5000000 2 0 False 176971 18.36
222 1388 10 9 0 0 20.01 2557160 3 3 False 179852 18.72
222 1469 10 10 20 40 20.01 2557160 3 3 False 180060 18.82
222 1695 11 11 20 40 20.01 2557160 3 3 False 181311 18.98
222 1777 12 12 0 0 80.01 2557160 3 3 False 183396 19.04
222 2043 13 13 0 0 80.01 2557160 3 3 False 184584 19.11
222 2195 14 14 0 0 40.01 2557160 5 3 False 186309 19.25
222 2487 16 15 0 80 0.01 2821338 7 6 False 189183 19.5
222 2506 16 16 0 80 0.01 2821338 7 6 False 189183 19.51
222 2885 17 17 0 0 80.01 2821338 8 6 False 190719 19.66
222 2983 18 18 20 0 80.01 2821338 8 6 False 191866 19.68
222 3366 19 19 20 0 80.01 2821338 8 6 False 194428 19.86
222 3529 20 20 0 0 60.01 2821338 10 6 False 196256 20.05
222 3971 21 20 0 0 100.01 2821338 9 6 False 200338 20.36
222 3993 21 21 0 0 100.01 2821338 9 6 False 200338 20.37
222 4157 22 22 0 0 20.01 2576359 12 9 False 203140 20.48
222 4239 23 23 0 80 20.01 2737242 12 12 True 204739 20.56
222 4662 24 23 0 0 20.01 2576359 12 9 False 207053 20.8
222 4682 24 24 0 0 20.01 2576359 12 9 False 207053 20.81
222 4843 25 25 0 0 100.01 2737242 12 12 True 209436 20.86
222 4959 26 26 0 0 100.01 2737242 13 12 True 210674 20.99
