ID TIME BLK ESTIMATE W B S1 S2 S3
209 340 2 0.125 0 3 337 282 241
209 9 2 0.071 0 6 333 258 245
209 19 2 0.05 0 9 513 370 277
209 29 2 0.192 2 10 956 934 686
209 39 2 0.281 4 11 906 755 556
209 49 2 0.237 4 14 331 254 242
209 59 2 0.205 4 17 337 261 250
209 69 2 0.18 4 20 344 264 253
209 80 3 0.196 5 22 698 696 728
209 90 3 0.274 8 22 956 954 947
209 100 3 0.338 11 22 958 954 948
209 110 3 0.392 14 22 954 932 910
209 120 3 0.412 16 23 821 742 596
209 130 4 0.384 16 26 328 254 242
209 140 4 0.359 16 29 421 399 441
209 150 4 0.398 19 29 911 952 946
209 160 4 0.394 20 31 341 553 758
209 170 4 0.373 20 34 339 261 249
209 180 4 0.353 20 37 341 263 251
209 190 4 0.336 20 40 339 259 249
209 200 4 0.32 20 43 341 263 250
209 210 4 0.306 20 46 339 261 249
209 220 4 0.293 20 49 430 477 671
209 230 4 0.322 23 49 960 954 941
209 240 4 0.349 26 49 956 950 947
209 250 4 0.373 29 49 961 953 909
209 260 4 0.372 30 51 612 688 765
209 270 4 0.359 30 54 340 262 249
209 280 4 0.347 30 57 332 257 245
209 290 4 0.335 30 60 329 251 240
209 300 4 0.324 30 63 331 253 242
209 310 4 0.325 31 65 574 608 703
209 320 4 0.345 34 65 827 956 951
209 330 4 0.345 35 67 335 485 900
209 341 4 0.363 38 67 839 884 881
209 351 4 0.381 41 67 958 954 949
209 361 4 0.397 44 67 958 953 937
209 371 4 0.387 44 70 362 298 297
209 381 4 0.377 44 73 343 263 252
209 391 4 0.368 44 76 343 263 252
209 401 4 0.359 44 79 339 260 247
209 411 4 0.35 44 82 338 259 248
209 421 4 0.342 44 85 334 256 245
209 431 4 0.335 44 88 334 258 247
209 441 4 0.327 44 91 342 264 252
209 451 4 0.32 44 94 342 263 251
209 461 4 0.313 44 97 339 262 251
209 471 4 0.307 44 100 339 262 251
209 481 4 0.301 44 103 335 259 248
209 491 4 0.295 44 106 340 258 248
209 501 5 0.289 44 109 331 255 248
209 511 5 0.283 44 112 329 253 245
209 521 5 0.278 44 115 327 251 241
209 531 5 0.273 44 118 333 255 244
209 541 5 0.268 44 121 333 258 247
209 551 5 0.263 44 124 332 256 245
209 561 5 0.259 44 127 331 254 245
209 571 5 0.254 44 130 334 259 237
209 581 5 0.25 44 133 335 259 249
209 591 5 0.246 44 136 330 253 242
209 601 5 0.242 44 139 335 252 241
209 611 5 0.238 44 142 328 250 238
209 621 5 0.234 44 145 341 263 251
209 632 5 0.231 44 148 339 260 252
209 642 6 0.227 44 151 340 264 254
209 652 6 0.224 44 154 339 260 248
209 662 6 0.22 44 157 342 263 252
209 672 6 0.217 44 160 341 263 252
209 682 6 0.214 44 163 339 263 252
209 692 6 0.211 44 166 340 262 387
209 702 6 0.213 45 168 337 295 911
209 712 6 0.224 48 168 703 880 899
209 722 6 0.23 50 169 953 885 656
209 732 6 0.226 50 172 483 265 251
209 742 6 0.223 50 175 338 274 250
209 752 6 0.221 50 178 338 261 250
209 762 6 0.218 50 181 335 259 248
209 772 6 0.215 50 184 330 255 245
209 782 6 0.212 50 187 330 256 245
209 792 6 0.21 50 190 328 252 245
209 802 6 0.207 50 193 326 253 247
209 812 6 0.204 50 196 335 260 248
209 822 6 0.202 50 199 334 258 246
209 832 6 0.2 50 202 443 467 573
209 842 6 0.209 53 202 955 944 898
209 852 6 0.218 56 202 956 926 853
209 862 6 0.227 59 202 959 955 942
209 872 6 0.236 62 202 955 941 906
209 882 6 0.244 65 202 959 954 937
209 892 6 0.253 68 202 958 942 917
209 902 6 0.261 71 202 954 935 900
209 913 6 0.262 72 204 889 602 294
209 923 6 0.266 74 205 948 807 332
209 933 6 0.267 75 207 751 554 316
209 943 6 0.264 75 210 436 266 254
209 953 6 0.261 75 213 343 264 253
209 963 6 0.259 75 216 579 327 249
209 973 6 0.266 78 216 956 950 767
209 983 7 0.267 79 218 782 540 303
209 993 7 0.264 79 221 344 265 237
209 1003 7 0.262 79 224 340 262 252
209 1013 7 0.259 79 227 341 264 252
209 1024 7 0.256 79 230 343 264 253
209 1034 7 0.254 79 233 341 264 251
209 1044 7 0.252 79 236 375 263 250
209 1054 7 0.249 79 239 424 386 600
209 1064 7 0.256 82 239 883 859 821
209 1074 7 0.263 85 239 954 925 885
209 1084 7 0.264 86 241 585 674 740
209 1094 7 0.261 86 244 396 256 247
209 1104 7 0.259 86 247 336 260 248
209 1114 7 0.257 86 250 328 254 246
209 1124 7 0.254 86 253 325 253 245
209 1134 7 0.255 87 255 576 687 848
209 1144 7 0.262 90 255 744 905 951
209 1154 7 0.259 90 258 333 259 401
209 1164 7 0.257 90 261 332 259 250
209 1174 7 0.255 90 264 633 601 599
209 1184 7 0.261 93 264 954 948 936
209 1194 7 0.267 96 264 952 929 890
209 1204 7 0.273 99 264 952 939 792
209 1214 7 0.279 102 264 951 945 913
209 1224 7 0.285 105 264 954 951 947
209 1234 7 0.291 108 264 958 953 947
209 1244 7 0.294 110 265 877 731 574
209 1254 7 0.292 110 268 341 264 251
209 1264 7 0.289 110 271 341 261 249
209 1274 7 0.287 110 274 335 257 246
209 1284 9 0.29 112 275 663 737 855
209 1294 10 0.295 115 275 955 925 900
209 1304 10 0.298 117 276 951 731 482
209 1314 10 0.296 117 279 342 259 249
209 1325 10 0.294 117 282 337 261 250
209 1335 10 0.292 117 285 338 262 251
209 1345 10 0.289 117 288 334 260 250
209 1355 10 0.287 117 291 336 260 248
209 1365 10 0.285 117 294 334 258 246
209 1375 10 0.283 117 297 337 259 245
209 1385 10 0.281 117 300 329 252 239
209 1395 10 0.279 117 303 327 251 243
209 1405 10 0.277 117 306 530 318 242
209 1415 10 0.282 120 306 946 880 730
209 1425 10 0.287 123 306 957 946 930
209 1435 10 0.292 126 306 960 956 950
209 1446 10 0.297 129 306 957 947 925
209 1456 10 0.302 132 306 961 956 949
