S1 S2 S3
0 0 0
350 374 614
457 489 765
425 462 725
453 485 768
396 433 669
435 460 726
371 386 614
404 415 642
379 386 615
403 418 653
417 436 694
373 391 642
351 375 609
340 360 591
335 356 588
351 370 599
362 379 614
454 489 762
390 405 655
449 477 741
440 449 719
435 446 679
441 461 734
444 968 974
966 967 973
966 966 973
963 965 972
960 962 971
958 962 971
864 961 970
369 958 969
409 440 707
451 481 756
453 468 758
446 481 761
449 477 763
449 481 771
452 478 761
422 461 742
385 422 972
386 962 972
955 962 972
960 962 971
960 960 969
960 960 968
957 959 968
955 959 968
955 959 969
898 956 969
348 954 968
352 385 969
379 406 729
391 417 677
415 444 704
423 449 713
409 445 727
422 461 778
388 478 974
492 964 974
369 960 971
353 406 969
353 377 785
353 373 605
349 366 595
352 375 606
348 370 914
364 741 969
746 943 967
957 952 967
962 958 968
965 964 970
967 967 971
968 968 975
966 966 972
967 967 974
966 967 973
963 964 971
697 958 967
357 379 625
364 381 612
363 379 613
381 397 641
384 403 652
431 444 716
966 457 723
961 961 965
964 966 973
963 964 973
963 964 972
968 969 975
954 955 967
954 957 968
846 930 965
341 364 615
334 354 583
338 355 583
343 362 587
385 405 630
462 479 765
429 459 716
412 431 681
373 387 634
348 373 612
343 363 602
338 355 591
345 364 598
353 370 609
359 378 617
454 489 773
441 468 757
414 438 701
367 389 631
364 384 617
361 378 609
359 381 614
352 377 613
354 374 611
347 371 608
345 366 600
346 371 605
349 373 610
350 373 614
355 376 619
359 379 623
361 378 623
364 376 626
366 379 624
367 387 625
364 381 611
362 379 608
358 379 612
359 378 617
356 377 613
354 396 620
354 379 623
351 383 623
352 382 626
361 396 631
373 404 640
425 415 650
959 962 967
962 963 970
963 963 969
963 961 969
963 961 969
960 959 968
957 955 967
968 968 975
959 960 969
959 969 975
453 968 975
376 416 970
371 409 665
454 493 772
389 418 676
412 442 708
454 486 765
387 402 651
962 422 673
947 933 706
925 937 960
923 927 612
900 461 611
815 381 632
359 391 661
372 410 672
396 453 687
389 415 655
451 484 773
421 460 769
428 476 727
447 489 744
399 426 737
459 480 810
456 472 761
404 425 704
452 469 759
367 394 644
453 486 772
452 483 769
447 484 763
457 483 772
455 477 757
452 481 975
444 967 974
457 969 975
417 435 970
359 377 617
380 396 640
370 391 640
366 384 624
393 403 651
451 477 817
437 463 975
446 969 975
422 476 975
405 433 716
348 356 597
379 388 635
442 449 718
452 468 754
455 469 751
457 963 765
450 969 975
512 969 976
963 969 974
966 968 975
967 968 975
966 969 975
435 478 962
437 474 774
444 479 770
448 476 781
421 463 743
813 451 588
968 965 773
960 961 958
957 957 964
941 939 963
946 915 613
871 383 621
365 390 640
379 399 667
379 407 669
381 412 673
377 404 671
367 391 647
364 388 964
366 956 969
954 958 969
954 957 968
952 952 966
911 913 964
861 882 963
781 893 964
409 962 972
956 960 970
956 958 968
964 964 972
969 969 975
965 965 972
965 963 970
958 957 967
955 954 966
444 522 891
350 374 615
343 364 606
342 362 601
346 367 602
364 383 623
379 399 640
456 489 780
419 437 718
393 417 673
369 396 644
367 389 640
382 401 640
421 451 733
404 439 713
399 431 699
440 477 753
469 485 777
457 488 768
453 488 783
452 489 777
969 969 782
968 970 975
969 970 975
968 969 975
968 970 975
968 970 975
969 969 775
455 857 782
455 485 800
384 416 684
440 481 763
433 475 781
395 435 728
454 487 787
404 425 697
379 399 651
386 417 677
394 417 692
394 421 687
410 435 684
422 429 684
957 425 623
966 965 969
967 966 973
967 969 975
967 969 975
967 968 975
964 967 975
964 967 974
967 969 975
967 969 975
968 969 975
967 969 975
960 963 972
