S1 S2 S3
0 0 0
340 218 286
356 230 312
490 320 402
399 273 352
346 227 305
420 279 364
349 225 295
356 230 300
355 231 301
355 230 301
353 228 298
345 228 300
347 227 297
346 226 296
349 224 291
934 507 298
953 722 299
955 732 305
956 751 312
953 748 459
952 759 867
956 832 946
957 853 948
959 860 952
960 879 953
963 953 958
958 853 937
954 782 892
968 960 965
952 748 803
802 366 287
341 217 277
340 217 282
351 224 292
338 220 291
362 238 313
366 235 311
492 315 409
411 548 961
390 632 883
699 230 359
596 235 309
406 225 295
357 223 290
346 217 284
343 218 282
341 220 285
338 216 285
339 218 289
346 225 293
342 221 289
340 219 287
339 218 289
343 221 291
422 276 356
384 248 315
421 272 341
385 256 330
367 242 321
352 231 310
335 220 295
320 211 452
320 214 739
326 280 827
330 553 883
472 300 965
437 274 367
369 225 298
349 220 286
356 231 302
361 237 314
352 233 305
346 229 306
345 226 303
388 271 354
365 242 323
347 236 320
335 217 291
968 290 385
920 226 298
345 216 279
339 216 280
339 217 281
335 217 284
340 221 290
343 221 293
360 227 298
945 232 294
465 287 371
707 261 332
957 234 302
966 832 329
959 820 314
957 815 877
956 796 901
947 655 300
549 224 290
347 228 295
352 231 303
369 243 320
384 251 327
390 256 328
396 259 332
399 256 330
379 251 320
489 309 415
364 231 298
379 239 302
371 237 303
375 240 303
384 256 312
395 258 325
384 257 321
377 256 332
354 233 316
344 227 809
340 301 884
352 713 928
851 766 946
383 719 933
341 231 862
335 219 296
339 220 289
349 226 293
371 238 312
378 250 321
387 258 338
390 259 341
357 239 312
488 320 418
361 234 314
493 321 421
347 231 307
342 229 308
346 232 317
358 242 332
375 256 346
396 271 358
421 275 350
436 284 362
409 268 344
378 256 335
356 239 322
353 246 331
355 243 338
366 251 346
373 257 356
371 257 352
493 330 431
393 258 331
504 321 428
507 324 413
500 320 425
552 881 964
968 960 965
967 960 964
967 960 964
967 958 962
968 961 965
967 960 964
406 263 337
326 211 278
326 210 280
333 219 292
359 247 342
447 307 424
484 320 423
500 314 420
484 324 409
503 320 423
501 329 428
481 309 382
445 283 356
438 281 351
442 279 358
420 269 341
388 248 313
354 228 300
359 239 320
405 264 358
411 273 356
401 271 359
395 263 344
363 243 312
356 233 310
359 243 315
945 751 934
950 760 926
941 725 900
926 708 889
879 656 828
875 655 807
722 490 466
347 226 296
354 230 300
367 236 315
340 222 289
340 220 289
340 221 289
344 223 290
345 222 293
339 229 292
341 221 293
341 221 292
342 222 289
337 216 284
330 214 279
335 212 280
338 220 283
339 218 286
342 220 287
347 224 292
350 570 741
341 583 725
341 559 704
499 317 895
389 257 333
349 225 294
346 225 291
342 219 286
335 215 282
332 214 281
345 214 287
373 221 293
339 221 291
339 226 295
348 226 297
356 231 296
371 234 298
362 229 294
355 230 294
356 231 292
360 231 296
356 227 295
353 226 294
352 225 295
359 231 299
352 234 320
349 271 847
539 650 846
780 607 808
802 600 781
799 583 759
774 576 741
527 606 764
355 601 777
353 231 314
350 226 296
352 229 300
359 234 302
359 231 300
365 229 302
370 233 300
375 238 298
372 236 295
408 267 342
432 278 357
420 277 362
374 265 325
385 665 812
861 635 861
840 607 787
802 576 742
811 588 745
774 543 689
758 547 687
460 552 689
344 448 714
968 960 964
954 823 953
840 635 796
871 640 741
869 620 356
878 579 294
867 233 291
446 228 299
346 224 291
356 235 304
347 228 294
334 224 287
355 231 303
352 229 302
346 226 382
342 230 785
375 364 949
465 309 947
365 236 696
344 223 290
347 224 293
343 224 290
335 219 286
335 217 288
338 221 288
492 316 412
344 224 294
362 238 310
353 227 302
354 230 303
345 224 297
344 225 297
346 227 300
342 225 299
343 226 300
344 227 306
344 225 298
344 223 291
489 320 418
354 232 304
347 224 295
341 220 289
342 220 288
344 221 288
349 227 292
355 227 295
