S1 S2 S3
0 0 0
243 299 248
266 324 264
251 307 246
262 317 259
269 325 261
269 325 263
269 325 263
270 326 265
271 326 264
271 326 264
275 326 263
269 324 261
273 325 263
269 323 261
267 320 260
268 320 261
271 328 265
271 326 263
271 324 263
270 326 265
271 327 265
263 318 259
270 329 264
228 285 353
263 316 959
266 964 960
271 322 960
265 324 263
267 324 265
233 291 242
263 323 260
270 324 263
268 325 265
236 291 239
270 327 264
267 326 263
271 324 263
236 292 241
265 317 256
261 314 256
270 325 265
274 326 264
269 327 265
271 327 265
270 325 263
268 325 263
228 285 749
225 749 908
222 286 865
224 284 893
226 285 897
231 297 939
967 967 960
964 967 957
964 966 957
966 967 958
967 967 957
967 964 955
967 966 819
967 967 263
967 321 262
262 322 263
265 322 263
967 320 257
968 502 262
968 967 259
968 967 956
968 966 954
966 963 945
964 961 945
966 966 957
965 964 954
966 965 954
963 962 947
967 966 958
967 967 960
966 966 958
967 967 960
956 965 958
258 966 260
259 317 261
259 317 261
259 320 261
261 320 262
260 320 263
259 317 262
263 321 268
262 325 264
264 323 264
230 287 239
269 327 264
262 320 258
267 327 265
233 293 239
270 326 264
267 323 262
269 324 263
267 326 263
269 326 264
269 329 265
270 327 264
271 330 266
271 328 269
270 327 264
265 320 260
270 325 267
267 324 264
266 324 263
260 320 262
260 320 267
256 314 960
238 591 957
227 961 954
231 961 951
579 963 954
966 965 959
967 966 960
867 966 960
268 323 945
280 332 266
274 332 263
275 334 266
280 332 268
274 327 265
265 322 258
265 322 261
263 326 261
260 320 262
262 320 264
261 322 263
260 321 262
258 320 263
257 320 264
257 320 265
257 316 265
964 965 958
964 964 958
965 965 958
966 966 959
966 966 958
967 967 960
966 966 957
966 965 958
966 965 959
966 965 959
965 965 958
965 965 959
965 965 959
965 964 958
964 964 958
286 372 268
258 320 263
258 320 269
259 325 280
258 317 280
201 268 235
258 325 277
274 331 273
555 308 240
967 967 959
967 967 264
968 329 266
964 956 246
966 965 246
966 964 949
964 960 289
968 504 329
967 428 327
403 465 352
412 457 349
419 457 353
382 434 339
358 400 320
382 420 324
392 433 335
341 388 308
308 351 513
399 963 958
965 964 327
967 967 348
967 967 365
968 967 842
968 967 960
968 967 960
968 968 948
411 414 335
477 389 305
352 391 297
418 463 352
418 456 356
418 458 355
418 462 353
406 458 350
393 458 356
410 455 352
417 455 352
417 448 355
416 459 352
410 456 348
398 458 353
405 453 349
409 437 348
388 423 369
394 423 958
330 378 949
382 434 958
405 445 959
413 456 960
414 454 960
403 451 960
