S1 S2 S3
0 0 0
176 261 237
188 278 248
189 281 256
189 280 248
190 281 248
190 282 256
189 284 250
185 275 246
174 258 236
196 284 0
193 284 251
193 283 250
193 285 256
192 285 256
195 286 256
194 283 256
193 284 256
192 285 256
194 290 277
193 287 960
190 282 960
189 287 961
184 960 961
178 348 960
175 262 239
172 256 235
168 256 233
167 256 233
189 279 248
190 284 250
922 283 249
963 967 939
963 967 961
963 967 960
963 967 961
963 966 960
962 966 960
962 966 960
963 965 958
961 967 960
192 266 243
199 287 249
204 289 273
194 287 847
192 284 960
188 280 961
176 263 957
497 264 946
922 943 234
950 611 223
956 274 231
963 276 248
963 283 248
963 285 256
961 280 249
881 964 256
962 966 960
963 966 960
963 966 960
963 966 961
963 966 960
963 967 961
962 966 961
962 967 961
962 967 961
962 967 960
963 966 960
963 967 961
963 967 961
963 967 960
963 967 960
194 305 960
192 282 249
194 284 248
193 281 248
192 284 249
190 277 246
193 280 248
194 280 262
196 282 326
192 281 261
192 281 250
192 290 256
194 284 256
192 312 256
190 376 250
197 290 250
164 248 228
164 245 225
192 293 256
217 289 256
267 288 256
197 287 256
273 287 256
194 285 256
963 368 256
963 951 256
963 966 949
963 966 959
963 967 960
961 965 957
963 967 961
963 967 961
963 966 960
962 966 960
960 965 958
955 965 748
187 955 246
186 268 241
171 250 231
194 281 250
191 290 248
192 280 250
189 280 250
188 278 256
189 281 248
191 280 711
188 280 960
189 967 961
189 964 961
185 269 960
189 279 317
190 277 256
190 280 249
193 272 244
192 281 248
191 277 960
193 965 958
962 967 960
962 966 960
291 966 960
195 967 961
192 284 961
192 281 553
192 281 248
190 280 248
192 281 256
187 274 244
167 256 232
182 270 244
190 278 246
192 279 250
189 278 248
186 274 244
188 279 246
190 280 248
189 278 246
193 282 248
191 282 248
191 280 246
192 283 246
190 278 245
190 276 245
189 277 245
190 278 248
188 275 245
187 275 245
187 275 248
187 275 248
962 966 961
961 966 961
961 966 961
962 967 961
961 966 961
960 965 960
962 966 961
186 282 248
188 277 248
187 275 246
191 279 249
185 271 243
186 276 247
182 268 242
182 271 245
182 271 245
181 271 245
179 273 243
171 259 239
167 256 235
165 256 236
176 273 244
168 257 240
159 239 226
186 274 246
186 277 246
187 274 246
189 276 247
190 281 246
188 277 247
188 277 246
186 270 242
188 276 244
158 236 219
184 264 233
192 272 238
189 274 241
188 275 241
186 271 243
185 271 242
182 270 239
178 263 235
177 257 232
178 256 233
187 274 244
190 276 247
183 266 240
189 278 246
188 278 247
963 963 246
963 966 960
959 962 952
963 966 959
960 964 956
963 966 960
963 967 960
963 967 960
188 282 961
189 275 242
186 271 241
188 280 248
189 280 248
190 280 249
189 279 248
190 280 248
189 278 247
189 278 247
189 277 250
189 278 247
189 277 249
189 277 246
190 277 248
190 280 248
192 278 248
190 277 248
190 278 247
191 277 249
192 280 248
191 282 249
199 279 250
192 282 248
192 281 249
189 277 256
191 280 256
167 249 228
191 281 250
192 280 250
192 280 249
193 282 256
195 283 364
196 286 961
194 432 960
195 966 960
962 966 958
962 965 958
962 964 957
963 966 959
963 966 959
963 967 961
950 957 925
962 966 960
963 967 960
963 962 250
266 279 249
199 280 248
193 278 249
193 281 250
196 280 250
193 279 249
194 278 256
192 277 248
194 282 250
196 278 248
192 277 245
191 278 246
190 271 242
195 281 250
192 278 247
193 278 246
195 282 250
193 280 248
198 282 250
196 281 251
195 285 256
199 283 250
197 282 0
197 282 251
196 286 249
197 284 256
201 281 249
182 266 236
184 263 239
193 274 245
194 271 246
189 271 240
188 264 237
192 276 245
162 231 218
193 274 246
195 286 250
194 288 250
197 280 256
197 282 256
196 278 249
196 282 250
195 280 249
190 270 243
195 280 249
192 274 246
193 279 248
194 281 249
195 283 249
197 280 248
178 256 229
193 282 248
181 259 231
194 273 240
200 277 245
193 278 250
197 275 248
195 276 247
190 276 245
195 282 249
194 279 961
960 966 960
963 966 961
963 967 961
953 960 675
960 964 958
963 967 961
960 964 957
961 965 957
961 965 959
960 965 959
961 965 958
962 967 961
193 280 960
194 274 249
192 271 246
194 277 250
192 288 256
194 277 256
192 280 256
171 246 231
192 280 256
189 271 248
162 238 225
188 264 244
191 285 256
193 279 256
190 280 251
191 277 256
175 256 236
193 278 256
187 270 243
611 279 256
216 281 256
192 280 256
195 281 256
194 275 246
193 274 256
195 279 250
190 275 250
186 268 244
188 271 244
185 265 239
192 273 243
188 269 244
195 279 256
177 260 236
172 256 234
186 267 245
191 276 249
188 271 247
193 284 256
193 278 256
190 275 256
193 280 256
193 280 256
194 277 251
193 275 247
191 251 244
174 232 230
194 266 256
193 258 246
195 262 249
194 263 256
196 265 251
194 259 250
194 265 256
194 265 256
194 269 256
181 247 236
192 267 256
192 260 250
194 268 256
196 268 256
196 267 256
195 269 256
196 265 256
197 265 256
195 265 256
196 268 256
192 263 256
187 250 243
187 256 242
187 256 243
193 260 250
196 261 248
195 268 256
197 267 256
195 265 250
192 258 249
194 263 256
189 259 250
194 263 251
193 264 256
195 266 256
192 259 248
194 264 256
193 267 250
194 263 250
192 260 248
190 256 244
196 260 249
201 268 256
195 263 250
196 269 248
195 274 256
193 265 256
197 268 256
198 267 258
195 270 256
195 268 256
197 274 258
202 280 260
198 270 256
204 275 259
203 275 258
201 273 257
203 275 258
201 270 256
193 256 243
201 275 256
206 268 256
196 271 256
197 271 257
188 250 241
271 272 256
197 410 247
171 229 221
193 256 239
174 230 229
182 243 236
199 269 256
194 262 249
197 269 256
199 266 256
199 271 256
199 270 250
195 263 250
196 268 248
198 265 250
197 264 249
199 268 251
197 260 245
201 266 250
198 265 248
196 258 247
199 264 248
198 268 0
199 265 249
199 265 251
962 966 961
960 963 956
200 966 961
955 966 960
958 963 956
960 964 959
960 965 960
960 964 958
962 967 961
962 965 961
957 962 955
960 964 957
962 966 960
960 964 957
962 966 960
963 967 960
963 967 957
963 967 960
963 966 961
963 966 961
962 966 961
962 967 961
962 967 961
962 965 959
962 965 959
961 964 957
962 965 960
962 966 961
962 965 951
961 964 239
962 258 248
197 263 250
196 260 249
196 263 506
198 266 256
198 264 250
199 265 248
199 265 248
197 265 249
199 266 961
198 966 961
958 967 961
962 966 961
963 967 961
962 967 961
962 966 960
962 966 960
962 966 961
962 965 956
960 962 235
961 249 235
198 246 233
187 238 229
186 241 236
190 246 238
192 256 239
190 249 234
198 264 250
198 264 250
196 257 243
199 268 249
196 263 248
198 263 248
199 263 248
196 265 256
196 265 250
198 265 250
197 259 244
188 249 242
197 262 250
248 267 250
963 334 256
963 967 263
963 967 961
962 966 961
962 966 961
962 967 961
962 966 961
960 964 959
960 965 505
197 966 245
197 260 243
185 239 229
186 244 232
193 256 241
196 265 248
197 267 250
197 265 250
197 266 250
196 266 250
196 265 257
193 263 961
192 967 961
184 761 961
190 260 961
190 256 244
184 245 237
195 265 246
201 268 250
197 263 250
197 263 249
196 263 248
197 262 248
195 259 244
196 262 247
196 258 245
196 261 246
194 261 248
194 259 246
195 263 249
195 263 250
194 261 251
194 261 886
195 263 961
191 261 960
193 322 961
193 965 961
194 966 961
197 966 961
196 328 961
194 261 246
196 263 248
197 264 250
197 261 246
197 263 249
200 265 250
927 256 242
962 965 818
960 961 941
962 966 955
961 964 953
961 964 955
962 966 960
962 965 958
961 965 956
180 645 724
194 258 246
198 268 256
196 264 251
194 262 248
197 265 250
198 265 250
195 261 248
962 264 250
963 967 961
962 966 961
963 967 961
962 966 960
963 967 961
963 966 960
963 967 961
962 967 961
963 967 961
962 967 961
962 966 961
962 967 948
961 960 239
200 263 247
201 274 256
203 268 248
202 261 246
188 246 236
199 264 248
198 267 250
201 269 256
198 266 256
201 274 251
199 266 250
199 271 256
199 267 250
199 267 250
201 268 256
198 266 256
198 267 256
199 264 256
199 264 251
199 267 250
197 266 249
196 263 259
195 957 961
962 966 961
962 966 960
198 967 961
179 963 958
175 576 955
182 243 955
197 260 956
198 264 511
197 966 961
962 967 961
962 966 961
962 966 961
962 966 961
962 967 961
962 966 961
963 967 961
962 966 961
369 966 961
200 967 961
198 965 961
199 265 961
197 260 961
199 264 295
197 263 248
197 269 256
196 265 250
190 0 239
189 256 243
194 260 247
196 265 250
196 266 250
962 264 250
962 963 250
962 966 251
961 965 960
960 965 961
960 965 961
962 966 248
962 796 239
962 257 243
185 246 236
194 261 247
195 263 247
197 264 250
195 268 250
197 266 256
196 264 249
195 264 250
196 264 249
196 263 247
197 268 248
196 265 248
196 262 245
194 263 246
194 263 246
195 265 245
194 261 243
194 257 240
193 256 239
194 257 242
194 262 246
195 263 248
194 262 248
958 260 250
962 261 248
194 263 245
184 248 238
194 258 246
187 256 240
193 263 247
195 263 247
195 261 257
196 262 960
195 265 961
195 293 961
193 963 961
195 967 961
195 967 961
956 967 961
183 956 960
184 245 239
192 257 242
195 260 246
195 264 249
195 264 249
195 265 256
194 263 248
949 266 250
962 967 280
962 966 960
963 967 302
963 967 248
963 967 249
963 398 248
962 263 248
197 262 248
196 260 245
194 263 245
193 264 247
194 262 245
195 263 247
194 263 249
196 262 246
193 264 245
194 264 249
194 265 249
195 263 248
189 507 239
175 234 225
194 263 248
192 266 243
194 265 248
195 261 248
194 268 248
193 261 246
193 263 249
195 265 248
193 261 246
193 262 248
192 262 246
180 240 243
192 264 509
194 270 249
197 270 250
196 269 251
195 268 248
196 265 249
196 267 256
198 269 256
198 270 256
198 270 256
174 236 229
199 271 256
178 242 231
193 259 245
193 258 242
201 270 250
184 242 229
192 258 237
197 263 244
180 239 227
198 265 243
196 256 234
199 267 238
199 271 243
197 273 250
194 266 249
199 257 256
199 263 242
188 271 246
192 263 256
196 256 256
199 264 249
202 271 256
198 274 249
193 267 256
203 259 256
199 374 246
195 256 237
198 256 245
200 256 234
205 267 239
201 269 246
198 270 250
197 265 249
191 262 248
196 263 250
191 263 249
178 246 242
180 249 243
189 261 249
199 270 256
185 256 240
193 261 250
195 261 247
194 260 244
193 256 249
196 266 249
200 271 251
201 271 256
202 273 250
202 271 251
205 276 256
206 277 256
207 277 256
207 278 258
210 279 258
206 278 258
199 271 256
197 263 250
173 229 230
180 243 237
185 256 245
182 247 238
193 262 249
195 263 248
198 271 250
201 270 256
201 274 256
201 271 256
199 266 249
196 262 247
197 438 957
963 966 960
963 967 960
962 966 960
962 966 960
961 965 959
961 965 959
962 966 961
962 967 961
198 967 961
197 367 960
184 248 957
196 263 780
194 262 248
190 256 243
200 270 250
196 261 244
174 233 227
198 257 241
194 256 241
194 259 239
195 259 243
197 262 246
181 240 231
187 256 238
197 262 249
199 256 244
187 243 235
194 256 243
199 258 246
189 250 238
191 250 239
194 258 241
193 256 240
192 256 243
200 268 248
197 260 244
199 262 245
188 249 239
194 256 243
198 261 247
198 267 256
198 264 249
196 545 959
961 966 960
961 965 960
962 966 961
962 966 961
961 966 960
962 966 960
962 966 961
961 957 256
180 245 234
195 263 249
190 256 242
192 256 244
196 264 249
193 260 248
195 263 248
185 245 236
169 224 223
181 239 232
192 258 244
201 262 248
196 265 507
194 256 244
195 263 246
196 268 248
188 256 241
196 269 248
197 267 249
188 256 241
192 259 250
191 258 246
190 256 245
194 260 248
195 261 256
177 244 241
181 249 954
192 964 957
957 962 460
961 965 957
960 964 957
960 964 957
957 962 954
960 964 958
962 965 256
957 268 249
191 263 249
192 259 256
852 242 235
195 261 260
198 265 256
956 262 256
367 263 256
961 948 248
197 224 230
239 256 256
944 264 228
960 250 242
949 957 674
957 962 248
952 959 943
953 960 950
954 960 947
957 962 952
960 966 958
961 964 956
955 959 950
959 964 957
957 962 955
961 965 960
962 966 960
959 963 956
959 964 957
962 966 960
959 963 954
959 259 256
840 409 223
175 242 234
198 263 256
199 266 257
199 266 256
198 265 258
198 267 257
196 262 256
198 262 256
195 260 256
199 266 960
198 966 960
960 964 958
960 965 958
961 965 958
962 967 960
962 966 960
962 966 960
962 966 960
962 966 256
962 261 256
200 264 256
197 267 257
173 232 235
199 269 259
194 260 256
192 231 234
197 264 256
198 263 260
188 256 246
180 237 238
191 256 248
201 270 262
200 268 256
200 266 256
198 266 256
198 266 256
199 268 256
200 266 256
201 266 256
200 270 256
200 264 256
192 256 246
179 234 233
196 260 248
198 262 256
198 262 256
199 263 256
199 269 256
198 262 256
195 260 256
199 262 256
199 265 256
199 266 256
199 263 256
201 265 256
198 262 256
200 265 256
199 266 256
198 267 256
196 259 248
199 261 960
199 966 961
962 966 960
957 962 952
960 964 957
959 963 957
943 956 942
949 959 949
950 958 945
955 962 421
961 287 256
195 259 256
198 263 256
197 265 256
198 260 256
195 263 256
194 258 249
192 256 250
193 257 281
192 823 960
949 966 960
961 965 960
960 964 957
961 966 961
960 966 960
415 963 956
192 964 958
192 405 958
185 243 955
198 262 291
197 259 256
199 267 256
199 266 260
193 258 256
198 263 256
199 263 256
194 259 256
193 282 960
207 966 960
197 965 958
201 351 960
196 256 959
194 256 602
186 249 242
184 245 239
201 268 258
204 270 260
204 268 259
204 273 257
200 268 256
203 276 256
172 225 229
199 265 256
202 269 258
188 250 243
202 267 256
199 261 250
202 270 259
204 270 256
197 257 249
210 274 256
199 262 249
201 271 256
198 961 958
959 964 957
960 966 960
962 966 256
962 967 262
950 958 946
952 960 948
958 963 954
961 965 957
961 965 959
962 966 960
961 965 957
960 963 956
962 965 960
962 965 958
962 966 958
961 965 958
956 962 953
953 961 952
952 960 950
947 957 947
958 964 959
939 961 954
196 965 958
166 548 903
199 260 353
195 260 256
202 274 260
201 268 261
203 268 258
204 270 259
199 266 256
198 266 256
203 270 256
203 274 258
199 268 256
202 269 256
202 275 257
198 263 256
200 265 256
203 268 257
201 267 256
202 267 256
204 271 258
202 266 256
202 270 257
202 270 258
202 271 256
765 264 256
204 270 258
184 248 239
203 960 960
961 966 960
958 965 958
956 962 956
961 965 960
958 962 957
962 965 960
962 966 959
961 945 256
199 257 246
203 271 256
179 241 236
200 263 256
186 242 241
184 239 236
203 270 257
193 257 248
200 271 259
200 267 256
202 269 259
198 265 257
194 263 256
190 256 248
188 256 245
201 275 257
198 268 256
197 262 256
195 256 248
202 268 258
193 256 248
202 263 250
189 249 243
198 262 256
189 250 243
181 239 235
181 236 236
192 244 240
202 266 259
179 238 238
188 244 242
193 259 248
196 261 256
206 273 259
204 278 258
205 271 260
201 257 248
206 280 263
173 231 232
204 278 262
206 276 259
204 275 257
178 235 235
188 248 241
204 270 259
199 263 257
198 266 256
200 271 256
201 273 260
193 258 250
200 268 258
198 265 256
205 268 258
202 271 261
202 271 259
199 270 260
199 270 256
202 273 260
202 273 258
204 271 259
201 270 960
180 226 469
184 241 238
178 236 234
194 258 256
201 268 256
199 268 256
202 268 257
188 256 248
198 265 256
196 261 256
202 267 256
202 269 257
177 235 234
200 270 256
205 269 256
206 276 256
206 270 313
205 266 958
198 261 959
204 269 960
200 956 960
200 966 960
203 966 960
212 965 958
193 256 567
199 265 257
188 250 248
181 235 239
189 248 245
182 238 239
202 265 257
199 266 257
174 231 234
184 244 243
198 262 258
200 262 307
200 641 956
954 960 949
956 961 951
958 963 956
960 964 956
962 966 960
962 967 961
954 958 946
945 956 928
958 963 955
957 965 911
173 389 233
195 281 958
182 957 949
186 962 954
544 966 960
958 963 955
961 965 957
962 966 960
199 792 960
192 258 256
199 262 256
193 256 248
199 267 258
197 262 256
193 256 248
182 239 238
203 268 258
199 264 257
202 270 961
201 966 961
201 967 961
536 967 961
962 966 961
962 966 961
961 966 960
954 966 960
200 281 960
200 259 256
207 271 256
196 263 256
196 263 256
194 258 256
193 256 256
