ID TIME BLK #BLOCKS
222 24.343 3 1
222 74.057 3 1
222 106.553 4 1
222 144.868 6 2
222 157.824 7 2
222 170.91 8 1
222 216.898 9 1
222 354.995 10 1
222 361.512 14 4
222 375.856 15 1
222 417.254 16 1
222 458.201 17 2
222 494.607 19 2
222 506.583 20 1
222 516.903 21 1
222 575.172 24 3
222 604.097 26 1
222 607.799 26 1
222 615.357 26 1
222 630.007 27 1
222 684.75 28 1
222 694.89 30 2
222 744.704 31 1
222 749.128 33 2
222 756.492 34 1
222 777.322 35 1
222 792.784 36 1
222 894.118 37 1
222 955.42 39 2
222 975.517 40 1
