ID TIME BLK ESTIMATE W B S1 S2 S3
224 9.043 2 0.125 0 3 271 274 218
224 10.059 2 0.071 0 6 261 269 211
224 11.06 2 0.05 0 9 382 400 354
224 12.061 2 0.269 3 9 944 954 906
224 13.072 2 0.406 6 9 953 961 926
224 14.074 2 0.5 9 9 959 963 950
224 15.081 2 0.568 12 9 851 962 949
224 16.082 2 0.54 13 11 270 421 736
224 17.083 3 0.589 16 11 926 962 939
224 18.096 3 0.629 19 11 960 963 944
224 19.103 3 0.662 22 11 960 963 947
224 20.104 3 0.689 25 11 958 963 948
224 21.105 3 0.713 28 11 957 961 946
224 22.111 3 0.733 31 11 956 962 749
224 23.112 3 0.728 33 12 873 856 222
224 24.114 3 0.684 33 15 265 278 217
224 25.115 3 0.644 33 18 274 282 216
224 26.117 3 0.609 33 21 269 287 220
224 27.118 3 0.612 35 22 798 724 534
224 28.126 3 0.615 37 23 952 888 384
224 29.134 3 0.586 37 26 604 283 217
224 30.136 3 0.56 37 29 549 296 222
224 31.145 3 0.55 38 31 800 534 220
224 32.146 3 0.568 41 31 946 953 756
224 33.149 3 0.559 42 33 730 635 367
224 34.149 3 0.538 42 36 252 263 208
224 35.151 3 0.518 42 39 259 270 211
224 36.152 3 0.5 42 42 229 261 206
224 37.153 3 0.483 42 45 245 253 201
224 38.154 3 0.467 42 48 254 263 205
224 39.158 3 0.452 42 51 252 260 203
224 40.159 3 0.438 42 54 657 689 662
224 41.16 3 0.455 45 54 959 964 949
224 42.162 3 0.471 48 54 960 964 950
224 43.164 3 0.486 51 54 959 962 908
224 44.165 3 0.5 54 54 958 960 859
224 45.166 3 0.487 54 57 563 646 663
224 46.168 3 0.474 54 60 267 276 217
224 47.169 3 0.462 54 63 269 278 218
224 48.171 3 0.45 54 66 265 272 212
224 49.179 3 0.44 54 69 258 268 210
224 50.181 3 0.429 54 72 269 282 218
224 51.188 3 0.419 54 75 262 276 214
224 52.186 3 0.41 54 78 264 271 213
224 53.187 3 0.401 54 81 261 270 212
224 54.192 3 0.392 54 84 267 278 215
224 55.222 3 0.384 54 87 270 279 216
224 56.223 3 0.376 54 90 264 363 527
224 57.224 3 0.389 57 90 807 959 946
224 58.225 3 0.401 60 90 955 960 937
224 59.226 3 0.412 63 90 928 960 947
224 60.227 3 0.404 63 93 261 347 339
224 61.227 3 0.397 63 96 259 269 210
224 62.229 3 0.39 63 99 264 276 214
224 63.23 3 0.383 63 102 272 278 218
224 64.231 3 0.388 65 103 576 738 831
224 65.232 3 0.398 68 103 961 963 950
224 66.234 3 0.409 71 103 962 964 951
224 67.234 3 0.413 73 104 880 896 605
224 68.236 3 0.406 73 107 346 276 217
224 69.237 3 0.399 73 110 271 278 219
224 70.239 3 0.393 73 113 272 279 220
224 71.259 3 0.387 73 116 272 278 220
224 72.271 3 0.381 73 119 272 280 221
224 73.272 3 0.375 73 122 269 282 218
224 74.28 3 0.369 73 125 273 280 219
224 75.281 3 0.364 73 128 272 277 218
224 76.282 3 0.359 73 131 256 267 207
224 77.297 3 0.353 73 134 583 597 521
224 78.298 3 0.363 76 134 962 965 950
224 79.3 3 0.371 79 134 960 962 911
224 80.301 3 0.38 82 134 803 964 951
224 81.302 3 0.384 84 135 466 764 760
224 82.303 3 0.392 87 135 962 964 950
224 83.305 3 0.4 90 135 961 964 950
224 84.306 3 0.408 93 135 959 963 949
224 85.307 3 0.416 96 135 961 964 949
224 86.309 3 0.423 99 135 809 962 931
224 87.31 3 0.431 102 135 812 962 928
224 88.31 3 0.429 103 137 485 738 617
224 89.312 3 0.424 103 140 269 281 219
224 90.313 3 0.419 103 143 270 280 217
224 91.314 3 0.414 103 146 275 283 220
224 92.315 3 0.409 103 149 280 290 226
224 93.316 3 0.404 103 152 279 290 226
224 94.317 3 0.4 103 155 276 286 225
224 95.319 3 0.395 103 158 271 283 221
224 96.32 3 0.391 103 161 267 276 215
224 97.321 3 0.386 103 164 259 284 221
224 98.323 3 0.382 103 167 273 280 222
224 99.324 3 0.378 103 170 283 283 216
224 100.325 3 0.374 103 173 281 290 225
224 101.327 3 0.37 103 176 258 282 222
224 102.329 3 0.366 103 179 695 571 350
224 103.33 3 0.372 106 179 959 963 941
224 104.333 3 0.379 109 179 959 963 951
224 105.333 3 0.385 112 179 958 963 950
224 106.334 3 0.388 114 180 957 962 586
224 107.335 3 0.394 117 180 959 963 950
224 108.336 3 0.4 120 180 958 963 951
224 109.338 3 0.406 123 180 946 963 951
224 110.339 3 0.402 123 183 274 410 509
224 111.34 3 0.402 124 185 566 662 931
224 112.341 3 0.407 127 185 959 962 947
224 113.342 3 0.413 130 185 959 963 951
224 114.347 3 0.418 133 185 957 963 945
224 115.348 3 0.421 135 186 643 717 781
224 116.359 3 0.426 138 186 813 945 869
224 117.37 3 0.431 141 186 960 962 927
224 118.372 3 0.437 144 186 939 952 885
224 119.379 3 0.442 147 186 959 962 949
224 120.39 3 0.447 150 186 846 961 949
224 121.391 3 0.449 152 187 452 720 947
224 122.393 3 0.453 155 187 959 962 932
224 123.396 3 0.458 158 187 955 954 769
224 124.397 3 0.463 161 187 944 947 791
224 125.397 3 0.467 164 187 954 960 855
224 126.399 3 0.472 167 187 940 960 917
224 127.4 3 0.471 168 189 276 575 743
224 128.401 3 0.467 168 192 250 304 505
224 129.403 3 0.463 168 195 250 290 440
224 130.404 3 0.459 168 198 257 272 214
224 131.405 3 0.455 168 201 264 273 214
224 132.406 3 0.452 168 204 252 262 209
224 133.407 3 0.453 170 205 902 822 658
224 134.412 3 0.458 173 205 955 961 935
224 135.413 3 0.462 176 205 955 960 944
224 136.414 3 0.466 179 205 942 952 915
224 137.416 3 0.47 182 205 950 957 944
224 138.421 3 0.469 183 207 843 647 378
224 139.421 3 0.466 183 210 269 281 220
224 140.422 3 0.462 183 213 270 282 222
224 141.424 3 0.459 183 216 270 285 223
224 142.425 3 0.455 183 219 271 283 226
224 143.426 3 0.457 185 220 445 703 881
224 144.427 3 0.461 188 220 939 958 933
224 145.429 3 0.458 188 223 276 476 606
224 146.431 3 0.454 188 226 274 284 225
224 147.432 3 0.451 188 229 327 505 629
224 148.433 3 0.455 191 229 962 963 950
224 149.435 3 0.459 194 229 945 955 897
224 150.441 3 0.463 197 229 958 962 947
224 151.443 3 0.459 197 232 414 385 271
224 152.444 3 0.456 197 235 270 278 218
224 153.445 3 0.453 197 238 269 279 220
224 154.447 3 0.452 198 240 269 282 773
224 155.448 3 0.449 198 243 266 274 529
224 156.449 3 0.448 199 245 270 449 926
224 157.45 3 0.45 201 246 556 945 914
224 158.452 3 0.453 204 246 957 961 922
224 159.454 3 0.457 207 246 956 961 944
224 160.459 3 0.458 209 247 745 758 680
224 161.461 3 0.455 209 250 268 266 209
224 162.462 3 0.452 209 253 270 277 217
224 163.464 3 0.45 209 256 250 258 204
224 164.465 3 0.447 209 259 252 259 205
224 165.467 3 0.444 209 262 251 260 204
224 166.47 3 0.441 209 265 384 382 298
224 167.471 3 0.445 212 265 958 963 949
224 168.472 3 0.448 215 265 958 963 949
224 169.474 3 0.451 218 265 957 961 918
224 170.475 3 0.455 221 265 933 945 790
224 171.476 3 0.456 223 266 809 857 623
224 172.477 3 0.457 225 267 751 795 567
224 173.488 5 0.461 228 267 875 920 736
224 174.489 8 0.46 229 269 729 594 388
224 175.504 8 0.457 229 272 265 276 217
224 176.509 8 0.454 229 275 269 279 218
224 177.523 8 0.452 229 278 267 277 218
224 178.529 8 0.449 229 281 264 274 215
224 179.538 8 0.446 229 284 270 280 220
224 180.542 8 0.444 229 287 272 280 220
224 181.547 8 0.441 229 290 691 386 217
224 182.57 8 0.443 231 291 954 789 492
224 183.591 8 0.446 234 291 956 962 945
224 184.611 8 0.449 237 291 956 962 924
224 185.636 8 0.452 240 291 961 963 951
224 186.64 8 0.455 243 291 960 963 950
224 187.675 8 0.458 246 291 958 962 930
224 188.692 8 0.461 249 291 959 962 949
224 189.704 8 0.462 251 292 684 963 921
224 190.721 8 0.463 253 293 848 903 359
224 191.747 8 0.466 256 293 960 963 940
224 192.765 8 0.469 259 293 959 961 926
224 193.768 8 0.472 262 293 960 962 933
224 194.775 8 0.475 265 293 960 963 950
224 195.776 8 0.478 268 293 954 955 832
224 196.785 8 0.481 271 293 935 957 849
224 197.79 8 0.482 273 294 583 957 906
224 198.794 8 0.479 273 297 254 370 674
224 199.796 8 0.476 273 300 258 267 208
224 200.797 8 0.474 273 303 269 277 215
224 201.804 8 0.472 273 306 258 270 209
224 202.805 8 0.469 273 309 247 269 211
224 203.806 8 0.472 276 309 718 804 851
224 204.815 8 0.475 279 309 960 964 951
224 205.816 8 0.477 282 309 960 963 948
224 206.818 8 0.48 285 309 952 960 918
224 207.819 8 0.482 288 309 957 962 939
224 208.821 8 0.485 291 309 958 962 950
224 209.822 8 0.488 294 309 895 857 785
224 210.824 8 0.485 294 312 272 282 221
224 211.83 8 0.483 294 315 269 281 221
224 212.832 8 0.48 294 318 268 283 222
224 213.834 8 0.478 294 321 273 282 221
224 214.833 8 0.476 294 324 272 283 219
224 215.847 8 0.473 294 327 270 286 220
224 216.847 8 0.471 294 330 266 280 220
224 217.848 8 0.469 294 333 269 279 219
224 218.849 8 0.467 294 336 269 276 216
224 219.851 8 0.465 294 339 264 273 213
224 220.858 8 0.462 294 342 265 272 214
224 221.864 8 0.46 294 345 272 281 223
224 222.894 8 0.458 294 348 273 284 222
224 223.901 8 0.456 294 351 254 264 208
224 224.907 8 0.454 294 354 253 262 207
224 225.911 8 0.452 294 357 262 272 213
224 226.934 9 0.45 294 360 270 282 222
224 227.96 9 0.448 294 363 271 282 222
224 228.971 9 0.446 294 366 272 283 222
224 229.982 9 0.444 294 369 273 283 221
224 230.983 9 0.442 294 372 270 283 221
224 231.984 9 0.44 294 375 242 267 212
224 232.985 9 0.438 294 378 270 282 223
224 233.986 9 0.436 294 381 269 281 222
224 234.99 9 0.434 294 384 265 278 222
