ID TIME BLK CHAINDATASIZE %CPU
218 72.351 5 191601 17.65
218 117.273 5 191601 17.77
218 162.288 5 191601 17.83
218 207.366 5 191601 17.97
218 252.389 7 197631 18.32
218 297.427 7 197631 18.48
218 407.282 13 213704 19.19
218 468.751 15 221701 19.78
218 475.219 15 221701 19.87
218 516.307 15 221805 20.0
218 561.447 15 221805 20.07
218 606.403 15 221805 20.14
218 768.991 26 253486 21.21
218 774.033 26 253590 21.27
218 816.585 27 261924 21.44
218 861.503 27 261924 21.56
218 906.576 27 261924 21.61
218 1045.988 33 278992 22.85
