ID TIME BLK #BUFFER #GETH #ALLOWED BUFFERPEERS GETHPEERS ALLOWED
210 5.17 3 0 0 0   
210 7.611 3 0 0 0   
210 10.156 3 0 0 0   
210 12.641 3 0 0 0   
210 14.654 3 0 0 0   
210 16.666 3 0 0 0   
210 19.176 3 0 0 0   
210 21.679 3 0 0 0   
210 24.182 3 0 0 0   
210 26.689 3 0 0 0   
210 29.332 3 0 1 0 211  
210 31.786 3 2 2 2 211;218 218;211 211;218
210 34.492 5 2 3 3 211;218;209 218;211 209;211;218
210 37.032 5 3 2 2 211;209 209;218;211 209;211
210 39.72 5 3 2 2 211;209 209;218;211 209;211
210 42.734 5 3 2 2 211;209 209;218;211 209;211
210 44.911 5 2 2 2 211;209 209;211 209;211
210 47.534 6 2 2 2 211;209 209;211 209;211
210 50.291 6 2 1 1 209 209;211 209
210 52.599 6 2 1 1 209 209;211 209
210 55.159 6 2 0 0  209;211 
210 57.677 6 1 0 0  209 
210 59.807 6 2 1 1 213 209;213 213
210 62.296 7 1 1 1 213 213 213
210 64.751 7 1 1 1 213 213 213
210 67.273 7 1 1 1 213 213 213
210 69.323 7 1 0 0  213 
210 71.838 7 1 1 1 213 213 213
210 74.028 7 1 1 1 213 213 213
210 76.448 8 1 2 2 213;224 213 224;213
210 78.936 8 1 0 0  213 
210 81.374 8 0 0 0   
210 83.872 8 0 0 0   
210 86.373 8 0 0 0   
210 88.901 8 1 1 1 209 209 209
210 91.404 8 1 1 1 209 209 209
210 93.919 9 1 1 1 209 209 209
210 96.44 9 1 1 1 209 209 209
210 98.813 9 1 3 3 209;226;213 209 226;209;213
210 101.235 9 1 2 2 209;226 209 226;209
210 103.661 9 1 2 2 209;213 209 209;213
210 106.451 9 3 2 2 209;226 209;213;226 226;209
210 109.021 9 2 2 2 209;226 209;226 226;209
210 111.609 9 2 3 3 209;226;213 209;226 226;209;213
210 114.341 9 2 3 3 209;226;213 209;226 226;209;213
210 116.822 9 2 2 1 209;224 209;226 209
210 119.532 9 3 2 2 209;224 209;224;226 224;209
210 122.709 9 3 3 2 209;224;218 209;224;226 224;209
210 126.023 9 4 2 2 209;218 209;218;224;226 218;209
210 128.887 9 4 1 1 218 209;218;224;226 218
210 131.552 9 4 1 1 218 209;218;224;226 218
210 134.06 9 2 1 1 218 218;224 218
210 136.52 9 3 1 1 218 209;218;224 218
210 139.873 9 3 2 1 218;213 209;224;213 218
210 144.359 12 3 0 0  209;224;213 
210 147.844 12 4 1 0 211 209;211;224;213 
210 150.526 12 4 0 0  209;211;224;213 
210 153.377 12 4 1 1 211 209;211;224;213 211
210 155.971 12 2 2 0 211;217 209;211 
210 158.414 12 3 1 1 217 217;218;211 217
210 161.12 13 3 1 1 217 217;218;211 217
210 163.714 13 2 1 1 217 217;211 217
210 166.263 13 2 0 0  217;211 
210 168.704 13 2 1 0 226 217;211 
210 171.413 13 3 2 2 226;217 217;211;226 226;217
210 174.268 14 2 2 2 226;217 217;226 226;217
210 176.549 14 2 1 1 224 217;226 224
210 179.211 14 3 1 1 224 217;224;226 224
210 181.504 14 3 0 0  217;224;226 
210 184.007 14 4 0 0  217;211;224;226 
210 186.933 14 3 1 1 218 218;224;226 218
210 189.596 15 3 1 0 218 218;224;226 
210 192.249 15 3 2 2 218;226 218;224;226 226;218
210 195.241 15 3 1 1 226 218;224;226 226
210 197.593 15 2 1 1 226 218;224 226
210 199.846 15 2 1 1 226 218;224 226
210 202.481 15 0 1 1 224  224
210 204.633 15 1 1 1 224 226 224
210 207.106 16 1 1 0 224 226 
210 209.993 16 1 1 1 224 226 224
210 212.724 16 2 1 1 217 217;226 217
210 215.837 16 4 2 2 217;213 217;224;213;226 213;217
210 218.546 16 2 1 1 213 217;213 213
210 222.206 17 3 2 1 213;218 217;218;213 213
210 225.329 17 4 2 1 218;209 209;217;218;213 218
210 228.347 17 3 0 0  209;218;213 
210 232.5 17 3 1 0 224 209;218;213 
210 236.005 18 3 0 0  209;218;213 
210 239.455 18 3 1 1 224 209;218;213 224
210 243.224 18 3 1 1 211 209;218;213 211
210 246.408 18 3 1 0 226 209;218;213 
210 251.255 19 6 1 1 226 209;217;218;224;213;226 226
210 254.724 19 6 1 1 209 209;217;218;224;213;226 209
210 258.329 19 6 1 1 209 209;217;218;224;213;226 209
210 261.105 19 3 1 1 209 209;217;226 209
210 264.397 19 4 2 2 209;213 209;217;213;226 213;209
210 269.005 20 4 1 1 213 209;217;213;226 213
210 272.625 20 3 1 0 209 217;213;226 
210 275.243 20 3 1 1 209 217;213;226 209
210 280.253 20 5 1 0 211 209;217;211;213;226 
210 284.574 21 4 0 0  209;217;211;213 
210 287.461 21 4 1 1 226 209;217;211;213 226
210 290.335 21 3 1 1 226 217;211;213 226
210 292.857 21 2 1 1 226 217;211 226
210 295.59 21 3 2 2 226;209 217;211;213 226;209
210 298.21 22 3 2 1 226;209 217;211;226 209
210 300.539 22 3 0 0  217;211;226 
210 302.824 22 3 1 1 226 217;211;226 226
210 305.331 22 2 0 0  217;226 
210 307.866 22 2 0 0  217;226 
210 310.379 22 1 0 0  217 
210 313.271 23 1 0 0  217 
210 315.483 23 1 0 0  217 
210 318.008 23 2 1 1 213 217;213 213
210 320.62 23 2 1 1 213 217;213 213
210 323.517 23 3 2 2 213;218 217;218;213 218;213
