ID TIME BLK BLOCK BALANCE UBI PAY #ROBOT MEAN #VOTES #OKVOTES R? C?
218 19.11 4 4 0.01 20 0 8 5000000 0 0 False False
218 24.65 4 4 0.01 20 0 8 5000000 0 0 False False
218 28.324 4 4 0.01 20 0 8 5000000 0 0 False False
218 36.735 5 5 40.01 0 0 8 5000000 0 0 False False
218 45.718 6 5 40.01 0 0 8 5000000 0 0 False False
218 47.117 6 6 40.01 0 0 8 5000000 0 0 False False
218 64.977 7 7 0.01 20 0 8 5000000 2 0 False False
218 98.271 9 8 40.01 20 0 8 5000000 4 0 False False
218 101.217 9 9 40.01 20 0 8 5000000 4 0 False False
218 152.751 12 10 20.01 20 0 8 5000000 8 0 True False
218 166.252 13 11 20.01 20 0 8 3286186 9 8 False False
218 179.265 14 12 40.01 0 40 8 3286186 9 8 False False
218 185.003 14 12 40.01 0 40 8 3286186 9 8 False False
218 189.927 15 13 40.01 0 40 8 3286186 9 8 False False
218 200.284 15 14 40.01 0 40 8 3286186 9 8 False False
218 213.041 16 15 40.01 0 40 8 3286186 14 8 False False
218 237.712 18 16 80.01 0 0 8 3286186 16 8 False False
218 253.986 19 16 40.01 0 0 8 3244489 17 16 False False
218 260.669 19 17 40.01 20 0 8 3244489 17 16 False False
218 264.0 19 18 40.01 20 0 8 3244489 17 16 False False
218 267.069 20 19 40.01 20 0 8 3244489 24 16 True False
218 269.261 20 18 0.01 20 0 8 3244489 24 16 True False
218 273.851 20 19 0.01 20 0 8 3244489 24 16 True False
218 278.539 20 20 0.01 20 0 8 3244489 24 16 True False
218 279.957 20 20 0.01 20 0 8 3244489 24 16 True False
218 282.867 21 21 20.01 0 80 8 3211586 24 24 False True
218 284.322 21 21 20.01 0 80 8 3211586 25 24 False True
218 287.01 21 21 20.01 0 80 8 3211586 25 24 False True
218 295.642 22 22 100.01 0 0 8 3211586 28 24 False True
218 325.971 23 23 100.01 0 0 8 3211586 31 24 False True
218 351.082 25 23 60.01 0 0 8 3211586 36 24 True True
218 363.529 26 24 60.01 0 0 8 3213451 38 32 False True
218 372.575 27 25 60.01 0 0 8 3213451 38 32 False True
