ID TIME BLK #BLOCKS
209 16.45 3 1
209 23.477 3 1
209 31.652 4 1
209 47.322 5 1
209 55.179 5 1
209 61.009 6 2
209 76.321 7 1
209 92.585 8 2
209 122.043 9 2
209 140.052 11 2
209 163.855 12 1
209 168.548 13 1
209 185.405 13 1
209 202.024 14 1
209 245.091 18 3
209 264.061 19 2
209 276.451 20 1
209 303.526 21 2
209 308.217 22 1
209 320.732 23 1
209 335.31 23 1
209 340.51 24 1
209 351.772 25 1
209 364.415 26 1
209 393.468 27 1
209 403.2 28 2
209 420.028 29 1
209 426.448 30 1
209 441.944 31 1
209 453.355 31 1
209 459.113 32 2
