ID TIME BLK ESTIMATE W B S1 S2 S3
210 5.158 2 0.125 0 3 205 316 293
210 6.15 2 0.071 0 6 204 312 287
210 7.151 2 0.05 0 9 207 318 291
210 8.153 2 0.038 0 12 208 319 292
210 9.154 2 0.031 0 15 207 319 292
210 10.155 2 0.026 0 18 206 316 291
210 11.156 2 0.023 0 21 208 319 292
210 12.158 2 0.02 0 24 385 567 632
210 13.159 2 0.125 3 24 948 952 941
210 14.166 2 0.21 6 24 949 952 939
210 15.166 3 0.279 9 24 948 951 938
210 16.176 3 0.257 9 27 218 345 324
210 17.191 3 0.237 9 30 210 325 295
210 18.194 3 0.221 9 33 211 323 296
210 19.197 3 0.207 9 36 552 449 452
210 20.201 3 0.194 9 39 482 313 285
210 21.201 3 0.183 9 42 207 320 294
210 22.218 3 0.173 9 45 210 315 288
210 23.219 3 0.181 10 47 704 689 687
210 24.22 3 0.205 12 48 617 817 909
210 25.222 3 0.242 15 48 903 948 920
210 26.223 3 0.276 18 48 944 951 935
210 27.228 3 0.307 21 48 949 952 938
210 28.238 3 0.336 24 48 894 931 872
210 29.239 3 0.362 27 48 912 946 881
210 30.246 3 0.386 30 48 949 952 925
210 31.247 4 0.409 33 48 949 952 940
210 32.258 4 0.429 36 48 950 953 942
210 33.278 4 0.449 39 48 949 952 940
210 34.286 4 0.467 42 48 925 949 913
210 35.298 4 0.484 45 48 908 951 930
210 36.302 4 0.5 48 48 878 943 893
210 37.314 4 0.485 48 51 638 502 290
210 38.32 4 0.471 48 54 200 311 286
210 39.325 4 0.458 48 57 200 311 290
210 40.326 4 0.445 48 60 212 324 326
210 41.348 4 0.46 51 60 833 917 920
210 42.35 4 0.474 54 60 905 940 915
210 43.363 4 0.479 56 61 443 939 922
210 44.364 4 0.467 56 64 208 451 377
210 45.365 4 0.456 56 67 210 319 291
210 46.367 4 0.445 56 70 205 316 288
210 47.394 5 0.435 56 73 193 300 278
210 48.455 5 0.425 56 76 204 311 290
210 49.407 5 0.415 56 79 211 327 293
210 50.418 5 0.406 56 82 209 317 292
210 51.431 5 0.398 56 85 206 314 293
210 52.437 5 0.39 56 88 213 325 296
210 53.443 5 0.382 56 91 209 319 292
210 54.444 5 0.374 56 94 203 314 288
210 55.445 5 0.367 56 97 211 398 487
210 56.454 5 0.379 59 97 880 950 912
