ID TIME BLK #BLOCKS
214 63.59 3 1
214 203.438 4 2
214 211.529 8 4
214 283.813 9 1
214 289.578 10 1
214 314.119 11 2
214 327.49 12 1
214 356.908 13 1
214 370.067 14 1
214 454.701 15 1
214 462.4 17 3
214 473.492 18 1
214 503.642 20 3
214 516.759 21 1
214 573.878 24 2
214 579.37 24 1
214 583.622 25 1
214 604.912 26 1
214 620.483 27 1
214 684.423 27 2
214 690.992 28 1
214 696.209 30 3
214 755.985 31 1
214 769.805 34 4
214 788.711 35 2
214 793.011 36 1
214 894.177 38 1
214 902.23 38 1
214 926.057 39 1
214 947.53 40 1
