ID TIME BLK ESTIMATE W B S1 S2 S3
211 24.605 3 0.125 0 3 229 382 227
211 25.616 3 0.071 0 6 230 383 224
211 26.621 3 0.05 0 9 232 385 226
211 27.622 3 0.038 0 12 231 389 227
211 28.624 3 0.156 2 13 530 726 738
211 29.625 3 0.289 5 13 951 963 943
211 30.626 3 0.386 8 13 950 964 942
211 31.628 3 0.46 11 13 951 965 933
211 32.629 3 0.518 14 13 946 965 937
211 33.63 3 0.532 16 14 788 783 582
211 34.631 3 0.485 16 17 234 388 226
211 35.637 3 0.446 16 20 236 389 226
211 36.647 3 0.412 16 23 234 381 223
211 37.648 3 0.384 16 26 230 380 223
211 38.649 3 0.359 16 29 230 381 224
211 39.651 3 0.337 16 32 229 382 225
211 40.656 3 0.375 19 32 829 884 833
211 41.658 3 0.409 22 32 946 964 910
211 42.659 3 0.44 25 32 949 965 935
211 43.66 3 0.467 28 32 952 965 944
211 44.666 4 0.492 31 32 952 965 917
211 45.674 4 0.515 34 32 950 964 888
211 46.683 4 0.536 37 32 951 966 899
211 47.692 4 0.514 37 35 416 585 224
211 48.693 4 0.493 37 38 227 374 221
211 49.695 4 0.475 37 41 227 376 222
211 50.696 4 0.457 37 44 228 373 219
211 51.698 4 0.441 37 47 229 377 219
211 52.699 4 0.426 37 50 225 375 222
211 53.701 4 0.412 37 53 223 374 224
211 54.702 4 0.399 37 56 372 375 222
211 55.703 4 0.387 37 59 230 374 220
211 56.704 4 0.375 37 62 231 381 222
211 57.706 4 0.364 37 65 230 379 235
211 58.707 4 0.382 40 65 786 916 930
211 59.708 4 0.399 43 65 952 965 935
211 60.709 4 0.415 46 65 945 963 908
211 61.711 4 0.43 49 65 950 964 939
211 62.712 4 0.445 52 65 950 964 937
211 63.714 4 0.45 54 66 360 797 938
211 64.715 4 0.44 54 69 227 375 326
211 65.716 4 0.429 54 72 229 379 223
211 66.718 4 0.419 54 75 228 377 223
211 67.719 4 0.41 54 78 229 380 223
211 68.721 4 0.401 54 81 227 378 224
211 69.723 4 0.414 57 81 900 956 924
211 70.723 4 0.426 60 81 952 964 942
211 71.725 4 0.438 63 81 951 964 938
211 72.726 4 0.449 66 81 950 962 941
211 73.728 4 0.46 69 81 948 961 931
