ID TIME BLK CHAINDATASIZE %CPU
213 72.675 5 189384 17.95
213 117.361 5 189488 18.1
213 162.428 5 189488 18.27
213 296.414 10 206412 19.5
213 300.503 10 206412 19.56
213 353.461 12 212377 20.03
213 388.728 12 212377 20.11
213 587.652 21 240281 21.48
213 591.727 21 240385 21.53
213 634.721 21 240489 21.7
213 679.791 21 240489 21.93
213 727.959 24 246949 22.05
213 776.763 27 264703 22.56
213 813.837 28 266256 22.74
213 1027.606 32 286704 24.3
213 1032.364 32 286704 24.36
213 1077.505 35 302714 24.78
