ID TIME ESTIMATE W B S1 S2 S3
118 0.059 0.125 0 3 180 226 225
118 1.061 0.071 0 6 181 228 227
118 2.061 0.05 0 9 179 225 225
118 3.062 0.038 0 12 196 247 244
118 4.064 0.031 0 15 192 241 237
118 5.065 0.026 0 18 182 227 226
118 6.066 0.023 0 21 175 219 219
118 7.075 0.02 0 24 180 225 224
118 8.081 0.018 0 27 204 258 252
118 9.085 0.016 0 30 181 227 228
118 10.093 0.015 0 33 188 235 235
118 11.102 0.014 0 36 201 251 250
118 12.115 0.013 0 39 179 222 224
118 13.116 0.012 0 42 183 228 227
118 14.117 0.011 0 45 182 226 227
118 15.118 0.01 0 48 184 230 231
118 16.119 0.01 0 51 182 227 230
118 17.124 0.009 0 54 175 217 221
118 18.13 0.009 0 57 173 215 218
