ID TIME BLK BLOCK BALANCE UBI PAY #ROBOT MEAN #VOTES #OKVOTES R? C?
218 17.919 5 5 0.01 20 0 10 5000000 0 0 False False
218 58.701 7 6 40.01 0 0 10 5000000 0 0 False False
218 66.206 7 7 40.01 0 0 10 5000000 0 0 False False
218 87.938 8 6 40.01 0 0 10 5000000 1 0 False False
218 89.483 8 7 40.01 20 0 10 5000000 1 0 False False
218 91.672 8 8 40.01 20 0 10 5000000 1 0 False False
218 135.836 10 8 60.01 0 0 10 5000000 2 0 False False
218 138.92 10 9 60.01 0 0 10 5000000 2 0 False False
218 142.006 10 9 60.01 0 0 10 5000000 2 0 False False
218 144.173 10 10 60.01 0 0 10 5000000 2 0 False False
218 169.431 11 11 60.01 0 0 10 5000000 5 0 False False
218 196.461 12 12 60.01 20 0 10 5000000 8 0 False False
218 212.015 13 13 40.01 0 0 10 5000000 9 0 False False
218 216.784 13 13 60.01 20 0 10 5000000 7 0 False False
218 238.537 14 14 0.01 0 0 10 5000000 9 0 False False
218 279.295 17 14 0.01 0 80 10 3274038 12 10 False False
218 285.219 17 15 0.01 0 80 10 3274038 14 10 False False
218 288.562 17 16 0.01 0 80 10 3274038 14 10 False False
218 290.194 17 17 0.01 0 80 10 3274038 14 10 False False
218 339.293 19 18 80.01 0 0 10 3274038 17 10 False False
218 343.01 19 19 80.01 0 0 10 3274038 17 10 False False
218 363.893 20 20 80.01 20 0 10 3274038 19 10 False False
218 374.409 21 21 40.01 20 40 10 3088408 21 20 False False
218 391.056 22 22 20.01 0 40 10 3088408 27 20 False False
218 405.539 23 23 60.01 0 0 10 3088408 28 20 False False
218 438.071 25 24 20.01 0 40 10 3105968 36 30 False True
218 442.288 26 25 20.01 0 40 10 3105968 37 30 False True
218 444.781 26 26 20.01 0 40 10 3105968 37 30 False True
218 527.712 28 25 60.01 0 0 10 3105968 39 30 False True
218 532.36 28 26 60.01 0 0 10 3105968 39 30 False True
218 534.304 28 27 60.01 0 0 10 3105968 39 30 False True
218 536.226 28 28 60.01 0 0 10 3105968 39 30 False True
