ID TIME BLK %CPU CHAINDATASIZE
209 23.49 4 190392 33.67
209 33.519 4 190392 33.66
209 43.646 5 195720 33.7
209 64.303 7 199944 33.79
209 64.725 7 199944 33.79
209 74.7 7 199944 33.83
209 84.583 7 199944 33.83
209 94.597 7 199944 33.81
209 104.599 7 199944 33.79
209 114.751 7 199944 33.81
209 124.642 7 199944 33.8
209 257.174 13 213971 34.34
209 275.388 15 218939 34.43
209 291.284 16 222957 34.51
209 291.706 16 222957 34.51
209 301.62 16 222957 34.53
209 311.582 16 222957 34.55
209 321.618 16 222957 34.53
209 331.741 16 222957 34.53
209 341.709 16 222957 34.58
209 351.632 16 222957 34.59
209 361.666 16 222957 34.57
209 371.653 16 222957 34.56
209 381.918 16 222957 34.57
209 392.004 18 235609 34.63
209 401.713 18 235713 34.65
209 411.969 18 235713 34.64
209 421.746 18 235713 34.65
209 432.129 22 243594 34.68
209 441.851 22 243802 34.7
209 451.878 22 243802 34.69
209 461.836 22 243802 34.67
209 471.818 22 243802 34.65
209 481.861 22 243802 34.64
209 502.734 26 263763 34.73
209 519.945 28 269028 34.82
209 520.15 28 269028 34.82
209 530.149 28 269028 34.82
209 540.157 29 271005 34.86
209 550.283 29 271852 34.88
209 560.147 30 277744 34.89
209 570.188 30 277744 34.87
209 580.278 30 279085 34.9
209 590.307 30 279085 34.9
209 600.349 30 279085 34.92
209 610.23 30 279085 34.95
209 638.082 34 300348 35.08
209 651.174 35 306021 35.15
209 651.935 35 306021 35.16
209 661.684 35 306229 35.19
209 671.72 35 306229 35.23
209 681.764 35 306229 35.24
209 691.632 35 306229 35.28
209 701.554 35 306229 35.31
209 731.341 40 334191 35.45
209 732.335 40 336099 35.45
209 742.896 41 336203 35.51
209 762.376 42 356576 35.63
209 776.919 43 373290 35.71
209 779.12 43 373290 35.72
209 787.839 43 377471 35.77
209 797.763 44 379823 35.81
209 809.155 45 381701 35.84
209 835.946 47 389867 35.97
209 858.646 48 395818 36.02
209 863.468 49 398025 36.04
