ID TIME BLK #BLOCKS
222 16.861 41 1
222 30.348 42 1
222 47.316 43 1
222 63.926 44 1
222 83.373 45 1
222 144.236 49 3
222 149.533 49 2
222 156.549 50 1
222 240.634 54 2
222 245.199 54 1
222 251.433 55 1
222 341.911 56 1
222 356.078 57 1
222 392.27 58 1
222 433.252 58 1
222 444.878 61 3
222 458.261 62 1
222 472.488 63 1
222 572.046 68 3
222 596.252 70 5
222 617.924 71 1
222 623.435 71 1
222 629.721 72 1
222 654.605 73 1
222 661.51 73 1
222 666.812 73 1
222 702.844 75 1
222 709.159 75 1
222 716.494 76 1
222 726.516 77 1
222 741.135 78 1
222 757.1 79 1
222 765.169 79 1
222 777.086 80 1
222 784.244 80 2
222 789.701 81 1
222 821.347 81 1
222 825.77 82 3
222 881.593 83 1
222 885.697 86 4
222 904.824 87 3
222 928.843 89 2
222 943.364 90 1
222 981.732 92 2
222 1002.52 93 1
222 1016.587 94 2
222 1045.632 96 3
222 1065.454 98 4
222 1082.087 99 2
222 1093.852 100 1
222 1122.014 102 2
222 1129.677 102 1
222 1152.706 103 1
222 1191.415 104 2
222 1203.291 105 1
222 1210.133 104 1
222 1218.779 105 1
222 1244.246 106 4
222 1319.734 110 7
222 1334.289 111 1
222 1368.206 110 1
222 1374.476 113 3
222 1385.016 114 5
222 1415.296 116 6
222 1428.626 117 1
222 1431.722 118 1
222 1438.26 118 2
222 1451.465 119 1
222 1505.062 119 1
222 1507.375 121 2
222 1516.932 122 1
