ID TIME BLK ESTIMATE W B S1 S2 S3
218 17.261 3 0.125 0 3 239 204 228
218 18.261 3 0.071 0 6 263 220 241
218 19.263 3 0.05 0 9 262 222 244
218 20.264 3 0.038 0 12 264 222 244
218 21.265 3 0.031 0 15 266 222 243
218 22.266 3 0.026 0 18 262 219 243
218 23.267 3 0.023 0 21 259 217 239
218 24.268 3 0.02 0 24 265 223 243
218 25.27 3 0.018 0 27 263 222 243
218 26.271 3 0.016 0 30 245 207 229
218 27.272 3 0.015 0 33 241 204 225
218 28.274 3 0.014 0 36 245 206 227
218 29.275 3 0.013 0 39 239 201 224
218 30.277 3 0.012 0 42 237 200 222
218 31.277 4 0.011 0 45 242 204 227
218 32.292 4 0.01 0 48 249 210 231
218 33.294 4 0.01 0 51 261 218 237
218 34.295 4 0.009 0 54 254 215 235
218 35.296 4 0.009 0 57 262 220 241
218 36.297 4 0.008 0 60 263 221 241
218 37.298 4 0.008 0 63 262 220 241
218 38.299 4 0.007 0 66 260 219 239
218 39.301 4 0.007 0 69 258 216 236
218 40.302 4 0.007 0 72 263 222 242
218 41.304 4 0.007 0 75 258 216 236
218 42.304 4 0.006 0 78 260 220 240
218 43.305 4 0.006 0 81 265 223 244
218 44.306 4 0.006 0 84 267 222 242
218 45.307 4 0.006 0 87 263 224 254
218 46.314 5 0.016 1 89 792 520 446
218 47.315 5 0.027 2 91 847 667 611
218 48.316 5 0.036 3 93 778 422 245
218 49.318 5 0.035 3 96 266 223 242
218 50.319 5 0.034 3 99 263 220 238
218 51.32 5 0.033 3 102 265 219 237
218 52.321 5 0.032 3 105 264 222 240
218 53.325 5 0.031 3 108 257 216 438
218 54.327 5 0.03 3 111 264 221 261
218 55.328 5 0.03 3 114 263 221 241
218 56.33 5 0.029 3 117 256 217 237
218 57.331 5 0.028 3 120 263 222 242
218 58.332 5 0.028 3 123 261 219 304
218 59.333 5 0.027 3 126 263 221 241
218 60.335 5 0.026 3 129 261 221 243
218 61.335 6 0.026 3 132 262 221 241
218 62.342 6 0.025 3 135 257 217 238
218 63.347 6 0.025 3 138 261 223 240
218 64.364 6 0.024 3 141 260 219 239
218 65.371 6 0.024 3 144 267 223 244
218 66.376 6 0.043 6 144 895 833 845
218 67.378 6 0.062 9 144 919 812 839
218 68.379 6 0.08 12 144 934 853 854
218 69.382 6 0.097 15 144 943 876 863
218 70.387 6 0.101 16 146 925 661 381
218 71.388 6 0.099 16 149 261 288 578
218 72.389 6 0.115 19 149 948 812 798
218 73.396 6 0.131 22 149 946 836 798
218 74.403 6 0.129 22 152 471 479 573
218 75.404 6 0.126 22 155 279 424 543
218 76.406 7 0.124 22 158 548 649 665
218 77.409 7 0.122 22 161 259 221 242
218 78.418 7 0.12 22 164 262 220 240
218 79.419 7 0.118 22 167 288 219 237
218 80.421 7 0.127 24 168 932 783 694
218 81.422 7 0.13 25 170 865 628 580
218 82.423 7 0.143 28 170 918 827 829
218 83.424 7 0.146 29 172 634 685 800
218 84.425 7 0.144 29 175 261 222 240
218 85.427 7 0.142 29 178 260 219 239
218 86.429 7 0.14 29 181 252 212 234
218 87.43 7 0.138 29 184 261 217 237
218 88.431 7 0.136 29 187 253 214 236
218 89.432 7 0.148 32 187 803 733 766
218 90.432 8 0.159 35 187 952 828 797
218 91.439 8 0.17 38 187 905 802 774
218 92.44 8 0.168 38 190 596 572 632
218 93.442 8 0.166 38 193 257 216 284
218 94.443 8 0.164 38 196 263 222 240
218 95.445 8 0.162 38 199 260 220 238
218 96.446 8 0.16 38 202 250 213 230
218 97.447 8 0.158 38 205 264 222 242
218 98.449 8 0.156 38 208 259 216 235
