ID TIME BLK ESTIMATE W B S1 S2 S3
213 10.315 2 0.125 0 3 370 310 555
213 11.321 2 0.071 0 6 355 298 536
213 12.322 2 0.05 0 9 366 307 552
213 13.342 2 0.038 0 12 367 308 552
213 14.399 2 0.031 0 15 547 488 674
213 15.522 3 0.184 3 15 964 960 971
213 17.348 3 0.295 6 15 964 957 970
213 19.551 3 0.38 9 15 964 960 971
213 20.573 3 0.446 12 15 959 941 970
213 21.601 3 0.5 15 15 964 961 972
213 22.658 3 0.485 16 17 407 554 826
213 23.701 3 0.446 16 20 369 308 550
213 24.774 3 0.412 16 23 362 306 550
213 25.846 3 0.384 16 26 350 295 538
213 27.023 3 0.359 16 29 362 303 543
213 28.564 3 0.337 16 32 358 302 544
213 29.812 4 0.317 16 35 366 308 554
213 30.831 4 0.3 16 38 367 309 554
213 32.028 4 0.284 16 41 366 307 552
213 33.034 4 0.27 16 44 363 307 549
213 34.267 4 0.258 16 47 332 278 506
213 35.277 4 0.246 16 50 331 279 491
213 36.457 4 0.236 16 53 357 301 542
213 37.484 4 0.226 16 56 328 276 500
213 38.777 4 0.217 16 59 342 288 519
213 40.215 4 0.209 16 62 330 277 502
213 41.289 4 0.201 16 65 329 278 507
213 43.175 4 0.194 16 68 343 291 526
213 44.202 4 0.188 16 71 353 294 524
213 45.205 5 0.181 16 74 337 282 515
213 46.565 5 0.207 19 74 836 795 897
213 47.884 5 0.232 22 74 947 931 970
213 48.896 5 0.255 25 74 923 900 968
213 50.056 5 0.248 25 77 534 423 572
213 51.062 5 0.241 25 80 350 296 535
213 52.328 5 0.234 25 83 351 297 536
213 53.564 5 0.254 28 83 850 830 896
213 54.743 5 0.274 31 83 956 939 968
213 55.774 5 0.292 34 83 962 956 971
213 56.804 5 0.31 37 83 944 919 968
213 58.163 5 0.327 40 83 846 878 965
213 59.271 5 0.327 41 85 343 425 849
213 60.898 6 0.319 41 88 362 305 539
213 62.708 6 0.32 42 90 355 372 730
213 64.51 6 0.312 42 93 356 301 540
213 65.719 6 0.306 42 96 362 310 554
213 66.908 6 0.299 42 99 342 289 525
213 67.911 6 0.293 42 102 406 285 515
213 69.195 6 0.307 45 102 964 921 905
213 70.425 6 0.321 48 102 787 934 971
213 71.548 6 0.315 48 105 367 310 636
213 72.583 6 0.309 48 108 364 307 645
213 74.036 6 0.322 51 108 859 904 970
213 75.347 7 0.334 54 108 964 961 972
213 77.494 7 0.34 56 109 749 682 739
213 78.938 7 0.334 56 112 346 290 516
213 80.759 7 0.328 56 115 359 301 538
213 82.027 7 0.323 56 118 383 382 640
213 83.422 7 0.334 59 118 965 958 969
213 84.865 7 0.345 62 118 965 960 971
213 86.02 7 0.34 62 121 571 473 618
213 87.455 7 0.334 62 124 364 307 549
213 88.73 7 0.329 62 127 359 300 537
213 90.207 8 0.324 62 130 350 296 528
213 91.729 8 0.319 62 133 336 283 510
213 92.826 8 0.314 62 136 335 281 506
213 94.213 8 0.309 62 139 354 298 536
213 95.24 8 0.305 62 142 362 307 544
213 96.456 8 0.3 62 145 366 310 547
213 97.616 8 0.296 62 148 367 308 550
213 98.628 8 0.292 62 151 599 377 535
213 99.854 8 0.302 65 151 965 961 869
213 100.859 8 0.311 68 151 964 958 957
213 101.98 8 0.321 71 151 963 961 972
213 103.087 8 0.33 74 151 962 960 972
213 104.766 9 0.338 77 151 964 956 969
213 106.167 9 0.347 80 151 965 949 893
213 107.468 9 0.343 80 154 408 358 617
213 108.625 9 0.338 80 157 368 309 554
213 109.633 9 0.334 80 160 360 304 546
213 111.048 9 0.33 80 163 361 411 696
213 112.195 9 0.338 83 163 902 961 970
213 113.211 9 0.346 86 163 963 959 970
213 114.251 9 0.354 89 163 958 938 968
213 115.317 9 0.357 91 164 777 692 771
213 116.485 9 0.353 91 167 362 307 548
213 117.504 9 0.349 91 170 357 302 541
213 118.775 9 0.345 91 173 350 295 530
213 120.045 10 0.341 91 176 331 280 503
213 121.426 10 0.338 91 179 337 284 513
213 122.454 10 0.334 91 182 624 410 532
213 123.525 10 0.33 91 185 360 306 547
213 124.548 10 0.327 91 188 357 300 536
213 125.57 10 0.323 91 191 361 304 545
213 126.891 10 0.32 91 194 362 305 548
213 127.9 10 0.317 91 197 365 308 549
213 128.981 10 0.313 91 200 366 307 683
213 130.0 10 0.314 92 202 363 476 971
213 131.178 10 0.314 93 204 372 315 972
213 132.201 10 0.314 94 206 392 347 762
213 133.61 10 0.321 97 206 962 958 971
213 134.659 11 0.327 100 206 964 960 972
213 135.837 11 0.334 103 206 958 958 972
213 137.284 11 0.34 106 206 963 958 970
213 138.281 11 0.347 109 206 965 962 972
213 139.466 11 0.353 112 206 962 933 967
213 140.596 11 0.359 115 206 930 755 956
213 141.777 11 0.362 117 207 764 631 823
213 143.022 11 0.358 117 210 346 294 527
213 144.085 11 0.355 117 213 347 294 532
213 145.271 11 0.352 117 216 328 277 502
213 146.279 11 0.349 117 219 326 275 496
213 147.291 11 0.346 117 222 330 278 499
213 148.502 11 0.343 117 225 336 283 510
213 149.692 12 0.34 117 228 375 330 583
213 151.056 12 0.34 118 230 424 485 745
213 152.495 12 0.337 118 233 365 311 553
213 153.764 12 0.334 118 236 369 310 551
213 154.895 12 0.331 118 239 348 294 525
213 156.016 12 0.328 118 242 364 306 547
213 157.08 12 0.326 118 245 364 311 551
213 158.152 12 0.323 118 248 368 312 550
213 159.277 12 0.32 118 251 365 310 551
213 160.289 12 0.318 118 254 367 309 551
213 161.441 12 0.315 118 257 366 310 554
213 162.443 12 0.313 118 260 366 309 556
213 163.85 12 0.31 118 263 361 303 546
213 165.016 13 0.308 118 266 357 299 537
213 166.701 13 0.305 118 269 367 310 554
213 167.752 13 0.303 118 272 362 306 545
213 168.962 13 0.301 118 275 365 309 550
213 170.079 13 0.298 118 278 368 310 551
213 171.093 13 0.296 118 281 340 288 519
213 172.544 13 0.294 118 284 333 282 514
213 173.837 13 0.292 118 287 343 290 521
213 175.163 13 0.29 118 290 348 293 525
213 176.298 13 0.288 118 293 356 300 540
213 177.538 13 0.286 118 296 365 308 551
213 178.61 13 0.283 118 299 367 310 554
213 179.904 14 0.281 118 302 368 312 554
213 181.16 14 0.279 118 305 359 304 700
213 182.418 14 0.278 118 308 367 311 553
213 183.436 14 0.276 118 311 364 306 547
213 184.681 14 0.274 118 314 369 310 549
213 185.705 14 0.272 118 317 562 302 544
213 186.834 14 0.27 118 320 405 307 551
213 188.008 14 0.268 118 323 364 307 553
213 189.01 14 0.266 118 326 360 305 543
213 190.031 14 0.265 118 329 362 303 541
213 191.231 14 0.265 119 331 597 576 747
213 192.247 14 0.27 122 331 962 960 971
213 193.778 14 0.275 125 331 951 940 969
213 194.946 15 0.279 128 331 964 960 968
213 196.718 15 0.278 128 334 584 473 569
213 197.827 15 0.276 128 337 362 309 547
213 199.372 15 0.276 129 339 509 503 711
213 200.49 15 0.281 132 339 964 960 971
213 201.815 15 0.285 135 339 961 952 969
213 202.958 15 0.283 135 342 605 514 634
213 204.003 15 0.282 135 345 341 285 513
213 205.004 15 0.28 135 348 360 303 535
213 206.184 15 0.278 135 351 329 276 497
213 207.475 15 0.277 135 354 330 278 501
213 208.81 15 0.275 135 357 337 319 566
213 210.016 16 0.279 138 357 945 930 969
213 212.102 16 0.284 141 357 963 952 934
213 213.914 16 0.288 144 357 964 957 970
213 215.06 16 0.286 144 360 469 385 580
213 216.272 16 0.284 144 363 356 303 534
213 217.349 16 0.283 144 366 363 303 543
213 218.426 16 0.281 144 369 345 290 520
213 219.537 16 0.279 144 372 342 289 516
213 220.56 16 0.278 144 375 365 306 541
213 221.852 16 0.276 144 378 361 304 541
