ID TIME BLK BLOCK BALANCE UBI PAY #ROBOT MEAN #VOTES #OKVOTES R? C?
214 34.878 4 3 0.01 20 0 10 5000000 0 0 False False
214 59.481 5 4 40.01 0 0 10 5000000 0 0 False False
214 82.332 7 5 40.01 20 0 10 5000000 0 0 True False
214 101.993 8 6 0.01 20 0 10 5000000 10 0 True False
214 128.101 10 7 0.01 20 40 10 3202906 10 10 False False
214 145.394 11 7 40.01 0 40 10 3202906 10 10 False False
214 164.093 12 7 40.01 0 40 10 3202906 10 10 False False
214 182.301 14 8 0.01 0 40 10 3202906 13 10 False False
214 200.567 15 9 0.01 0 40 10 3202906 13 10 False False
214 224.835 17 10 40.01 0 0 10 3202906 20 10 True False
214 242.74 18 10 40.01 0 0 10 3202906 20 10 True False
214 260.845 19 11 40.01 20 40 10 3313134 20 20 False False
214 277.475 20 12 0.01 20 40 10 3313134 28 20 False False
214 294.947 21 13 0.01 20 40 10 3313134 28 20 False False
214 311.384 22 14 0.01 20 40 10 3313134 28 20 False False
214 328.712 23 15 0.01 20 40 10 3313134 28 20 False False
214 359.113 25 16 60.01 0 0 10 3313134 31 20 True False
214 376.894 27 16 60.01 0 0 10 3313134 31 20 True False
214 394.241 28 17 60.01 0 0 10 3313134 31 30 False True
214 410.687 29 18 20.01 0 40 10 3270124 35 30 False True
214 427.329 30 18 20.01 0 40 10 3270124 35 30 False True
