ID TIME BLK ESTIMATE W B S1 S2 S3
226 17.617 3 0.375 1 2 911 265 229
226 18.626 3 0.214 1 5 214 256 224
226 19.627 3 0.15 1 8 144 258 224
226 20.629 3 0.115 1 11 144 261 225
226 21.63 3 0.094 1 14 137 253 223
226 22.631 3 0.184 3 15 791 742 634
226 23.633 3 0.295 6 15 947 959 953
226 24.634 3 0.38 9 15 939 958 954
226 25.636 3 0.446 12 15 946 959 954
226 26.637 3 0.5 15 15 936 957 942
226 27.638 3 0.544 18 15 893 952 912
226 28.64 3 0.527 19 17 647 816 464
226 29.64 3 0.487 19 20 145 267 235
226 30.641 4 0.453 19 23 135 247 217
226 31.649 4 0.424 19 26 137 252 222
226 32.649 4 0.398 19 29 140 259 230
226 33.652 4 0.375 19 32 148 269 235
226 34.654 4 0.409 22 32 715 814 841
226 35.655 4 0.44 25 32 945 959 954
226 36.656 4 0.467 28 32 944 958 953
226 37.657 4 0.445 28 35 537 553 467
226 38.659 4 0.425 28 38 146 266 234
226 39.66 4 0.407 28 41 147 268 234
226 40.661 4 0.39 28 44 143 261 229
226 41.663 4 0.375 28 47 132 244 215
226 42.664 4 0.361 28 50 131 244 216
226 43.665 4 0.348 28 53 132 245 217
226 44.666 4 0.335 28 56 137 252 222
226 45.668 4 0.324 28 59 128 239 214
226 46.674 5 0.313 28 62 134 248 218
226 47.678 5 0.303 28 65 147 267 235
226 48.68 5 0.294 28 68 146 268 236
226 49.681 5 0.295 29 70 677 706 640
226 50.683 5 0.316 32 70 946 957 926
226 51.684 5 0.335 35 70 946 958 953
226 52.687 5 0.353 38 70 946 957 949
226 53.687 5 0.371 41 70 946 959 860
226 54.688 5 0.361 41 73 658 451 229
226 55.69 5 0.352 41 76 147 269 237
226 56.691 5 0.343 41 79 147 266 236
226 57.692 5 0.335 41 82 145 256 223
226 58.694 5 0.327 41 85 147 265 233
226 59.695 5 0.342 44 85 740 780 731
226 60.702 6 0.357 47 85 810 954 947
226 61.703 6 0.371 50 85 863 950 915
226 62.704 6 0.385 53 85 894 947 934
226 63.709 6 0.398 56 85 883 892 839
226 64.71 6 0.39 56 88 146 264 234
226 65.712 6 0.382 56 91 149 270 237
226 66.718 6 0.374 56 94 144 264 233
226 67.719 6 0.367 56 97 140 257 225
226 68.728 6 0.373 58 98 810 767 597
226 69.733 6 0.384 61 98 855 952 941
226 70.735 6 0.396 64 98 817 937 905
226 71.736 6 0.407 67 98 915 954 937
226 72.738 6 0.399 67 101 257 368 309
226 73.739 6 0.392 67 104 142 258 230
226 74.741 6 0.386 67 107 136 252 225
226 75.745 6 0.379 67 110 139 257 229
226 76.764 7 0.373 67 113 141 258 230
