ID TIME BLK ESTIMATE W B S1 S2 S3
226 10.616 2 0.125 0 3 146 270 235
226 11.623 2 0.071 0 6 140 260 227
226 12.625 2 0.05 0 9 130 240 212
226 13.674 2 0.038 0 12 135 248 219
226 14.679 2 0.031 0 15 137 251 221
226 16.344 3 0.026 0 18 137 252 221
226 18.622 3 0.023 0 21 142 260 229
226 20.509 3 0.02 0 24 218 294 237
226 21.697 3 0.125 3 24 940 959 914
226 23.046 3 0.21 6 24 944 959 954
226 24.287 3 0.279 9 24 911 954 910
226 25.465 3 0.338 12 24 943 959 952
226 27.043 3 0.388 15 24 916 952 937
226 28.475 3 0.43 18 24 731 873 917
226 29.801 4 0.402 18 27 148 270 237
226 30.976 4 0.378 18 30 127 233 207
226 32.283 4 0.356 18 33 145 265 234
226 33.385 4 0.336 18 36 560 602 542
226 34.64 4 0.371 21 36 928 956 948
226 35.79 4 0.402 24 36 944 958 952
226 37.128 4 0.43 27 36 880 952 912
226 38.345 4 0.455 30 36 886 951 930
226 39.909 4 0.464 32 37 645 856 795
226 41.074 4 0.486 35 37 750 943 934
226 42.437 4 0.507 38 37 844 946 848
226 43.583 4 0.525 41 37 708 892 852
226 44.676 4 0.543 44 37 710 890 781
226 45.688 5 0.535 45 39 847 681 359
226 47.838 5 0.517 45 42 139 254 224
226 48.866 5 0.5 45 45 134 291 320
226 50.217 5 0.516 48 45 854 954 944
226 51.489 5 0.521 50 46 618 952 932
226 52.551 5 0.505 50 49 144 570 621
226 53.608 5 0.49 50 52 149 269 236
226 54.861 5 0.476 50 55 144 263 231
226 56.018 5 0.463 50 58 152 276 241
226 57.316 5 0.451 50 61 148 269 235
226 58.811 5 0.439 50 64 144 262 231
226 60.418 6 0.436 51 66 296 571 733
226 62.596 6 0.426 51 69 365 522 544
226 64.604 6 0.415 51 72 147 268 237
226 65.918 6 0.413 52 74 424 716 586
226 67.162 6 0.427 55 74 916 957 950
226 68.371 6 0.44 58 74 941 958 949
226 69.877 6 0.452 61 74 943 957 947
226 70.88 6 0.464 64 74 946 959 954
226 72.111 6 0.475 67 74 940 958 952
226 73.484 6 0.466 67 77 214 338 305
226 74.818 6 0.456 67 80 144 262 230
226 76.692 7 0.447 67 83 132 244 219
226 79.321 7 0.438 67 86 135 247 220
226 80.921 7 0.449 70 86 898 929 923
226 82.357 7 0.459 73 86 946 959 953
226 83.657 7 0.469 76 86 911 955 930
226 84.693 7 0.479 79 86 900 952 783
226 85.928 7 0.47 79 89 574 419 228
226 87.656 8 0.462 79 92 147 266 232
226 90.626 8 0.454 79 95 148 266 235
226 92.121 8 0.447 79 98 698 468 261
226 93.533 8 0.456 82 98 943 960 744
226 94.755 8 0.459 84 99 753 715 653
226 95.802 8 0.452 84 102 149 268 238
226 96.927 8 0.445 84 105 152 271 238
226 98.445 8 0.438 84 108 148 269 236
