ID TIME BLK BLOCK BALANCE UBI PAY #ROBOT MEAN #VOTES #OKVOTES R? C?
214 66.04 3 3 0.01 20 0 10 5000000 0 0 False False
214 205.587 8 3 40.01 20 0 10 5000000 0 0 False False
214 208.847 8 4 40.01 20 0 10 5000000 0 0 False False
214 218.619 8 5 40.01 20 0 10 5000000 0 0 False False
214 225.201 8 6 40.01 20 0 10 5000000 0 0 False False
214 232.153 8 7 40.01 20 0 10 5000000 0 0 False False
214 235.717 8 8 40.01 20 0 10 5000000 0 0 False False
214 288.759 10 9 40.01 0 0 10 5000000 8 0 False False
214 293.213 10 10 40.01 0 0 10 5000000 8 0 False False
214 319.024 11 10 60.01 20 0 10 5000000 7 0 False False
214 322.536 11 11 60.01 20 0 10 5000000 7 0 False False
214 332.748 12 12 0.01 0 0 10 5000000 13 0 True False
214 359.898 13 13 0.01 0 40 10 3257949 14 10 False False
214 371.924 14 14 40.01 0 0 10 3257949 14 10 False False
214 461.547 17 15 0.01 0 40 10 3257949 16 10 False False
214 464.112 17 16 0.01 0 40 10 3257949 16 10 False False
214 465.776 17 16 0.01 0 40 10 3257949 16 10 False False
214 467.597 17 17 0.01 0 40 10 3257949 16 10 False False
214 475.25 18 18 40.01 20 0 10 3257949 19 10 False False
214 506.114 20 18 40.01 20 0 10 3257949 20 10 True False
214 510.548 20 19 40.01 20 0 10 3257949 20 10 True False
214 514.884 20 20 40.01 20 0 10 3257949 20 10 True False
214 520.034 21 21 20.01 0 40 10 3356513 21 20 False False
214 576.852 24 22 60.01 0 0 10 3356513 27 20 False False
214 579.011 24 23 60.01 0 0 10 3356513 27 20 False False
214 582.227 24 24 60.01 0 0 10 3356513 27 20 False False
214 588.535 25 25 60.01 0 0 10 3356513 28 20 False False
214 606.187 26 26 60.01 0 0 10 3356513 28 20 False False
214 621.919 27 27 20.01 0 0 10 3356513 29 20 False False
214 687.255 28 26 20.01 0 0 10 3356513 34 20 True False
214 688.948 28 27 20.01 0 0 10 3356513 34 20 True False
214 695.165 29 28 20.01 0 0 10 3356513 29 20 True False
214 700.934 30 28 20.01 0 80 10 3354454 34 30 False True
214 706.19 30 29 20.01 0 80 10 3354454 34 30 False True
214 711.73 30 30 20.01 0 80 10 3354454 34 30 False True
214 766.365 34 31 100.01 20 0 10 3354454 38 30 False True
214 778.447 35 31 100.01 20 0 10 3354454 39 30 False True
214 783.649 35 32 120.01 0 0 10 3354454 39 30 False True
214 786.641 35 33 120.01 0 0 10 3354454 39 30 False True
214 788.614 35 34 120.01 0 0 10 3354454 39 30 False True
214 790.505 36 34 120.01 0 0 10 3354454 39 30 False True
214 792.828 36 35 120.01 0 0 10 3354454 39 30 False True
214 795.322 36 36 120.01 0 0 10 3354454 39 30 False True
214 901.738 38 37 80.01 0 0 10 3301045 46 40 False True
214 910.188 38 38 80.01 0 0 10 3301045 46 40 False True
214 930.372 39 39 40.01 0 0 10 3301045 48 40 False True
214 950.715 40 40 0.01 0 0 10 3301045 53 40 True True
