ID TIME BLK ESTIMATE W B S1 S2 S3
222 24.757 2 0.125 0 3 172 327 357
222 25.757 2 0.071 0 6 168 320 351
222 26.764 2 0.05 0 9 170 317 350
222 27.772 2 0.038 0 12 174 328 360
222 28.773 2 0.031 0 15 178 337 552
222 29.774 2 0.132 2 16 682 945 959
222 30.776 2 0.25 5 16 957 964 960
222 31.777 2 0.34 8 16 957 964 959
222 32.782 2 0.411 11 16 957 963 746
222 33.818 3 0.468 14 16 957 965 960
222 34.828 3 0.515 17 16 955 964 960
222 35.843 3 0.554 20 16 956 962 956
222 36.847 3 0.588 23 16 954 962 956
222 37.866 4 0.616 26 16 956 964 960
222 38.897 4 0.641 29 16 936 959 954
222 39.92 4 0.663 32 16 890 749 767
222 40.925 4 0.625 32 19 373 314 346
222 41.941 4 0.591 32 22 172 324 354
222 42.968 4 0.56 32 25 160 304 341
222 43.975 4 0.533 32 28 172 329 359
222 44.995 4 0.508 32 31 430 541 557
222 46.019 4 0.53 35 31 955 961 955
222 47.037 4 0.55 38 31 953 961 956
222 48.038 4 0.568 41 31 837 887 907
222 49.039 4 0.546 41 34 175 332 360
222 50.04 4 0.525 41 37 175 326 351
222 51.041 4 0.506 41 40 174 330 359
222 52.043 4 0.488 41 43 177 331 357
222 53.044 4 0.472 41 46 174 327 416
222 54.045 4 0.467 42 48 179 600 960
222 55.048 4 0.473 44 49 576 949 960
222 56.052 4 0.459 44 52 180 336 424
222 57.053 4 0.445 44 55 175 330 360
222 58.055 4 0.432 44 58 172 328 421
222 59.056 4 0.448 47 58 871 964 960
222 60.057 4 0.463 50 58 954 962 958
222 61.061 4 0.478 53 58 935 957 947
222 62.07 4 0.491 56 58 952 950 710
222 63.081 4 0.479 56 61 467 318 345
222 64.085 4 0.467 56 64 171 316 345
222 65.088 5 0.456 56 67 162 300 334
222 66.1 5 0.445 56 70 172 324 353
222 67.104 5 0.435 56 73 164 319 349
222 68.115 5 0.425 56 76 171 330 362
222 69.122 5 0.415 56 79 182 342 368
222 70.124 5 0.406 56 82 203 352 366
222 71.13 5 0.398 56 85 185 346 370
222 72.131 5 0.39 56 88 178 337 367
222 73.138 5 0.382 56 91 175 334 362
222 74.139 5 0.374 56 94 174 330 360
222 75.14 5 0.367 56 97 179 334 362
222 76.142 5 0.36 56 100 174 327 358
222 77.144 5 0.353 56 103 174 327 355
222 78.146 5 0.347 56 106 175 332 361
222 79.149 5 0.34 56 109 175 329 363
222 80.156 5 0.334 56 112 174 328 363
222 81.157 5 0.328 56 115 596 436 356
222 82.158 5 0.34 59 115 956 964 840
222 83.159 5 0.351 62 115 956 915 866
222 84.17 5 0.345 62 118 186 335 364
222 85.178 5 0.34 62 121 173 328 360
222 86.186 5 0.334 62 124 169 326 357
222 87.198 5 0.329 62 127 166 316 350
222 88.201 5 0.324 62 130 168 318 350
222 89.202 5 0.319 62 133 169 322 353
222 90.221 5 0.314 62 136 172 331 361
222 91.23 5 0.309 62 139 174 329 362
222 92.239 5 0.305 62 142 173 332 362
222 93.258 5 0.3 62 145 175 331 362
222 94.259 5 0.296 62 148 173 318 347
222 95.265 5 0.292 62 151 171 318 354
222 96.279 5 0.288 62 154 175 331 364
222 97.281 5 0.293 64 155 793 746 651
222 98.309 5 0.303 67 155 956 962 958
222 99.343 5 0.312 70 155 956 963 959
222 100.345 5 0.321 73 155 749 956 956
222 101.346 5 0.325 75 156 484 962 956
222 102.354 5 0.326 76 158 177 451 792
222 103.356 5 0.321 76 161 177 331 362
222 104.367 5 0.317 76 164 301 536 626
222 105.374 5 0.326 79 164 957 965 961
222 106.386 5 0.334 82 164 956 964 959
222 107.39 5 0.342 85 164 957 965 781
222 108.407 5 0.338 85 167 507 360 358
222 109.415 5 0.334 85 170 171 323 354
222 110.415 5 0.33 85 173 172 327 357
222 111.416 5 0.326 85 176 171 324 358
222 112.417 5 0.326 86 178 277 578 727
222 113.426 5 0.334 89 178 957 965 960
222 114.428 5 0.341 92 178 957 965 959
222 115.429 5 0.349 95 178 957 965 960
222 116.434 5 0.356 98 178 957 965 961
222 117.44 5 0.362 101 178 957 965 961
222 118.441 5 0.369 104 178 958 965 960
222 119.442 5 0.376 107 178 957 946 903
222 120.443 5 0.372 107 181 215 326 357
222 121.449 5 0.368 107 184 170 326 357
222 122.452 5 0.364 107 187 171 327 357
222 123.478 5 0.361 107 190 168 322 355
222 124.49 5 0.357 107 193 172 320 356
222 125.494 5 0.354 107 196 168 324 362
222 126.5 5 0.35 107 199 172 329 361
222 127.505 5 0.347 107 202 175 325 357
222 128.518 5 0.343 107 205 171 322 358
222 129.525 5 0.34 107 208 174 325 357
222 130.528 5 0.337 107 211 171 320 353
222 131.529 5 0.337 108 213 177 329 870
222 132.536 5 0.343 111 213 919 914 955
222 133.537 5 0.349 114 213 956 963 957
222 134.541 5 0.355 117 213 957 964 959
222 135.542 5 0.352 117 216 413 581 650
222 136.544 5 0.349 117 219 173 323 359
222 137.55 5 0.346 117 222 169 314 345
222 138.556 5 0.343 117 225 168 307 338
222 139.561 5 0.34 117 228 168 303 335
222 140.563 5 0.337 117 231 166 312 346
222 141.564 5 0.334 117 234 292 374 348
222 142.567 5 0.334 118 236 957 569 356
222 143.57 5 0.331 118 239 317 334 363
222 144.578 5 0.328 118 242 174 327 360
222 145.585 5 0.326 118 245 176 327 356
222 146.601 5 0.323 118 248 174 322 360
222 147.611 5 0.32 118 251 176 333 360
222 148.623 5 0.318 118 254 171 324 353
222 149.632 5 0.315 118 257 170 317 349
222 150.642 5 0.313 118 260 175 328 361
222 151.642 5 0.31 118 263 176 328 359
222 152.649 5 0.308 118 266 175 328 361
222 153.65 5 0.305 118 269 181 336 361
222 154.651 5 0.303 118 272 184 339 364
222 155.66 5 0.306 120 273 689 811 868
222 156.661 5 0.311 123 273 957 965 960
222 157.664 5 0.316 126 273 957 965 961
222 158.681 5 0.321 129 273 820 901 926
222 159.688 5 0.319 129 276 174 326 356
222 160.699 5 0.317 129 279 171 323 356
222 161.7 5 0.314 129 282 213 330 354
222 162.703 5 0.319 132 282 957 964 933
222 163.714 5 0.324 135 282 957 964 960
222 164.719 5 0.329 138 282 957 965 961
222 165.73 5 0.334 141 282 957 965 960
222 166.739 5 0.338 144 282 957 964 958
222 167.74 5 0.343 147 282 958 965 961
222 168.746 5 0.348 150 282 957 965 961
222 169.75 5 0.352 153 282 957 965 961
222 170.757 5 0.356 156 282 957 964 961
222 171.769 5 0.361 159 282 902 963 958
222 172.773 5 0.363 161 283 693 964 960
222 173.785 5 0.363 162 285 832 562 354
222 174.799 5 0.365 164 286 957 964 605
222 175.812 5 0.369 167 286 957 964 958
222 176.819 5 0.373 170 286 956 965 960
222 177.837 5 0.377 173 286 956 963 959
222 178.857 5 0.381 176 286 955 963 960
222 179.867 5 0.385 179 286 952 961 956
222 180.878 5 0.389 182 286 955 961 956
222 181.909 5 0.393 185 286 948 956 948
222 182.92 5 0.397 188 286 950 957 949
222 183.941 5 0.401 191 286 954 960 955
222 184.948 5 0.404 194 286 943 954 946
222 185.951 5 0.408 197 286 956 962 958
222 186.963 5 0.412 200 286 952 960 955
222 187.97 5 0.415 203 286 952 960 955
222 188.972 5 0.419 206 286 953 959 953
222 189.973 5 0.42 208 287 729 731 683
222 190.974 5 0.418 208 290 169 312 345
222 191.982 5 0.415 208 293 168 316 347
222 192.985 5 0.413 208 296 172 322 353
222 193.997 5 0.41 208 299 172 317 351
222 194.998 5 0.412 210 300 923 701 489
222 195.999 5 0.415 213 300 957 964 958
222 197.001 5 0.413 213 303 547 512 391
222 198.002 5 0.411 213 306 181 341 359
222 199.003 5 0.408 213 309 187 349 384
222 200.006 5 0.406 213 312 185 346 376
222 201.009 5 0.404 213 315 185 339 365
222 202.024 5 0.401 213 318 179 335 358
222 203.027 5 0.399 213 321 175 334 361
222 204.028 5 0.397 213 324 178 332 362
222 205.029 5 0.395 213 327 176 326 355
222 206.03 5 0.392 213 330 187 341 368
222 207.032 5 0.39 213 333 189 333 357
222 208.033 5 0.388 213 336 181 341 368
222 209.034 5 0.386 213 339 177 334 363
222 210.035 5 0.384 213 342 192 338 361
222 211.039 5 0.382 213 345 185 336 364
222 212.047 5 0.38 213 348 175 328 364
222 213.049 5 0.378 213 351 175 328 364
222 214.058 5 0.376 213 354 174 327 354
222 215.065 5 0.374 213 357 175 326 353
222 216.067 5 0.372 213 360 173 325 357
222 217.068 5 0.37 213 363 172 328 356
222 218.069 5 0.368 213 366 170 324 484
222 219.071 5 0.37 215 367 480 964 960
222 220.072 5 0.373 218 367 956 965 960
222 221.074 5 0.376 221 367 957 965 961
222 222.076 5 0.379 224 367 957 964 960
222 223.077 5 0.382 227 367 956 964 960
222 224.078 5 0.385 230 367 956 964 959
222 225.08 5 0.387 232 368 498 885 960
222 226.081 5 0.385 232 371 173 324 528
222 227.082 5 0.383 232 374 171 322 354
222 228.088 5 0.381 232 377 171 321 354
222 229.089 5 0.379 232 380 176 328 359
222 230.091 5 0.377 232 383 173 327 359
222 231.092 5 0.376 232 386 173 329 359
222 232.093 5 0.374 232 389 170 326 358
222 233.096 5 0.372 232 392 167 315 349
222 234.102 6 0.37 232 395 169 319 351
222 235.111 6 0.368 232 398 174 327 357
222 236.117 6 0.367 232 401 174 330 360
222 237.128 6 0.365 232 404 170 316 349
222 238.145 6 0.363 232 407 172 317 345
222 239.148 6 0.362 232 410 177 321 349
222 240.153 6 0.36 232 413 391 435 347
222 241.165 6 0.36 233 415 727 326 354
222 242.171 6 0.358 233 418 173 325 354
222 243.172 6 0.356 233 421 172 328 360
222 244.173 6 0.355 233 424 175 325 356
222 245.182 7 0.353 233 427 172 328 357
222 246.222 8 0.352 233 430 174 331 360
222 247.229 8 0.35 233 433 173 322 353
222 248.238 8 0.351 235 434 784 712 599
222 249.239 8 0.354 238 434 955 962 957
222 250.241 8 0.357 241 434 955 962 957
222 251.242 8 0.36 244 434 953 961 955
222 252.243 8 0.363 247 434 955 962 957
222 253.244 8 0.366 250 434 955 962 958
222 254.246 8 0.368 253 434 955 962 958
222 255.247 8 0.371 256 434 956 962 840
222 256.248 8 0.37 256 437 388 358 356
222 257.25 8 0.368 256 440 172 324 357
222 258.251 8 0.366 256 443 171 322 347
222 259.252 8 0.365 256 446 163 308 339
222 260.254 8 0.363 256 449 165 311 347
222 261.255 8 0.362 256 452 172 332 358
222 262.256 8 0.36 256 455 172 325 355
222 263.257 8 0.359 256 458 219 331 357
222 264.258 8 0.361 259 458 956 964 906
222 265.26 8 0.364 262 458 956 965 960
222 266.261 8 0.367 265 458 956 965 961
222 267.262 8 0.367 266 460 956 524 557
222 268.267 8 0.365 266 463 305 324 355
222 269.266 8 0.364 266 466 171 318 349
222 270.267 8 0.362 266 469 170 320 350
222 271.268 8 0.361 266 472 168 317 348
222 272.272 8 0.359 266 475 164 312 345
222 273.277 8 0.358 266 478 169 317 352
222 274.278 8 0.356 266 481 166 316 348
222 275.279 8 0.355 266 484 168 324 352
222 276.281 8 0.353 266 487 169 321 353
222 277.282 8 0.352 266 490 168 319 353
222 278.283 8 0.351 266 493 166 319 351
222 279.284 8 0.349 266 496 170 324 354
222 280.286 8 0.348 266 499 169 320 352
222 281.287 8 0.347 266 502 171 323 355
222 282.288 8 0.345 266 505 171 324 358
222 283.29 8 0.344 266 508 172 323 370
