ID TIME BLK BLOCK BALANCE UBI PAY #ROBOT MEAN #VOTES #OKVOTES R? C?
217 18.566 4 4 0.01 20 0 9 5000000 0 0 False False
217 33.784 5 5 40.01 0 0 9 5000000 0 0 False False
217 49.652 6 6 40.01 0 0 9 5000000 0 0 False False
217 52.665 6 6 40.01 0 0 9 5000000 0 0 False False
217 64.148 7 7 0.01 20 0 9 5000000 9 0 True False
217 69.582 7 7 0.01 20 0 9 5000000 9 0 True False
217 79.599 8 8 20.01 0 40 9 2785769 9 9 False False
217 94.89 9 9 60.01 0 0 9 2785769 9 9 False False
217 108.315 10 10 20.01 0 0 9 2785769 18 9 True False
217 123.955 11 11 20.01 20 40 9 2992687 18 18 False False
217 138.986 12 12 80.01 0 0 9 2992687 18 18 False False
217 154.319 13 13 40.01 0 0 9 2992687 27 18 True False
217 168.755 14 14 40.01 0 40 9 2989587 27 27 False True
217 183.173 15 15 80.01 0 0 9 2989587 27 27 False True
217 186.869 15 15 80.01 0 0 9 2989587 27 27 False True
217 199.471 16 16 40.01 0 0 9 2989587 36 27 True True
217 213.407 17 17 40.01 0 40 9 2954826 36 36 False True
217 216.825 17 17 40.01 0 40 9 2954826 36 36 False True
217 229.268 18 18 80.01 0 0 9 2954826 36 36 False True
217 243.265 19 19 40.01 20 0 9 2954826 45 36 True True
217 260.17 20 20 60.01 0 40 9 2971901 45 45 False True
217 275.494 21 21 100.01 0 0 9 2971901 45 45 False True
