ID TIME BLK ESTIMATE W B S1 S2 S3
224 1.84 3 0.125 0 3 265 275 230
224 2.841 3 0.071 0 6 255 272 227
224 3.843 3 0.05 0 9 257 271 225
224 4.845 3 0.038 0 12 262 274 226
224 5.846 3 0.031 0 15 249 263 221
224 6.847 3 0.026 0 18 247 276 228
224 7.849 3 0.068 1 20 721 655 499
224 8.85 3 0.14 3 21 956 962 566
224 9.851 3 0.161 4 23 905 449 230
224 10.852 3 0.145 4 26 270 278 229
224 11.853 3 0.132 4 29 268 278 230
224 12.854 3 0.122 4 32 264 271 224
224 13.856 3 0.113 4 35 260 272 226
224 14.857 3 0.105 4 38 333 272 224
224 15.859 3 0.141 6 39 955 953 677
224 16.865 4 0.173 8 40 953 871 314
224 17.866 4 0.163 8 43 624 276 232
224 18.867 4 0.155 8 46 258 277 228
224 19.878 4 0.147 8 49 264 277 229
224 20.883 4 0.139 8 52 263 276 227
224 21.884 4 0.133 8 55 263 276 227
224 22.886 4 0.127 8 58 263 275 227
224 23.887 4 0.121 8 61 259 271 225
224 24.889 4 0.116 8 64 263 273 225
224 25.89 4 0.112 8 67 471 282 231
224 26.896 4 0.133 10 68 950 820 501
224 27.906 4 0.165 13 68 955 961 886
224 28.906 4 0.159 13 71 641 507 307
224 29.907 4 0.153 13 74 265 280 228
224 30.917 4 0.148 13 77 265 286 230
224 31.924 5 0.144 13 80 263 274 227
224 32.934 5 0.149 14 82 801 491 225
224 33.949 5 0.175 17 82 943 957 716
224 34.954 5 0.199 20 82 910 945 842
224 35.954 5 0.222 23 82 956 961 817
224 36.958 5 0.216 23 85 388 305 230
224 37.96 5 0.21 23 88 264 277 226
224 38.96 5 0.204 23 91 264 278 229
224 39.961 5 0.199 23 94 265 408 269
224 40.963 5 0.219 26 94 947 960 878
224 41.965 5 0.238 29 94 947 958 898
224 42.966 5 0.256 32 94 957 961 872
224 43.966 5 0.273 35 94 893 939 799
224 44.967 5 0.274 36 96 516 774 660
224 45.97 6 0.268 36 99 262 278 229
224 46.974 6 0.263 36 102 262 277 229
224 47.975 6 0.257 36 105 268 280 231
224 48.976 6 0.272 39 105 732 790 780
224 49.984 6 0.287 42 105 909 939 800
224 50.988 6 0.301 45 105 929 955 903
224 51.999 6 0.315 48 105 951 957 914
224 53.013 6 0.328 51 105 952 958 912
224 54.017 6 0.341 54 105 956 961 876
224 55.025 6 0.353 57 105 952 960 905
224 56.04 6 0.346 57 108 416 465 317
224 57.047 6 0.34 57 111 262 277 228
224 58.053 6 0.334 57 114 258 272 226
224 59.057 6 0.329 57 117 259 270 388
224 60.062 6 0.329 58 119 257 279 775
224 61.087 7 0.334 60 120 250 741 889
224 62.106 7 0.34 62 121 255 880 802
224 63.126 7 0.334 62 124 264 279 230
224 64.132 7 0.329 62 127 265 278 230
224 65.139 7 0.324 62 130 310 304 237
224 66.145 7 0.329 64 131 953 869 498
224 67.149 7 0.339 67 131 933 955 877
224 68.163 7 0.349 70 131 952 960 900
224 69.173 7 0.344 70 134 503 440 295
224 70.186 7 0.339 70 137 263 280 228
224 71.19 7 0.334 70 140 262 277 228
224 72.196 7 0.329 70 143 254 264 219
224 73.213 7 0.325 70 146 261 270 223
224 74.214 7 0.32 70 149 238 263 218
224 75.23 7 0.316 70 152 230 253 213
224 76.231 7 0.312 70 155 269 283 231
224 77.233 8 0.308 70 158 256 266 221
224 78.265 8 0.304 70 161 260 275 228
224 79.282 8 0.3 70 164 266 283 230
224 80.295 8 0.296 70 167 267 281 230
224 81.306 8 0.293 70 170 266 282 232
224 82.319 8 0.289 70 173 269 281 231
224 83.322 8 0.285 70 176 270 280 231
224 84.327 8 0.282 70 179 264 280 227
224 85.33 8 0.279 70 182 254 263 218
224 86.331 8 0.275 70 185 562 260 217
224 87.333 8 0.272 70 188 260 267 223
224 88.341 8 0.269 70 191 264 279 229
224 89.345 8 0.266 70 194 261 276 228
224 90.36 8 0.263 70 197 263 274 229
224 91.366 9 0.26 70 200 264 276 229
224 92.389 9 0.257 70 203 265 276 227
224 93.417 9 0.255 70 206 251 263 220
224 94.424 9 0.252 70 209 266 280 230
224 95.439 9 0.249 70 212 267 281 230
224 96.444 9 0.247 70 215 266 279 231
224 97.45 9 0.244 70 218 268 283 231
224 98.463 9 0.241 70 221 266 279 231
224 99.469 9 0.239 70 224 264 274 226
224 100.484 9 0.237 70 227 255 263 218
224 101.494 9 0.234 70 230 244 255 214
224 102.495 9 0.232 70 233 247 260 219
224 103.511 9 0.23 70 236 248 273 226
224 104.512 9 0.227 70 239 266 279 230
224 105.52 9 0.225 70 242 546 590 564
224 106.526 10 0.233 73 242 952 960 904
224 107.552 10 0.24 76 242 918 956 898
224 108.576 10 0.247 79 242 954 959 908
224 109.579 10 0.254 82 242 953 960 908
224 110.581 10 0.261 85 242 953 960 911
224 111.597 10 0.267 88 242 858 830 716
224 112.601 10 0.265 88 245 268 282 231
224 113.613 10 0.263 88 248 268 282 230
224 114.617 10 0.26 88 251 263 279 228
224 115.63 10 0.258 88 254 260 275 226
224 116.632 10 0.256 88 257 264 278 228
224 117.634 10 0.254 88 260 265 277 228
224 118.64 10 0.251 88 263 264 279 229
224 119.647 10 0.249 88 266 269 278 228
224 120.65 11 0.247 88 269 266 278 229
224 121.652 11 0.245 88 272 485 431 492
224 122.658 11 0.246 89 274 945 392 221
224 123.659 11 0.244 89 277 310 278 228
224 124.671 11 0.242 89 280 265 274 228
224 125.678 11 0.24 89 283 262 276 228
224 126.68 11 0.238 89 286 262 277 229
224 127.681 11 0.236 89 289 264 276 228
224 128.682 11 0.234 89 292 258 270 223
224 129.683 11 0.232 89 295 265 278 229
224 130.685 11 0.231 89 298 262 277 229
224 131.689 11 0.229 89 301 260 272 225
224 132.69 11 0.227 89 304 264 280 228
224 133.691 11 0.225 89 307 263 277 228
224 134.692 11 0.224 89 310 258 271 224
224 135.699 11 0.222 89 313 261 274 227
224 136.702 12 0.22 89 316 263 276 229
224 137.708 12 0.219 89 319 262 276 228
224 138.724 12 0.217 89 322 264 279 229
224 139.733 12 0.218 90 324 791 585 313
224 140.748 12 0.224 93 324 956 962 906
224 141.756 12 0.229 96 324 957 962 915
224 142.757 12 0.235 99 324 957 962 921
224 143.765 12 0.24 102 324 938 954 844
224 144.773 12 0.243 104 325 917 937 634
224 145.794 12 0.241 104 328 456 325 212
224 146.796 12 0.24 104 331 252 262 218
224 147.803 12 0.238 104 334 262 271 221
224 148.803 12 0.236 104 337 438 490 466
224 149.808 12 0.242 107 337 950 956 893
224 150.812 12 0.247 110 337 947 956 873
224 151.815 13 0.249 112 338 946 955 664
224 152.822 13 0.248 112 341 586 368 229
224 153.825 13 0.246 112 344 262 278 228
224 154.854 13 0.245 112 347 240 268 223
224 155.859 13 0.243 112 350 256 265 222
224 156.859 13 0.241 112 353 571 532 397
224 157.866 13 0.246 115 353 948 957 897
224 158.877 13 0.251 118 353 949 955 823
224 159.891 13 0.254 120 354 676 865 724
224 160.898 13 0.252 120 357 248 258 221
