ID TIME BLK ESTIMATE W B S1 S2 S3
224 3.929 3 0.125 0 3 275 288 239
224 4.93 3 0.071 0 6 264 269 224
224 5.931 3 0.05 0 9 257 261 219
224 6.936 3 0.038 0 12 260 267 225
224 7.937 3 0.031 0 15 275 281 233
224 8.938 3 0.026 0 18 274 281 232
224 9.939 3 0.023 0 21 274 281 233
224 10.942 3 0.02 0 24 273 278 231
224 11.944 3 0.018 0 27 272 281 232
224 12.945 3 0.016 0 30 289 285 235
224 13.946 3 0.044 1 32 794 287 236
224 14.947 3 0.068 2 34 904 280 231
224 15.948 3 0.062 2 37 330 278 233
224 16.949 4 0.058 2 40 273 284 233
224 17.953 4 0.054 2 43 272 281 233
224 18.961 4 0.051 2 46 268 274 229
224 19.977 4 0.048 2 49 262 268 224
224 20.988 4 0.045 2 52 268 273 228
224 21.989 4 0.043 2 55 265 271 227
224 22.991 4 0.041 2 58 262 268 226
224 23.991 4 0.039 2 61 275 282 234
224 24.993 4 0.037 2 64 277 284 235
224 25.993 4 0.036 2 67 274 282 235
224 26.995 4 0.034 2 70 266 273 227
224 27.996 4 0.033 2 73 277 284 234
224 28.998 4 0.032 2 76 354 278 229
224 29.999 4 0.03 2 79 269 268 223
224 31.018 5 0.029 2 82 268 272 226
224 32.025 5 0.028 2 85 273 281 234
224 33.033 5 0.027 2 88 271 281 328
224 34.034 5 0.027 2 91 259 403 532
224 35.035 5 0.026 2 94 276 282 234
224 36.036 5 0.025 2 97 273 281 233
224 37.037 5 0.024 2 100 274 280 232
224 38.038 5 0.024 2 103 270 277 231
224 39.04 5 0.023 2 106 275 281 235
224 40.045 5 0.022 2 109 273 282 233
224 41.053 5 0.022 2 112 343 533 534
224 42.066 5 0.038 4 113 266 873 894
224 43.068 5 0.054 6 114 322 913 904
224 44.069 5 0.069 8 115 432 855 822
224 45.07 5 0.067 8 118 275 284 236
224 46.072 6 0.065 8 121 275 278 231
224 47.078 6 0.064 8 124 273 285 237
224 48.106 6 0.085 11 124 851 862 806
224 49.109 6 0.104 14 124 879 925 895
224 50.12 6 0.123 17 124 893 927 880
224 51.121 6 0.141 20 124 893 929 901
224 52.123 6 0.159 23 124 828 936 892
224 53.128 6 0.175 26 124 926 944 901
224 54.129 6 0.192 29 124 932 948 919
224 55.136 6 0.207 32 124 930 948 898
224 56.155 6 0.222 35 124 928 947 917
224 57.156 6 0.236 38 124 926 946 915
224 58.16 6 0.25 41 124 914 942 883
224 59.164 6 0.263 44 124 928 943 914
224 60.171 6 0.276 47 124 927 943 910
224 61.2 7 0.289 50 124 928 942 894
224 62.208 7 0.301 53 124 901 935 836
224 63.216 7 0.307 55 125 457 759 857
224 64.219 7 0.318 58 125 816 944 894
224 65.226 7 0.329 61 125 931 944 882
224 66.275 7 0.339 64 125 916 938 826
224 67.284 7 0.35 67 125 928 943 869
224 68.285 7 0.36 70 125 931 945 864
224 69.286 7 0.354 70 128 615 477 244
224 70.294 7 0.349 70 131 274 281 233
224 71.297 7 0.344 70 134 275 280 233
224 72.296 7 0.339 70 137 438 505 506
224 73.302 7 0.344 72 138 691 942 922
224 74.303 7 0.348 74 139 267 797 918
224 75.304 7 0.343 74 142 267 276 653
224 76.305 8 0.339 74 145 274 281 231
224 77.313 8 0.334 74 148 275 281 232
224 78.315 8 0.33 74 151 275 283 234
224 79.315 8 0.325 74 154 276 285 234
224 80.319 8 0.321 74 157 276 287 234
224 81.323 8 0.317 74 160 275 284 235
224 82.329 8 0.313 74 163 265 272 227
224 83.33 8 0.309 74 166 273 281 234
224 84.332 8 0.305 74 169 266 273 228
224 85.333 8 0.302 74 172 274 282 235
224 86.336 8 0.298 74 175 274 281 234
224 87.335 8 0.294 74 178 270 278 233
224 88.336 8 0.291 74 181 273 281 233
224 89.337 8 0.288 74 184 274 283 236
224 90.338 8 0.284 74 187 274 284 236
224 91.339 9 0.281 74 190 276 285 527
224 92.367 9 0.282 75 192 274 297 921
224 93.391 9 0.286 77 193 272 800 849
224 94.393 9 0.283 77 196 275 281 234
224 95.399 9 0.28 77 199 276 283 236
224 96.402 9 0.277 77 202 275 285 236
224 97.403 9 0.274 77 205 276 289 237
224 98.425 9 0.271 77 208 275 283 234
224 99.429 9 0.268 77 211 273 283 235
224 100.434 9 0.265 77 214 267 274 230
224 101.441 9 0.263 77 217 267 276 231
224 102.476 9 0.26 77 220 254 259 218
224 103.476 9 0.257 77 223 259 264 222
224 104.477 9 0.255 77 226 270 274 228
224 105.481 9 0.252 77 229 284 295 241
224 106.491 10 0.26 80 229 932 944 760
224 107.491 10 0.267 83 229 930 946 889
224 108.519 10 0.274 86 229 931 946 867
224 109.539 10 0.271 86 232 647 411 232
224 110.54 10 0.269 86 235 278 281 232
224 111.556 10 0.266 86 238 271 276 229
224 112.558 10 0.264 86 241 275 281 235
224 113.562 10 0.261 86 244 486 616 675
224 114.565 10 0.268 89 244 895 930 916
224 115.571 10 0.274 92 244 769 935 919
224 116.573 10 0.278 94 245 556 939 919
224 117.578 10 0.284 97 245 867 936 904
224 118.584 10 0.29 100 245 915 926 911
224 119.593 10 0.297 103 245 910 923 907
224 120.605 11 0.303 106 245 742 833 851
224 121.62 11 0.3 106 248 274 284 235
224 122.627 11 0.297 106 251 275 281 236
224 123.635 11 0.295 106 254 267 278 553
224 124.649 11 0.293 106 257 265 306 356
224 125.651 11 0.29 106 260 270 279 233
224 126.652 11 0.288 106 263 271 275 226
224 127.654 11 0.286 106 266 268 273 227
