ID TIME BLK ESTIMATE W B S1 S2 S3
217 4.193 2 0.875 3 0 954 955 927
217 5.194 2 0.929 6 0 954 950 895
217 6.195 2 0.95 9 0 952 951 917
217 7.196 2 0.962 12 0 954 945 860
217 8.197 2 0.969 15 0 952 949 897
217 9.199 2 0.974 18 0 958 949 901
217 10.2 2 0.886 19 2 733 632 310
217 11.201 2 0.78 19 5 237 215 184
217 12.202 2 0.696 19 8 220 230 185
217 13.203 2 0.629 19 11 227 207 171
217 14.206 2 0.574 19 14 223 224 162
217 15.211 2 0.527 19 17 227 406 680
217 16.213 3 0.537 21 18 695 953 926
217 17.22 3 0.57 24 18 958 950 912
217 18.225 3 0.598 27 18 954 955 856
217 19.234 3 0.622 30 18 957 943 819
217 20.287 3 0.644 33 18 852 951 800
217 21.3 3 0.609 33 21 228 286 393
217 22.324 3 0.612 35 22 620 782 893
217 23.326 3 0.631 38 22 954 952 900
217 24.328 3 0.648 41 22 956 950 934
217 25.331 3 0.664 44 22 955 955 924
217 26.344 3 0.679 47 22 958 949 880
217 27.345 3 0.692 50 22 955 953 923
217 28.357 3 0.691 52 23 741 715 551
217 29.362 3 0.665 52 26 239 223 176
217 30.368 3 0.64 52 29 234 195 177
217 31.37 3 0.618 52 32 214 196 192
217 32.371 3 0.597 52 35 643 517 343
217 33.374 3 0.61 55 35 952 948 885
217 34.382 3 0.622 58 35 951 950 832
217 35.383 3 0.634 61 35 953 949 917
217 36.385 3 0.635 63 36 952 901 605
217 37.385 3 0.617 63 39 386 205 175
217 38.386 4 0.599 63 42 231 211 200
217 39.398 4 0.583 63 45 254 213 183
217 40.419 4 0.567 63 48 219 220 175
217 41.42 4 0.552 63 51 281 191 182
217 42.426 4 0.538 63 54 227 213 178
217 43.428 4 0.525 63 57 245 204 189
217 44.43 4 0.512 63 60 230 231 192
217 45.431 4 0.5 63 63 218 225 190
217 46.433 4 0.488 63 66 197 191 170
217 47.435 4 0.477 63 69 194 193 154
217 48.44 4 0.467 63 72 239 222 183
217 49.444 4 0.457 63 75 218 228 165
217 50.445 4 0.447 63 78 229 227 175
217 51.449 4 0.438 63 81 233 216 172
217 52.45 4 0.429 63 84 233 209 181
217 53.451 4 0.421 63 87 217 206 184
217 54.453 5 0.412 63 90 214 223 195
217 55.46 5 0.404 63 93 242 211 169
217 56.461 5 0.397 63 96 234 211 187
217 57.463 5 0.39 63 99 225 207 189
217 58.465 5 0.383 63 102 242 216 176
217 59.466 5 0.376 63 105 223 225 232
217 60.467 5 0.381 65 106 367 740 905
217 61.468 5 0.391 68 106 955 953 914
217 62.469 5 0.402 71 106 955 954 918
217 63.47 5 0.412 74 106 958 948 918
217 64.472 5 0.421 77 106 958 950 920
217 65.473 5 0.43 80 106 955 948 828
217 66.474 5 0.424 80 109 332 280 176
217 67.475 5 0.417 80 112 211 225 180
217 68.477 5 0.411 80 115 213 234 176
217 69.478 5 0.405 80 118 213 222 184
217 70.479 5 0.399 80 121 236 211 176
217 71.482 5 0.393 80 124 200 216 181
217 72.487 5 0.387 80 127 218 224 184
217 73.494 5 0.382 80 130 198 230 161
217 74.496 5 0.376 80 133 226 212 217
217 75.497 5 0.371 80 136 217 217 174
217 76.498 5 0.366 80 139 231 237 177
217 77.504 5 0.361 80 142 225 209 178
217 78.506 5 0.356 80 145 226 216 195
217 79.507 6 0.352 80 148 238 212 177
217 80.512 6 0.347 80 151 237 209 178
217 81.513 6 0.343 80 154 222 223 191
217 82.52 6 0.338 80 157 228 200 164
217 83.521 6 0.334 80 160 209 199 167
217 84.522 6 0.33 80 163 184 191 180
217 85.523 6 0.326 80 166 181 195 170
217 86.525 6 0.322 80 169 205 194 177
217 87.526 6 0.318 80 172 208 228 167
217 88.527 6 0.314 80 175 219 216 175
217 89.528 6 0.311 80 178 208 233 194
217 90.53 6 0.307 80 181 201 215 188
217 91.531 6 0.304 80 184 227 227 180
217 92.533 6 0.3 80 187 242 229 200
217 93.534 6 0.297 80 190 217 216 180
217 94.535 6 0.294 80 193 236 216 183
217 95.536 6 0.291 80 196 228 211 183
217 96.537 6 0.287 80 199 226 213 180
217 97.543 6 0.284 80 202 232 206 195
217 98.544 6 0.281 80 205 239 197 186
217 99.545 6 0.279 80 208 238 194 183
217 100.546 6 0.276 80 211 248 208 188
217 101.548 6 0.273 80 214 231 219 187
217 102.562 6 0.27 80 217 245 213 194
217 103.563 6 0.267 80 220 239 226 195
217 104.567 6 0.265 80 223 245 211 168
217 105.569 6 0.262 80 226 212 177 181
217 106.576 6 0.26 80 229 211 181 156
217 107.58 6 0.257 80 232 251 189 188
217 108.586 6 0.255 80 235 197 192 194
217 109.587 6 0.252 80 238 239 201 173
217 110.588 6 0.25 80 241 227 199 196
217 111.592 6 0.248 80 244 254 211 175
217 112.596 6 0.245 80 247 208 211 171
217 113.597 6 0.243 80 250 239 218 183
217 114.602 6 0.241 80 253 437 348 257
217 115.604 6 0.248 83 253 954 952 892
217 116.605 6 0.254 86 253 951 951 906
217 117.624 9 0.261 89 253 930 952 842
217 118.627 9 0.259 89 256 252 240 211
217 119.63 9 0.256 89 259 237 213 177
217 120.631 9 0.254 89 262 226 225 180
217 121.641 9 0.252 89 265 190 182 150
217 122.662 9 0.25 89 268 225 198 193
217 123.666 9 0.248 89 271 212 210 196
217 124.67 9 0.246 89 274 225 218 173
217 125.671 9 0.244 89 277 227 207 187
217 126.672 9 0.242 89 280 223 219 195
217 127.674 9 0.24 89 283 236 234 170
217 128.679 9 0.238 89 286 245 224 178
217 129.686 9 0.236 89 289 236 219 170
217 130.703 9 0.234 89 292 237 221 203
217 131.705 9 0.232 89 295 223 222 165
217 132.705 10 0.231 89 298 235 231 183
217 133.712 10 0.234 91 299 814 734 567
217 134.712 10 0.24 94 299 951 956 908
217 135.714 10 0.246 97 299 957 948 847
217 136.716 10 0.251 100 299 953 950 889
217 137.721 10 0.257 103 299 949 954 913
217 138.722 10 0.262 106 299 951 954 922
217 139.73 10 0.268 109 299 954 950 893
217 140.731 10 0.273 112 299 956 951 919
217 141.733 10 0.278 115 299 955 950 920
217 142.734 10 0.283 118 299 949 955 913
217 143.744 10 0.284 119 301 508 538 735
217 144.746 10 0.284 120 303 308 394 886
217 145.747 10 0.289 123 303 945 954 861
217 146.749 10 0.294 126 303 945 956 888
217 147.749 10 0.299 129 303 922 858 702
217 148.753 10 0.297 129 306 234 220 183
217 149.763 10 0.295 129 309 247 205 164
217 150.764 10 0.293 129 312 238 224 180
217 151.765 10 0.296 131 313 832 848 604
217 152.766 10 0.3 134 313 927 947 783
217 153.774 10 0.305 137 313 938 957 912
217 154.791 10 0.307 139 314 695 773 749
217 155.816 10 0.305 139 317 208 222 177
217 156.818 10 0.303 139 320 228 222 171
217 157.826 10 0.301 139 323 206 212 166
217 158.831 10 0.299 139 326 218 215 169
217 159.832 10 0.297 139 329 222 214 199
217 160.833 10 0.296 139 332 232 206 173
217 161.834 10 0.294 139 335 232 209 179
217 162.835 10 0.292 139 338 228 200 193
217 163.836 10 0.29 139 341 235 221 182
217 164.844 10 0.288 139 344 218 238 177
217 165.845 10 0.286 139 347 232 235 191
217 166.846 10 0.285 139 350 249 206 189
217 167.847 10 0.283 139 353 224 229 157
217 168.848 10 0.281 139 356 233 210 182
217 169.849 10 0.28 139 359 223 233 193
217 170.851 10 0.278 139 362 229 220 193
217 171.852 10 0.276 139 365 207 211 179
217 172.854 10 0.275 139 368 239 231 169
217 173.855 10 0.273 139 371 219 226 185
217 174.856 10 0.271 139 374 221 207 184
217 175.857 10 0.27 139 377 233 204 160
217 176.858 10 0.268 139 380 213 179 175
217 177.86 10 0.267 139 383 228 192 161
217 178.863 10 0.265 139 386 214 203 158
217 179.864 10 0.264 139 389 221 214 144
217 180.865 10 0.262 139 392 232 208 176
217 181.867 10 0.261 139 395 249 221 184
217 182.868 10 0.259 139 398 229 214 190
217 183.874 10 0.258 139 401 582 632 516
217 184.877 10 0.262 142 401 946 955 826
217 185.878 10 0.266 145 401 948 950 898
217 186.894 10 0.268 147 402 744 748 678
217 187.903 12 0.267 147 405 248 207 194
217 188.91 12 0.265 147 408 217 231 163
217 189.923 12 0.264 147 411 217 230 158
217 190.936 12 0.262 147 414 215 232 147
217 191.951 12 0.261 147 417 229 232 173
217 192.956 12 0.26 147 420 223 226 178
217 193.958 12 0.258 147 423 193 213 146
217 194.968 12 0.257 147 426 226 227 158
217 196.002 12 0.256 147 429 219 256 153
217 197.002 12 0.254 147 432 209 221 186
217 198.003 12 0.253 147 435 198 199 168
217 199.004 12 0.252 147 438 227 198 160
217 200.02 12 0.25 147 441 189 205 170
217 201.022 12 0.249 147 444 187 219 141
217 202.023 12 0.248 147 447 215 229 170
217 203.024 12 0.247 147 450 208 227 172
217 204.026 12 0.245 147 453 228 220 162
217 205.032 12 0.244 147 456 225 234 181
217 206.04 12 0.243 147 459 219 214 175
217 207.046 13 0.242 147 462 226 230 171
217 208.051 13 0.241 147 465 207 217 160
217 209.06 13 0.239 147 468 183 191 152
217 210.061 13 0.238 147 471 199 202 175
217 211.069 13 0.237 147 474 229 237 185
217 212.071 13 0.236 147 477 229 224 172
217 213.078 13 0.235 147 480 222 227 152
217 214.08 13 0.234 147 483 224 212 175
217 215.081 13 0.233 147 486 225 196 165
217 216.082 13 0.232 147 489 235 207 199
217 217.089 13 0.23 147 492 244 219 173
217 218.092 13 0.229 147 495 654 463 214
217 219.093 13 0.233 150 495 946 954 875
217 220.094 13 0.237 153 495 944 958 897
217 221.096 13 0.24 156 495 943 954 905
217 222.097 13 0.244 159 495 942 954 901
217 223.098 13 0.247 162 495 880 957 917
217 224.1 13 0.247 163 497 218 473 711
217 225.101 13 0.246 163 500 242 213 180
217 226.102 13 0.245 163 503 234 218 275
217 227.106 13 0.249 166 503 818 957 910
217 228.107 13 0.252 169 503 934 955 723
217 229.108 13 0.255 172 503 803 955 871
217 230.109 13 0.256 173 505 404 699 906
217 231.111 13 0.259 176 505 940 959 924
217 232.123 13 0.262 179 505 942 956 920
217 233.124 13 0.265 182 505 943 953 867
217 234.133 13 0.268 185 505 941 953 912
217 235.136 13 0.27 187 506 682 953 892
217 236.138 13 0.269 187 509 224 288 546
217 237.14 13 0.268 187 512 272 382 438
217 238.142 15 0.271 190 512 950 959 910
217 239.152 15 0.274 193 512 954 955 916
217 240.157 15 0.277 196 512 948 956 882
217 241.16 15 0.279 198 513 778 723 318
217 242.166 15 0.278 198 516 225 244 176
217 243.167 15 0.276 198 519 223 202 190
217 244.169 15 0.275 198 522 223 202 181
217 245.17 15 0.274 198 525 215 225 183
217 246.171 15 0.273 198 528 215 195 166
217 247.181 15 0.272 198 531 213 208 188
217 248.182 15 0.271 198 534 218 207 184
217 249.184 15 0.27 198 537 197 189 156
217 250.185 15 0.269 198 540 206 225 163
217 251.187 15 0.268 198 543 221 230 193
217 252.19 15 0.266 198 546 222 211 169
217 253.191 15 0.265 198 549 403 511 578
217 254.192 15 0.268 201 549 944 956 918
217 255.193 15 0.271 204 549 947 951 904
217 256.194 15 0.274 207 549 948 918 731
217 257.196 15 0.273 207 552 258 222 307
217 258.197 15 0.273 208 554 221 232 906
217 259.198 15 0.275 210 555 191 883 902
217 260.199 15 0.275 211 557 733 451 395
217 261.2 15 0.274 211 560 301 213 191
217 262.202 15 0.273 211 563 203 217 176
217 263.203 15 0.272 211 566 369 284 172
217 264.204 15 0.272 212 568 869 526 184
217 265.211 15 0.275 215 568 943 953 872
217 266.24 15 0.278 218 568 944 957 923
217 267.255 15 0.28 221 568 949 953 909
217 268.283 17 0.283 224 568 939 953 893
217 269.288 17 0.286 227 568 942 957 906
217 270.305 17 0.288 230 568 802 881 853
217 271.317 17 0.287 230 571 225 219 193
217 272.322 17 0.286 230 574 205 204 170
217 273.342 17 0.285 230 577 205 203 183
217 274.358 17 0.284 230 580 509 302 178
217 275.386 17 0.286 232 581 949 920 303
217 276.387 17 0.287 234 582 891 823 604
217 277.4 17 0.286 234 585 201 237 175
217 278.406 17 0.287 236 586 889 800 617
217 279.417 17 0.29 239 586 945 953 912
217 280.445 17 0.293 242 586 940 959 904
217 281.453 17 0.295 245 586 950 953 896
217 282.49 17 0.298 248 586 942 951 871
217 283.502 17 0.3 251 586 940 955 855
217 284.52 18 0.303 254 586 948 958 850
217 285.532 18 0.304 256 587 637 739 750
217 286.567 18 0.303 256 590 216 232 182
217 287.596 18 0.302 256 593 234 208 166
217 288.616 18 0.301 256 596 226 198 172
217 289.626 18 0.3 256 599 212 197 228
217 290.659 18 0.299 256 602 236 215 156
217 291.67 18 0.298 256 605 230 206 189
217 292.677 18 0.297 256 608 247 189 168
217 293.681 18 0.296 256 611 203 195 172
217 294.688 18 0.294 256 614 208 197 165
217 295.694 18 0.293 256 617 206 187 165
217 296.696 18 0.292 256 620 197 192 222
217 297.701 18 0.291 256 623 200 187 151
217 298.702 18 0.29 256 626 226 213 174
217 299.704 18 0.29 256 629 221 216 188
217 300.705 18 0.292 259 629 953 899 814
217 301.706 18 0.294 262 629 955 955 889
217 302.707 18 0.297 265 629 946 953 914
217 303.709 18 0.299 268 629 944 952 788
217 304.711 18 0.301 271 629 953 953 716
217 305.712 18 0.301 272 631 803 418 196
217 306.713 18 0.3 272 634 244 220 180
217 307.713 18 0.299 272 637 227 220 202
217 308.715 18 0.298 272 640 232 220 180
217 309.716 18 0.297 272 643 226 203 169
217 310.717 18 0.298 273 645 924 297 174
217 311.718 18 0.299 275 646 956 951 322
217 312.719 18 0.301 278 646 949 952 850
217 313.728 18 0.303 281 646 946 954 891
217 314.733 18 0.306 284 646 948 952 893
217 315.734 18 0.308 287 646 945 955 915
217 316.739 18 0.31 290 646 944 949 877
217 317.746 20 0.312 293 646 953 955 922
217 318.749 20 0.314 296 646 952 956 896
217 319.761 20 0.317 299 646 944 958 871
217 320.762 20 0.319 302 646 939 957 891
217 321.776 20 0.321 305 646 952 948 835
217 322.782 20 0.323 308 646 945 949 827
217 323.794 20 0.325 311 646 946 956 779
217 324.795 20 0.324 311 649 484 326 166
217 325.796 20 0.323 311 652 226 205 187
217 326.797 20 0.322 311 655 233 193 170
217 327.799 20 0.321 311 658 204 318 368
217 328.8 20 0.323 314 658 919 955 907
217 329.801 20 0.325 317 658 941 956 908
217 330.804 20 0.327 320 658 936 955 888
217 331.804 20 0.329 323 658 941 955 901
217 332.806 20 0.331 326 658 943 954 913
217 333.807 20 0.334 329 658 947 955 911
217 334.808 20 0.336 332 658 946 956 860
217 335.809 20 0.336 333 660 598 708 229
217 336.811 20 0.335 333 663 199 238 176
217 337.812 20 0.334 333 666 187 202 175
217 338.813 20 0.333 333 669 202 226 161
217 339.82 20 0.332 333 672 219 230 154
217 340.826 20 0.331 333 675 204 228 177
217 341.833 20 0.33 333 678 200 207 160
217 342.834 21 0.329 333 681 202 209 162
217 343.845 21 0.328 333 684 163 205 144
217 344.855 21 0.327 333 687 190 196 167
217 345.856 21 0.326 333 690 214 234 153
217 346.866 21 0.326 334 692 258 626 774
217 347.866 21 0.328 337 692 940 951 922
217 348.868 21 0.33 340 692 937 953 912
217 349.872 21 0.332 343 692 943 946 924
217 350.873 21 0.333 346 692 950 954 912
217 351.883 21 0.335 349 692 946 957 862
217 352.884 21 0.336 351 693 888 740 299
217 353.906 21 0.338 354 693 832 900 744
217 354.907 21 0.34 357 693 944 952 905
217 355.908 21 0.342 360 693 942 953 888
217 356.91 21 0.341 360 696 535 646 585
217 357.922 21 0.34 360 699 213 218 177
217 358.924 22 0.339 360 702 201 201 167
217 359.928 22 0.338 360 705 217 215 162
217 360.936 22 0.337 360 708 229 219 165
217 361.94 22 0.336 360 711 226 209 185
217 362.958 22 0.335 360 714 216 219 173
217 363.959 22 0.334 360 717 220 226 180
217 364.967 22 0.333 360 720 208 394 564
217 365.974 22 0.335 363 720 904 955 921
217 366.996 22 0.337 366 720 942 957 893
217 368.0 22 0.338 368 721 625 955 920
217 369.001 22 0.337 368 724 213 388 388
217 370.004 22 0.336 368 727 219 234 168
217 371.005 22 0.335 368 730 221 227 176
217 372.006 22 0.334 368 733 197 229 188
217 373.007 22 0.334 369 735 655 709 155
217 374.009 22 0.334 370 737 946 229 169
217 375.01 22 0.334 371 739 732 228 148
217 376.012 22 0.333 371 742 219 209 169
217 377.016 23 0.333 371 745 212 223 180
217 378.023 23 0.332 371 748 216 210 158
217 379.03 23 0.331 371 751 207 231 156
217 380.031 23 0.33 371 754 215 213 179
217 381.033 23 0.329 371 757 198 175 168
217 382.039 23 0.328 371 760 214 197 174
217 383.043 23 0.327 371 763 215 216 164
217 384.044 23 0.326 371 766 224 217 174
217 385.051 23 0.326 371 769 203 215 173
217 386.053 23 0.325 371 772 206 239 180
217 387.059 23 0.324 371 775 200 220 207
217 388.06 23 0.323 371 778 230 199 184
217 389.067 23 0.322 371 781 214 328 392
217 390.073 24 0.324 374 781 943 951 918
217 391.077 24 0.326 377 781 939 957 883
217 392.086 24 0.327 379 782 452 782 890
217 393.089 24 0.327 380 784 491 625 784
217 394.091 24 0.328 383 784 944 955 871
217 395.093 24 0.33 386 784 940 956 890
217 396.102 24 0.332 389 784 948 953 914
217 397.111 24 0.333 392 784 942 952 890
217 398.114 24 0.335 395 784 946 948 889
217 399.116 24 0.337 398 784 946 953 907
217 400.117 24 0.339 401 784 942 950 877
217 401.125 24 0.34 404 784 941 951 897
217 402.126 24 0.342 407 784 941 956 882
217 403.128 24 0.344 410 784 841 926 796
217 404.135 24 0.343 410 787 207 196 204
217 405.135 24 0.342 410 790 207 227 175
217 406.136 24 0.341 410 793 208 185 291
217 407.137 24 0.34 410 796 188 223 361
217 408.139 24 0.339 410 799 208 210 174
217 409.141 24 0.338 410 802 218 218 175
217 410.143 24 0.338 410 805 214 198 173
217 411.152 24 0.337 410 808 232 222 166
217 412.154 24 0.336 410 811 220 220 188
217 413.155 24 0.335 410 814 239 192 177
217 414.167 24 0.334 410 817 222 190 165
217 415.168 24 0.333 410 820 223 219 171
217 416.177 24 0.333 410 823 240 208 190
217 417.186 24 0.332 410 826 222 232 160
217 418.191 24 0.331 410 829 216 228 195
217 419.192 24 0.33 410 832 228 216 184
217 420.194 24 0.329 410 835 214 352 478
217 421.208 24 0.331 413 835 875 955 885
217 422.217 24 0.333 416 835 796 948 857
217 423.225 24 0.334 419 835 943 957 896
217 424.226 24 0.336 422 835 903 894 759
217 425.227 24 0.335 422 838 222 216 179
217 426.236 24 0.334 422 841 212 222 168
217 427.239 25 0.333 422 844 221 235 185
217 428.241 25 0.335 425 844 880 914 906
217 429.245 25 0.337 428 844 942 954 908
217 430.258 25 0.338 431 844 946 958 917
217 431.27 25 0.337 431 847 516 606 567
217 432.27 25 0.337 431 850 228 227 184
217 433.272 25 0.336 431 853 212 226 177
217 434.273 25 0.335 431 856 394 300 186
217 435.275 25 0.334 431 859 687 223 158
217 436.277 25 0.333 431 862 230 210 163
217 437.284 25 0.333 431 865 223 234 167
217 438.285 25 0.332 431 868 213 227 187
217 439.286 25 0.331 431 871 239 213 167
217 440.293 25 0.33 431 874 218 203 195
217 441.294 25 0.33 431 877 240 199 192
217 442.3 25 0.329 431 880 213 202 179
217 443.308 25 0.328 431 883 215 211 176
217 444.309 25 0.327 431 886 216 213 185
217 445.311 25 0.327 431 889 194 227 182
217 446.313 25 0.326 431 892 206 213 187
217 447.323 25 0.325 431 895 218 231 167
217 448.324 25 0.324 431 898 219 211 198
217 449.327 25 0.324 431 901 221 219 193
217 450.328 25 0.323 431 904 221 198 182
217 451.329 25 0.322 431 907 215 232 180
217 452.334 25 0.322 431 910 231 200 188
217 453.336 25 0.321 431 913 189 224 187
217 454.337 25 0.32 431 916 227 202 180
217 455.338 25 0.319 431 919 184 172 163
217 456.344 25 0.319 431 922 184 191 151
217 457.351 25 0.318 431 925 199 197 151
217 458.352 25 0.317 431 928 219 220 184
217 459.354 25 0.317 431 931 204 220 177
217 460.361 25 0.316 431 934 230 238 184
217 461.362 25 0.315 431 937 217 223 500
217 462.363 25 0.316 433 938 330 836 907
