ID TIME BLK ESTIMATE W B S1 S2 S3
218 6.359 2 0.125 0 3 603 239 211
218 7.361 2 0.071 0 6 266 217 217
218 8.383 2 0.05 0 9 267 220 221
218 9.395 2 0.038 0 12 271 217 214
218 10.403 2 0.031 0 15 589 507 490
218 11.419 2 0.184 3 15 935 851 797
218 12.425 2 0.295 6 15 934 862 830
218 13.429 2 0.26 6 18 645 551 508
218 14.443 2 0.232 6 21 275 225 224
218 15.446 2 0.21 6 24 274 226 224
218 16.494 3 0.191 6 27 540 412 397
218 17.538 3 0.203 7 29 816 590 557
218 18.586 3 0.212 8 31 739 537 501
218 19.594 3 0.198 8 34 507 374 353
218 20.609 3 0.185 8 37 248 206 206
218 21.631 3 0.173 8 40 251 209 207
218 22.682 3 0.163 8 43 251 208 205
218 23.699 3 0.155 8 46 252 207 206
218 24.719 3 0.147 8 49 259 213 211
218 25.746 3 0.139 8 52 258 214 215
218 26.773 3 0.133 8 55 272 222 223
218 27.802 3 0.127 8 58 262 219 221
218 28.812 3 0.121 8 61 251 211 405
218 29.819 3 0.116 8 64 267 553 617
218 30.828 3 0.151 11 64 912 895 826
218 31.837 4 0.184 14 64 940 810 802
218 32.84 4 0.177 14 67 658 605 638
218 33.847 4 0.171 14 70 270 219 216
218 34.859 4 0.165 14 73 272 222 219
218 35.866 4 0.159 14 76 274 224 222
218 36.884 4 0.154 14 79 269 220 219
218 37.887 4 0.17 16 80 718 726 395
218 38.909 4 0.185 18 81 953 865 550
218 39.916 4 0.209 21 81 952 900 852
218 40.921 4 0.231 24 81 950 896 879
218 41.923 4 0.252 27 81 950 884 865
218 42.924 4 0.272 30 81 953 891 864
218 43.927 4 0.291 33 81 917 832 792
218 44.929 4 0.284 33 84 272 287 348
218 45.936 5 0.277 33 87 273 221 218
218 46.937 5 0.27 33 90 264 216 215
218 47.938 5 0.264 33 93 264 216 214
218 48.939 5 0.258 33 96 258 213 212
218 49.957 5 0.252 33 99 250 208 207
218 50.963 5 0.246 33 102 245 204 203
218 51.981 5 0.241 33 105 245 205 205
218 53.043 5 0.236 33 108 247 206 206
218 54.061 5 0.231 33 111 249 207 207
218 55.067 5 0.226 33 114 241 202 202
218 56.083 5 0.222 33 117 244 202 202
218 57.086 5 0.224 34 119 723 641 467
218 58.092 5 0.22 34 122 679 252 214
218 59.103 5 0.216 34 125 253 215 215
218 60.117 5 0.212 34 128 265 222 219
218 61.119 5 0.214 35 130 719 488 314
218 62.133 6 0.228 38 130 952 880 836
218 63.14 6 0.235 40 131 946 786 563
218 64.141 6 0.231 40 134 315 228 224
218 65.142 6 0.228 40 137 275 225 222
218 66.143 6 0.224 40 140 265 217 215
218 67.145 6 0.22 40 143 274 216 216
218 68.146 6 0.217 40 146 250 208 210
218 69.147 6 0.213 40 149 257 213 213
218 70.148 6 0.21 40 152 248 206 206
218 71.152 6 0.207 40 155 246 206 207
218 72.153 6 0.204 40 158 255 212 210
218 73.154 6 0.2 40 161 251 208 206
218 74.162 6 0.198 40 164 267 219 218
218 75.163 6 0.195 40 167 270 223 221
218 76.165 6 0.192 40 170 269 222 220
218 77.166 6 0.189 40 173 270 222 221
218 78.167 6 0.187 40 176 266 217 216
218 79.169 6 0.184 40 179 471 482 538
218 80.17 6 0.195 43 179 951 888 826
218 81.175 6 0.206 46 179 949 818 764
218 82.175 6 0.216 49 179 901 777 718
218 83.179 6 0.213 49 182 270 219 217
218 84.18 6 0.211 49 185 669 224 223
218 85.182 6 0.208 49 188 600 230 227
218 86.183 6 0.205 49 191 391 217 214
218 87.194 6 0.207 50 193 910 344 205
218 88.201 6 0.209 51 195 748 469 274
218 89.219 6 0.206 51 198 263 213 210
218 90.23 6 0.204 51 201 259 211 208
218 91.273 8 0.201 51 204 255 212 210
218 92.3 8 0.199 51 207 261 216 215
218 93.336 8 0.197 51 210 251 209 210
218 94.345 8 0.194 51 213 645 269 207
218 95.366 8 0.192 51 216 506 313 275
218 96.403 8 0.19 51 219 265 392 598
218 97.413 8 0.195 53 220 373 811 819
218 98.481 8 0.204 56 220 948 853 818
218 99.494 8 0.212 59 220 950 879 848
218 100.529 8 0.21 59 223 659 615 606
218 101.547 8 0.208 59 226 275 225 222
218 102.566 8 0.206 59 229 281 223 221
218 103.606 8 0.204 59 232 271 222 314
218 104.618 8 0.205 60 234 258 218 800
218 105.668 9 0.206 61 236 257 592 800
218 106.689 9 0.211 63 237 404 888 838
218 107.715 9 0.219 66 237 953 899 842
218 108.728 9 0.226 69 237 931 808 806
218 109.738 9 0.227 70 239 738 636 639
218 110.742 9 0.225 70 242 272 223 219
218 111.775 9 0.223 70 245 270 222 221
218 112.776 9 0.221 70 248 272 224 221
218 113.78 9 0.219 70 251 274 225 224
218 114.786 9 0.217 70 254 274 225 222
218 115.797 9 0.215 70 257 270 221 218
218 116.822 9 0.213 70 260 660 542 466
218 117.824 9 0.22 73 260 948 861 814
218 118.833 9 0.227 76 260 950 878 834
218 119.834 9 0.231 78 261 950 856 686
218 120.853 10 0.229 78 264 487 257 211
218 121.854 10 0.227 78 267 266 220 219
218 122.862 10 0.225 78 270 259 214 213
218 123.867 10 0.223 78 273 271 222 219
218 124.871 10 0.221 78 276 269 221 220
218 125.873 10 0.219 78 279 270 223 220
218 126.882 10 0.217 78 282 261 216 215
218 127.884 10 0.216 78 285 271 223 221
218 128.891 10 0.214 78 288 272 222 222
218 129.895 10 0.212 78 291 274 224 222
218 130.9 10 0.21 78 294 276 224 222
218 131.902 10 0.209 78 297 265 220 217
218 132.904 10 0.207 78 300 272 222 223
218 133.91 10 0.208 79 302 713 450 339
218 134.924 10 0.214 82 302 951 896 825
218 135.942 10 0.22 85 302 925 815 790
218 136.947 11 0.226 88 302 948 880 865
218 137.975 11 0.225 88 305 290 342 430
218 138.994 11 0.223 88 308 271 222 222
218 140.008 11 0.221 88 311 263 218 216
218 141.011 11 0.22 88 314 265 220 217
218 142.012 11 0.218 88 317 273 223 222
218 143.023 11 0.216 88 320 268 223 222
218 144.068 11 0.215 88 323 269 223 220
218 145.074 11 0.213 88 326 261 213 210
218 146.076 11 0.212 88 329 259 214 213
218 147.08 11 0.21 88 332 359 359 412
218 148.099 11 0.216 91 332 872 737 759
218 149.103 11 0.221 94 332 943 857 800
218 150.108 11 0.227 97 332 943 868 831
218 151.109 11 0.232 100 332 941 886 876
218 152.11 12 0.233 101 334 757 618 612
218 153.119 12 0.233 102 336 744 585 566
218 154.133 12 0.239 105 336 943 865 822
218 155.154 12 0.242 107 337 883 701 667
218 156.16 12 0.247 110 337 946 893 874
218 157.161 12 0.252 113 337 926 829 799
218 158.164 12 0.257 116 337 909 772 755
218 159.165 12 0.261 119 337 922 748 713
218 160.167 12 0.266 122 337 874 749 726
218 161.168 12 0.265 122 340 271 227 238
218 162.17 12 0.263 122 343 271 224 222
218 163.171 12 0.261 122 346 278 291 355
218 164.172 12 0.266 125 346 954 884 822
218 165.173 12 0.271 128 346 945 836 830
218 166.174 12 0.273 130 347 953 880 680
218 167.176 13 0.271 130 350 434 233 222
218 168.18 13 0.27 130 353 265 219 217
218 169.181 13 0.268 130 356 271 223 221
218 170.183 13 0.266 130 359 497 390 221
218 171.185 13 0.269 132 360 949 840 335
218 172.186 13 0.271 134 361 943 834 652
218 173.187 13 0.274 136 362 893 757 651
218 174.188 13 0.272 136 365 274 224 224
218 175.192 13 0.27 136 368 274 224 223
218 176.195 13 0.269 136 371 271 223 223
218 177.196 13 0.269 137 373 835 593 580
218 178.209 13 0.271 139 374 905 724 693
218 179.218 13 0.276 142 374 952 896 814
218 180.236 13 0.274 142 377 354 282 261
218 181.237 13 0.272 142 380 267 221 220
218 182.239 13 0.271 142 383 267 222 225
218 183.24 13 0.271 143 385 797 681 574
218 184.241 13 0.272 144 387 845 644 678
218 185.243 13 0.276 147 387 950 894 875
218 186.244 13 0.28 150 387 767 760 790
218 187.245 13 0.278 150 390 272 224 222
218 188.247 13 0.277 150 393 261 216 216
218 189.248 13 0.275 150 396 270 222 221
218 190.269 13 0.274 150 399 271 222 221
218 191.27 13 0.272 150 402 252 208 206
218 192.275 13 0.271 150 405 237 207 206
218 193.317 13 0.269 150 408 271 223 222
218 194.323 13 0.27 151 410 836 636 496
218 195.323 13 0.272 153 411 937 714 634
218 196.337 13 0.276 156 411 951 861 829
218 197.355 13 0.279 159 411 950 871 829
218 198.364 13 0.278 159 414 642 603 615
218 199.365 13 0.276 159 417 247 206 216
218 200.367 13 0.275 159 420 249 207 204
218 201.375 13 0.274 159 423 253 212 210
218 202.382 13 0.272 159 426 252 210 210
218 203.39 13 0.271 159 429 251 210 208
218 204.398 13 0.269 159 432 249 206 205
218 205.399 13 0.268 159 435 244 205 204
218 206.405 13 0.267 159 438 250 209 208
218 207.412 13 0.265 159 441 253 211 210
218 208.417 13 0.264 159 444 261 215 214
218 209.426 14 0.263 159 447 274 226 222
218 210.434 14 0.261 159 450 273 224 221
218 211.442 14 0.26 159 453 270 223 222
218 212.458 14 0.259 159 456 267 221 219
218 213.466 14 0.258 159 459 273 225 222
218 214.475 14 0.256 159 462 273 224 222
218 215.5 14 0.255 159 465 276 225 225
218 216.52 14 0.254 159 468 275 224 222
218 217.52 14 0.253 159 471 275 224 219
218 218.533 14 0.252 159 474 271 224 219
218 219.551 14 0.25 159 477 271 224 221
218 220.586 15 0.249 159 480 272 224 242
218 221.613 15 0.248 159 483 254 214 570
218 222.628 15 0.247 159 486 427 440 504
218 223.638 15 0.25 162 486 896 790 730
218 224.646 15 0.251 163 488 892 605 240
218 225.659 15 0.25 163 491 663 220 218
218 226.662 15 0.248 163 494 268 220 220
218 227.663 15 0.247 163 497 259 212 214
218 228.667 15 0.246 163 500 257 211 210
218 229.677 15 0.245 163 503 309 394 510
218 230.72 15 0.249 166 503 927 860 822
218 231.743 15 0.247 166 506 275 402 564
218 232.747 15 0.246 166 509 272 224 223
218 233.774 15 0.245 166 512 269 220 218
218 234.789 16 0.244 166 515 276 226 223
218 236.236 16 0.246 168 516 855 720 351
218 237.253 16 0.246 169 518 778 334 223
218 238.278 16 0.245 169 521 264 218 216
218 239.591 16 0.244 169 524 262 216 214
218 240.629 16 0.243 169 527 246 205 204
218 241.68 16 0.242 169 530 241 201 201
218 242.723 16 0.241 169 533 243 202 202
218 243.78 16 0.24 169 536 256 212 212
218 244.796 16 0.239 169 539 698 510 342
218 245.797 16 0.242 172 539 945 885 850
218 246.803 16 0.245 175 539 928 799 779
218 247.822 16 0.249 178 539 950 883 858
218 248.826 16 0.248 178 542 592 390 275
218 249.848 16 0.247 178 545 271 224 222
218 250.858 17 0.246 178 548 272 223 225
218 251.86 17 0.245 178 551 273 268 369
218 252.868 17 0.248 181 551 891 841 822
218 254.177 17 0.251 184 551 950 872 849
218 255.183 17 0.254 187 551 953 907 878
218 256.203 17 0.257 190 551 768 871 847
218 257.208 17 0.257 191 553 253 457 775
218 258.209 17 0.259 193 554 256 801 854
218 259.212 17 0.258 193 557 551 630 515
218 260.212 17 0.259 195 558 952 833 218
218 261.213 17 0.26 196 560 924 684 272
218 262.224 17 0.261 198 561 943 709 524
218 263.246 17 0.263 200 562 885 716 684
218 264.25 17 0.266 203 562 954 902 851
218 265.26 18 0.269 206 562 955 900 853
218 266.292 18 0.271 209 562 955 910 886
218 267.371 18 0.274 212 562 955 908 884
218 268.373 18 0.276 214 563 904 758 699
218 269.403 18 0.275 214 566 263 300 391
218 270.435 18 0.274 214 569 264 217 216
218 271.459 18 0.273 214 572 260 214 212
218 272.468 18 0.272 214 575 250 207 207
218 273.473 18 0.27 214 578 243 201 201
218 274.474 18 0.269 214 581 254 209 209
218 275.475 18 0.268 214 584 258 213 211
218 276.476 18 0.267 214 587 246 208 287
218 277.478 18 0.27 217 587 706 747 814
218 278.479 18 0.27 218 589 846 604 561
218 279.48 18 0.273 221 589 944 866 794
218 280.497 19 0.273 222 591 803 629 548
218 281.539 19 0.272 222 594 267 220 220
218 282.554 19 0.271 222 597 267 222 221
218 283.563 19 0.27 222 600 310 223 222
218 284.563 19 0.271 223 602 925 441 211
218 285.573 19 0.272 225 603 939 758 444
218 286.578 19 0.275 228 603 947 904 819
218 287.594 19 0.277 231 603 949 894 874
218 288.595 19 0.28 234 603 935 835 848
