ID TIME BLK #BUFFER #GETH #ALLOWED BUFFERPEERS GETHPEERS ALLOWED
224 7.438 2 0 0 0   
224 9.859 2 1 1 1 222 222 222
224 12.386 2 1 1 1 222 222 222
224 14.923 2 2 2 2 222;209 209;222 209;222
224 17.525 3 2 2 2 222;209 209;222 209;222
224 19.996 3 2 2 2 222;209 209;222 209;222
224 22.587 3 2 2 2 222;209 209;222 209;222
224 25.058 3 2 2 2 222;209 209;222 209;222
224 27.337 3 2 1 1 209 209;222 209
224 29.74 3 2 0 0  209;222 
224 32.323 4 2 0 0  209;222 
224 34.926 4 1 2 2 222;213 209 213;222
224 37.362 4 1 2 2 222;213 213 213;222
224 39.417 4 1 3 3 222;213;209 213 213;209;222
224 42.026 4 2 3 3 222;213;209 209;213 213;209;222
224 44.699 4 3 1 1 209 209;213;222 209
224 47.508 4 4 1 1 214 214;209;213;222 214
224 51.423 5 5 1 0 217 214;209;217;213;222 
224 55.488 5 5 1 0 214 214;209;217;213;222 
224 59.323 5 6 1 0 210 214;209;217;213;210;222 
224 63.66 6 4 0 0  214;209;217;210 
224 66.493 6 3 1 0 210 214;217;210 
224 69.207 6 3 0 0  214;217;210 
224 71.804 6 3 0 0  214;217;210 
224 74.504 6 3 1 1 210 214;217;210 210
224 77.192 6 4 1 1 210 214;209;217;210 210
224 79.732 7 3 3 3 210;213;222 209;217;210 210;213;222
224 82.553 7 4 3 2 210;213;222 209;217;213;210 210;222
224 85.134 7 3 0 0  209;213;210 
224 87.575 7 3 0 0  209;213;210 
224 89.738 7 2 0 0  209;213 
224 92.363 7 2 0 0  209;213 
224 94.871 7 2 0 0  209;213 
224 98.029 7 3 1 1 214 214;209;213 214
224 100.885 8 3 1 1 214 214;209;213 214
224 103.168 8 3 0 0  214;209;213 
224 105.565 8 4 1 1 210 214;209;213;210 210
224 108.254 8 4 0 0  214;209;213;210 
224 110.849 8 3 0 0  214;209;210 
224 113.35 9 3 0 0  214;209;210 
224 116.011 9 3 0 0  214;209;210 
224 118.387 9 2 1 0 226 214;209 
224 120.879 9 3 1 1 226 214;209;226 226
224 123.42 9 2 1 1 226 209;226 226
224 125.87 9 2 1 1 226 209;226 226
224 128.282 10 2 1 0 211 209;226 
224 130.867 10 3 1 1 211 209;211;226 211
224 133.423 10 3 1 1 211 209;211;226 211
224 135.856 10 3 1 1 211 209;211;226 211
224 138.439 10 3 2 2 211;210 209;211;226 210;211
224 140.622 10 4 0 0  209;211;210;226 
224 143.548 11 4 1 1 210 209;211;210;226 210
224 146.419 11 4 1 1 210 209;211;210;226 210
224 149.289 11 4 2 2 210;214 209;211;210;226 210;214
224 152.601 11 5 1 1 214 214;209;211;210;226 214
224 155.275 11 4 1 1 214 214;209;211;226 214
224 158.375 12 4 1 1 214 214;209;211;226 214
224 160.946 12 3 1 1 214 214;209;211 214
224 163.706 12 2 2 2 210;209 214;209 210;209
224 166.497 12 3 2 1 209;214 214;209;210 209
224 169.391 12 2 3 2 209;214;210 214;209 209;214
224 172.329 13 2 2 2 209;214 214;209 209;214
224 175.672 13 2 0 0  214;209 
224 178.029 13 2 0 0  214;209 
224 180.549 13 2 1 1 213 214;209 213
224 183.291 13 3 1 1 213 214;209;213 213
224 186.227 14 2 1 1 213 214;213 213
224 189.408 14 3 4 4 213;211;226;222 214;211;213 222;213;226;211
224 192.817 14 3 3 3 211;226;222 214;211;213 222;226;211
224 196.707 14 4 3 0 226;222;217 211;213;226;222 
224 200.414 14 4 3 2 222;218;211 217;211;226;222 218;211
224 205.607 15 5 2 1 218;226 217;218;211;226;222 226
