ID TIME BLK BLOCK BALANCE UBI PAY #ROBOT MEAN #VOTES #OKVOTES R? C?
214 19.826 3 3 0.01 20 0 10 5000000 0 0 False False
214 21.4 3 3 0.01 20 0 10 5000000 0 0 False False
214 45.347 4 3 40.01 0 0 10 5000000 0 0 False False
214 54.258 5 4 40.01 0 0 10 5000000 0 0 False False
214 60.558 5 4 40.01 0 0 10 5000000 0 0 False False
214 65.771 6 5 0.01 20 0 10 5000000 6 0 False False
214 69.823 6 6 0.01 20 0 10 5000000 6 0 False False
214 78.042 7 7 20.01 0 0 10 5000000 10 0 True False
214 92.051 8 8 20.01 0 40 10 2125210 10 10 False False
214 120.551 9 9 60.01 0 0 10 2125210 10 10 False False
214 123.158 10 10 60.01 20 0 10 2125210 10 10 False False
214 146.83 11 11 60.01 20 0 10 2125210 10 10 False False
214 171.846 12 12 40.01 0 0 10 2125210 15 10 False False
214 186.526 14 13 40.01 0 0 10 2125210 15 10 False False
214 192.83 14 14 40.01 0 0 10 2125210 15 10 False False
214 202.265 15 15 0.01 0 0 10 2125210 18 10 False False
214 240.277 17 15 0.01 0 40 10 2315498 25 17 False False
214 243.36 18 16 0.01 0 40 10 2315498 30 17 True False
214 245.371 18 17 0.01 20 40 10 2315498 30 17 True False
214 250.42 18 18 0.01 20 40 10 2315498 27 17 False False
214 252.292 18 18 0.01 20 40 10 2315498 27 17 False False
214 271.29 20 19 60.01 0 0 10 2315498 30 25 False False
214 289.036 21 19 100.01 0 0 10 2555401 30 25 False False
214 296.788 21 20 60.01 0 0 10 2555401 36 25 False False
214 303.684 22 21 60.01 0 0 10 2555401 37 25 False False
214 309.544 22 22 60.01 0 0 10 2555401 37 25 False False
214 313.884 22 22 60.01 0 0 10 2555401 37 25 False False
214 318.496 23 23 60.01 0 0 10 2555401 37 25 False False
214 348.183 24 24 20.01 0 0 10 2555401 43 25 True False
214 358.214 25 25 20.01 0 40 10 2698919 43 35 False True
214 360.409 25 25 20.01 0 40 10 2698919 43 35 False True
214 373.176 26 26 20.01 0 40 10 2698919 43 35 False True
214 376.941 27 26 20.01 0 40 10 2698919 43 35 False True
214 381.788 27 27 60.01 0 0 10 2698919 47 35 False True
214 392.696 28 28 60.01 0 0 10 2698919 48 35 False True
214 408.9 29 29 60.01 0 0 10 2698919 48 35 False True
