ID TIME BLK ESTIMATE W B S1 S2 S3
213 6.376 2 0 3 0 960 959 968
213 7.388 2 0 6 0 912 855 956
213 8.389 2 0 9 0 959 958 967
213 9.405 2 0 11 1 701 565 937
213 10.419 2 0 11 4 374 320 561
213 11.442 2 0 11 7 381 325 572
213 12.461 2 0 12 9 459 492 726
213 13.472 2 0 15 9 961 958 968
213 14.487 2 0 18 9 948 931 966
213 15.533 2 0 21 9 962 960 970
213 16.595 3 0 24 9 962 960 969
213 17.837 3 0 27 9 952 928 965
213 18.855 3 0 30 9 963 961 970
213 19.86 3 0 33 9 963 961 971
213 20.869 3 0 36 9 963 961 971
213 21.981 3 0 36 12 593 505 651
213 23.008 3 0 36 15 384 326 637
213 24.017 3 0 38 16 583 792 969
213 25.164 3 0 41 16 961 959 968
213 26.207 3 0 44 16 730 708 826
213 27.503 3 0 44 19 384 327 575
213 28.638 3 0 44 22 380 320 561
213 29.695 3 0 47 22 771 742 831
213 30.7 3 0 50 22 962 957 964
213 32.301 4 0 53 22 937 893 958
213 33.303 4 0 56 22 945 934 964
213 34.312 4 0 59 22 939 905 927
213 35.349 4 0 59 25 390 320 558
213 36.353 4 0 59 28 387 324 569
213 37.361 4 0 59 31 380 328 571
213 38.377 4 0 59 34 482 318 552
213 39.393 4 0 60 36 828 529 540
213 40.395 4 0 60 39 378 324 568
213 41.404 4 0 60 42 377 321 567
213 42.413 4 0 60 45 377 321 561
213 43.446 4 0 60 48 459 320 564
213 44.45 4 0 60 51 380 324 567
213 45.463 5 0 60 54 369 310 547
213 46.607 5 0 60 57 378 320 565
213 47.61 5 0 60 60 377 323 569
213 48.617 5 0 60 63 380 322 569
213 49.649 5 0 60 66 370 312 549
213 50.655 5 0 60 69 377 317 554
213 51.671 5 0 62 70 849 680 726
213 52.736 5 0 65 70 963 962 949
213 53.798 5 0 66 72 782 562 569
213 54.914 5 0 66 75 379 321 657
213 55.954 5 0 66 78 345 315 636
213 57.013 5 0 66 81 376 319 561
213 58.027 5 0 66 84 354 302 537
213 59.036 5 0 66 87 374 320 562
213 60.158 5 0 66 90 381 324 568
213 61.22 6 0 66 93 379 319 561
213 62.263 6 0 66 96 382 322 565
213 63.322 6 0 66 99 697 549 670
213 64.325 6 0 69 99 958 955 906
213 65.334 6 0 72 99 955 949 844
213 66.464 6 0 75 99 956 957 966
213 67.481 6 0 78 99 958 958 964
213 68.498 6 0 81 99 960 958 967
213 69.641 6 0 84 99 961 959 968
213 70.673 6 0 85 101 671 601 742
213 71.71 6 0 85 104 384 325 572
213 72.717 6 0 85 107 377 321 564
213 73.731 6 0 85 110 378 319 562
213 74.741 6 0 86 112 384 489 821
213 75.786 6 0 89 112 895 959 969
213 76.81 7 0 92 112 963 955 968
213 77.823 7 0 95 112 962 959 968
213 78.83 7 0 95 115 640 547 677
213 79.842 7 0 95 118 379 321 563
213 80.848 7 0 95 121 379 322 561
213 81.86 7 0 95 124 362 308 527
213 82.879 7 0 95 127 381 325 569
213 83.895 7 0 95 130 380 324 566
213 84.906 7 0 95 133 380 324 567
213 85.937 7 0 95 136 378 323 567
213 86.944 7 0 95 139 380 324 567
213 87.959 7 0 95 142 381 322 563
213 88.968 7 0 95 145 378 322 565
213 90.004 7 0 95 148 378 321 560
213 91.009 8 0 95 151 381 326 571
213 92.019 8 0 95 154 377 328 571
213 93.074 8 0 95 157 382 331 576
213 94.08 8 0 95 160 384 328 571
213 95.096 8 0 95 163 373 317 553
213 96.117 8 0 95 166 373 318 556
213 97.167 8 0 95 169 375 319 662
213 98.181 8 0 97 170 658 849 969
213 99.195 8 0 100 170 960 958 969
213 100.208 8 0 103 170 962 959 970
213 101.233 8 0 106 170 961 958 969
213 102.253 8 0 109 170 962 960 971
213 103.291 8 0 112 170 950 943 968
213 104.369 8 0 115 170 877 811 955
213 105.386 8 0 118 170 914 864 955
213 106.454 9 0 121 170 948 933 963
213 107.972 9 0 124 170 953 926 965
213 109.191 9 0 127 170 959 958 967
213 110.197 9 0 130 170 961 959 967
213 111.238 9 0 133 170 962 960 969
213 112.257 9 0 133 173 611 446 604
213 113.309 9 0 133 176 382 324 570
213 114.32 9 0 133 179 376 324 557
213 115.437 9 0 133 182 383 324 562
213 116.488 9 0 133 185 376 314 553
213 118.33 9 0 133 188 523 463 654
213 119.718 9 0 136 188 959 957 969
213 122.649 10 0 136 191 568 528 696
213 123.688 10 0 136 194 389 328 567
213 125.309 10 0 136 197 380 323 560
213 126.325 10 0 136 200 384 328 573
213 128.059 10 0 136 203 615 468 649
213 129.296 10 0 139 203 962 962 970
213 130.443 10 0 142 203 962 961 971
213 131.54 10 0 145 203 760 883 971
213 132.58 10 0 145 206 379 319 606
213 133.594 10 0 145 209 380 323 566
213 134.637 10 0 145 212 381 322 564
213 136.402 11 0 145 215 358 302 531
213 137.688 11 0 145 218 380 323 570
213 138.715 11 0 145 221 376 323 560
213 139.889 11 0 145 224 365 308 511
213 141.112 11 0 145 227 374 315 548
213 142.125 11 0 148 227 809 785 821
213 143.934 11 0 151 227 958 957 967
213 145.262 11 0 154 227 865 950 965
213 147.244 11 0 154 230 381 333 657
213 148.727 11 0 154 233 369 313 554
213 149.933 11 0 154 236 378 321 572
213 151.214 12 0 157 236 753 900 966
213 152.546 12 0 160 236 960 957 968
213 153.561 12 0 163 236 961 959 969
213 154.574 12 0 166 236 962 891 778
213 155.598 12 0 166 239 432 328 567
213 156.602 12 0 166 242 385 328 566
213 157.612 12 0 166 245 384 326 570
213 158.644 12 0 166 248 367 310 550
213 159.756 12 0 166 251 494 321 562
213 160.796 12 0 166 254 384 327 573
213 161.801 12 0 166 257 384 323 565
213 162.887 12 0 166 260 371 316 556
213 163.901 12 0 166 263 621 334 543
213 165.1 12 0 168 264 961 739 551
213 166.11 13 0 171 264 963 958 968
213 167.15 13 0 174 264 964 961 971
