ID TIME BLK #BUFFER #GETH #ALLOWED BUFFERPEERS GETHPEERS ALLOWED
213 5.471 2 0 0 0   
213 7.916 2 1 1 1 209 209 209
213 10.122 2 1 2 1 209;224 209 209
213 12.581 2 2 2 2 209;224 209;224 224;209
213 14.975 2 2 2 2 209;224 209;224 224;209
213 17.064 3 2 2 2 209;224 209;224 224;209
213 19.697 3 2 1 1 224 209;224 224
213 22.173 3 2 1 1 224 209;224 224
213 24.579 3 0 1 1 224  224
213 26.619 3 1 2 2 224;211 211 211;224
213 28.673 3 1 3 3 224;211;209 211 211;209;224
213 31.047 4 2 4 3 224;211;209;210 210;211 224;209;211
213 33.533 4 3 3 2 224;211;209 209;210;211 209;211
213 36.158 4 3 3 3 224;211;209 209;210;211 224;209;211
213 38.834 4 3 3 3 224;211;209 209;210;211 224;209;211
213 41.171 4 3 1 1 224 209;210;211 224
213 43.676 4 3 1 1 224 209;210;211 224
213 46.252 5 2 1 1 224 209;211 224
213 48.497 5 2 1 1 224 209;211 224
213 50.92 5 2 0 0  209;211 
213 53.251 5 2 0 0  209;211 
213 56.369 5 1 2 1 211;210 211 210
213 58.869 5 1 1 1 210 211 210
213 61.723 5 1 2 2 210;211 211 211;210
213 64.293 6 1 2 2 210;211 211 211;210
213 66.703 6 2 1 1 210 210;211 210
213 69.108 6 2 0 0  210;211 
213 71.204 6 1 2 2 210;224 210 224;210
213 73.362 6 1 1 1 224 210 224
213 75.733 6 1 1 1 224 210 224
213 78.515 7 0 0 0   
213 80.795 7 1 1 1 210 224 210
213 83.287 7 0 0 0   
213 85.794 7 0 0 0   
213 88.309 7 1 1 1 209 209 209
213 90.797 7 1 1 1 209 209 209
213 92.886 8 1 1 1 209 209 209
213 95.797 8 1 0 0  209 
213 98.205 8 1 0 0  209 
213 100.7 8 0 0 0   
213 103.201 8 0 0 0   
213 105.701 8 0 0 0   
213 108.206 8 0 0 0   
213 110.717 8 0 0 0   
213 112.734 8 0 1 1 209  209
213 115.255 8 0 1 1 209  209
213 117.741 8 0 1 1 209  209
213 120.252 8 0 1 1 209  209
213 122.771 8 1 1 1 209 209 209
213 125.27 8 1 1 1 209 209 209
213 127.854 8 1 1 1 209 209 209
213 130.33 9 1 1 1 209 209 209
213 132.957 9 1 0 0  209 
213 135.37 9 2 2 1 218;211 209;218 218
213 137.969 9 2 2 2 218;211 218;211 211;218
213 140.398 10 2 2 2 218;211 218;211 211;218
213 143.482 10 2 1 1 218 218;211 218
213 146.385 10 2 1 1 218 218;211 218
213 148.801 10 1 1 1 218 218 218
213 151.281 10 2 1 1 218 218;211 218
213 153.748 10 1 1 1 218 218 218
213 156.28 10 2 2 2 218;210 210;218 210;218
213 158.436 10 2 1 1 210 210;218 210
213 161.088 11 2 2 2 210;218 210;218 210;218
213 163.482 11 2 2 2 210;218 210;218 210;218
213 166.504 11 2 1 1 210 210;218 210
213 169.131 11 2 0 0  210;218 
213 171.285 12 2 1 1 211 210;218 211
213 173.911 12 3 1 1 211 210;218;211 211
213 176.359 12 2 1 1 211 210;211 211
213 179.039 12 2 1 1 210 210;211 210
213 181.479 12 3 2 2 210;218 210;218;211 210;218
213 183.638 12 2 1 1 218 218;211 218
213 186.03 13 1 1 1 218 218 218
213 188.103 13 1 1 1 218 218 218
213 190.775 13 2 1 1 218 210;218 218
213 193.227 13 1 1 1 218 218 218
213 195.739 13 1 0 0  218 
213 198.242 13 0 1 1 209  209
213 200.79 13 1 1 1 209 209 209
213 203.264 13 1 1 1 209 209 209
213 205.802 13 1 1 1 209 209 209
213 207.892 13 1 1 1 209 209 209
213 210.299 14 1 1 1 209 209 209
213 212.837 14 1 1 1 209 209 209
213 215.348 14 1 2 2 209;224 209 224;209
213 217.906 14 1 2 2 209;224 224 224;209
213 220.636 14 1 1 1 209 224 209
213 223.138 15 2 2 2 209;226 224;226 209;226
213 225.837 15 3 3 3 209;226;218 218;224;226 209;226;218
213 228.551 15 3 2 2 209;226 218;224;226 209;226
213 231.12 15 2 1 1 209 218;226 209
213 233.571 15 2 1 1 209 218;226 209
213 235.811 15 3 1 1 209 209;218;226 209
213 238.657 15 3 1 1 209 209;218;226 209
213 241.092 15 2 1 1 209 209;226 209
213 243.581 15 1 1 1 209 209 209
213 246.916 16 1 1 1 209 209 209
213 249.927 16 1 1 1 209 209 209
213 252.206 16 1 1 1 209 209 209
213 254.704 16 1 1 1 209 209 209
213 257.21 16 1 1 1 209 209 209
213 259.238 16 1 1 1 209 209 209
213 261.802 17 1 1 1 209 209 209
213 264.274 17 1 1 1 209 209 209
