ID TIME BLK #BUFFER #GETH #ALLOWED BUFFERPEERS GETHPEERS ALLOWED
107 0.323 1 0 0 0   
107 2.678 1 1 1 1 104 104 104
107 5.211 1 2 2 2 104;105 105;104 104;105
107 7.71 1 2 2 2 104;105 105;104 104;105
107 10.259 1 2 2 2 104;105 105;104 104;105
107 12.467 1 2 1 1 105 105;104 105
107 14.784 1 2 1 1 105 105;104 105
107 17.358 2 1 1 1 105 105 105
107 19.785 2 1 1 1 105 105 105
107 22.373 2 2 2 2 105;104 105;104 104;105
107 24.839 2 2 2 2 105;104 105;104 104;105
107 27.568 2 2 1 1 104 105;104 104
107 29.911 2 1 2 2 104;105 105 104;105
107 32.124 3 1 1 1 104 105 104
107 34.786 3 1 1 1 104 105 104
107 37.348 3 2 0 0  105;104 
107 40.457 3 2 2 1 104;105 105;104 104
107 43.1 3 2 2 2 105;104 105;104 104;105
107 45.311 4 2 1 0 105 105;104 
107 48.091 4 2 1 1 105 105;104 105
107 50.502 4 2 0 0  105;104 
107 53.134 4 1 0 0  105 
107 55.7 4 0 1 1 105  105
107 58.353 4 1 2 2 105;110 110 105;110
107 61.097 5 1 2 2 110;104 110 104;110
107 63.46 5 2 0 0  110;104 
107 65.603 5 1 0 0  110 
107 67.732 5 1 0 0  110 
107 70.212 5 1 2 2 110;104 110 104;110
