ID TIME BLK ESTIMATE W B S1 S2 S3
110 0.066 0 0 3 0 963 953 966
110 1.067 1 0 6 0 916 840 943
110 2.073 1 0 9 0 845 713 901
110 3.084 1 0 12 0 909 825 934
110 4.094 1 0 14 1 820 688 877
110 5.114 1 0 17 1 932 889 947
110 6.134 1 0 20 1 963 952 965
110 7.139 1 0 23 1 964 954 966
110 8.159 1 0 26 1 964 954 966
110 9.197 1 0 29 1 915 827 944
110 10.211 1 0 32 1 963 945 965
110 11.223 1 0 35 1 907 812 933
110 12.23 1 0 37 2 746 577 833
110 13.27 1 0 39 3 747 580 840
110 14.292 1 0 41 4 766 591 850
110 15.424 1 0 44 4 912 846 936
110 16.646 2 0 47 4 905 813 938
110 17.649 2 0 50 4 945 880 959
110 18.682 2 0 53 4 965 955 967
110 19.693 2 0 56 4 913 800 945
110 20.731 2 0 59 4 935 834 956
110 21.887 2 0 62 4 964 953 966
110 22.898 2 0 64 5 810 680 866
110 24.006 2 0 67 5 910 800 940
110 25.025 2 0 70 5 919 800 947
110 26.168 2 0 73 5 936 891 954
110 27.198 2 0 76 5 951 897 960
110 28.205 2 0 79 5 950 921 959
110 29.224 2 0 82 5 933 866 952
110 30.571 2 0 85 5 964 954 966
110 31.993 3 0 88 5 963 948 966
