ID TIME BLK ESTIMATE W B S1 S2 S3
110 0.065 1 0 2 1 786 606 874
110 1.066 1 0 4 2 797 612 875
110 2.07 1 0 7 2 867 730 912
110 3.074 1 0 9 3 777 597 855
110 4.075 1 0 12 3 944 906 953
110 5.081 1 0 15 3 963 953 965
110 6.104 1 0 18 3 963 953 965
110 7.11 1 0 21 3 926 842 944
110 8.115 1 0 24 3 857 709 902
110 9.129 1 0 27 3 955 903 962
110 10.14 1 0 30 3 964 953 965
110 11.151 1 0 33 3 934 888 950
110 12.157 1 0 36 3 933 873 948
110 13.18 1 0 39 3 962 943 963
110 14.189 1 0 41 4 830 670 892
110 15.208 1 0 43 5 786 605 865
