ID TIME BLK CHAINDATASIZE %CPU
213 64.28 7 209574 62.56
213 98.847 7 209678 62.28
213 145.082 12 228992 62.93
213 209.72 16 250383 63.85
213 252.717 19 255244 64.35
213 281.889 19 255452 64.51
213 339.468 24 294778 65.27
213 398.914 28 309867 65.66
213 418.511 29 317530 65.9
213 473.017 33 335438 66.56
213 503.196 34 344362 66.85
213 558.868 38 367843 67.04
213 603.507 41 376656 67.52
213 654.109 44 412932 68.05
213 695.099 47 423836 68.49
213 738.387 50 439773 68.92
213 786.984 53 462600 69.03
213 829.813 56 474817 69.46
213 875.945 59 492172 69.89
213 918.137 62 510501 70.19
213 962.229 65 524545 70.12
213 1036.353 69 539668 70.0
213 1052.839 71 550502 70.14
213 1097.943 74 561618 70.53
213 1141.501 77 581965 70.9
213 1188.538 80 609622 71.15
213 1235.403 83 621342 71.52
213 1296.661 87 642629 72.0
213 1325.643 89 651620 72.22
