ID TIME BLK #BLOCKS
214 17.19 4 1
214 44.984 5 2
214 56.183 6 2
214 66.169 7 1
214 84.285 7 1
214 91.512 8 3
214 101.696 9 1
214 115.069 9 1
214 124.068 10 1
214 136.495 11 1
214 146.817 12 1
214 154.455 12 2
214 174.824 13 1
214 182.2 14 1
214 190.814 15 1
214 205.58 16 1
214 220.15 17 1
214 235.82 18 1
214 251.257 19 1
214 289.122 21 2
214 314.257 22 5
214 351.38 25 6
214 360.457 25 1
214 394.598 27 1
214 405.346 28 2
214 426.086 30 4
214 464.506 32 2
214 490.967 34 2
214 509.074 34 1
214 511.433 35 2
214 527.268 36 1
214 532.505 36 1
214 540.728 37 1
214 555.294 38 1
214 572.228 39 1
214 587.775 40 1
214 600.028 41 1
214 609.056 41 1
214 624.729 42 3
214 675.067 45 5
214 753.251 51 12
214 842.817 57 8
214 889.851 60 6
214 914.116 61 1
214 920.914 62 1
214 932.522 63 1
214 946.542 64 2
214 962.266 65 1
214 976.018 66 1
214 998.547 67 2
214 1051.913 71 7
214 1138.636 76 8
214 1227.487 82 11
214 1317.483 88 9
