ID TIME BLK VOTE
217 69.418 7 3057553
217 98.493 8 None
217 150.488 12 None
217 206.645 16 3158415
217 236.509 18 None
217 288.248 21 2815344
217 337.046 24 2880133
217 370.823 26 None
217 425.582 30 2898116
217 475.717 33 3003846
217 506.377 34 None
217 558.439 38 None
217 601.873 41 3154261
217 647.131 44 3106229
217 691.704 47 2982410
217 739.113 50 2979085
217 784.993 53 3096109
217 830.922 56 3195407
217 871.782 59 3145260
217 933.71 63 3022213
217 975.735 66 3035780
217 1008.927 68 2996447
217 1053.192 71 3014605
217 1097.502 74 2936482
217 1144.954 77 2864957
217 1189.014 80 2786959
217 1233.417 83 2808874
217 1277.748 86 2831005
217 1339.784 90 2843084
