ID TIME BLK ESTIMATE W B S1 S2 S3
222 6.167 3 0.125 0 3 177 340 359
222 7.176 3 0.071 0 6 176 335 487
222 8.177 3 0.35 3 6 807 960 955
222 9.18 3 0.269 3 9 307 539 628
222 10.185 3 0.219 3 12 181 336 359
222 11.192 3 0.184 3 15 180 331 358
222 12.193 3 0.159 3 18 389 561 620
222 13.194 3 0.26 6 18 957 964 960
222 14.196 3 0.339 9 18 956 963 959
222 15.202 3 0.403 12 18 958 964 917
222 16.203 3 0.368 12 21 439 581 350
222 17.205 4 0.338 12 24 175 327 354
222 18.235 4 0.312 12 27 176 327 355
222 19.246 4 0.291 12 30 180 326 351
222 20.255 4 0.293 13 32 754 596 445
222 21.256 4 0.337 16 32 958 964 959
222 22.257 4 0.375 19 32 958 965 961
222 23.259 4 0.409 22 32 958 964 961
222 24.263 4 0.44 25 32 957 965 961
222 25.264 4 0.434 26 34 257 637 739
222 26.281 4 0.414 26 37 170 321 350
222 27.293 4 0.396 26 40 167 315 343
222 28.3 4 0.379 26 43 155 290 324
222 29.303 4 0.363 26 46 154 292 328
222 30.304 4 0.349 26 49 171 320 344
222 31.335 5 0.335 26 52 160 304 337
222 32.346 5 0.36 29 52 750 847 894
222 33.358 5 0.382 32 52 958 964 961
222 34.377 5 0.403 35 52 958 964 961
222 35.417 5 0.423 38 52 957 964 960
222 36.43 5 0.441 41 52 954 935 785
222 37.454 5 0.428 41 55 308 318 350
222 38.469 5 0.415 41 58 171 326 352
222 39.494 5 0.403 41 61 171 324 352
222 40.495 5 0.392 41 64 171 319 348
222 41.496 5 0.381 41 67 171 321 350
222 42.511 5 0.371 41 70 172 322 350
222 43.511 5 0.361 41 73 171 319 347
222 44.512 5 0.377 44 73 774 833 837
222 45.515 5 0.393 47 73 958 965 961
222 46.515 6 0.407 50 73 958 964 961
222 47.553 6 0.398 50 76 412 527 536
222 48.574 6 0.388 50 79 176 327 354
222 49.577 6 0.38 50 82 180 326 349
222 50.596 6 0.393 53 82 701 775 782
222 51.635 6 0.406 56 82 958 964 960
222 52.651 6 0.419 59 82 958 964 959
222 53.737 6 0.431 62 82 926 957 938
222 54.753 6 0.443 65 82 908 955 943
222 55.769 6 0.454 68 82 956 962 957
222 56.783 6 0.464 71 82 955 961 955
222 57.784 6 0.462 72 84 345 573 707
222 58.806 6 0.453 72 87 170 311 339
222 59.807 6 0.445 72 90 177 318 348
222 60.813 6 0.449 74 91 475 710 821
222 61.839 6 0.459 77 91 955 962 957
222 62.844 7 0.462 79 92 644 958 954
222 63.851 7 0.454 79 95 174 355 686
222 64.858 7 0.447 79 98 182 333 353
222 65.86 7 0.439 79 101 175 322 348
222 66.862 7 0.432 79 104 182 325 356
222 67.863 7 0.425 79 107 193 339 364
222 68.864 7 0.418 79 110 182 338 368
222 69.866 7 0.412 79 113 188 342 371
222 70.868 7 0.406 79 116 180 333 361
222 71.869 7 0.399 79 119 177 325 350
222 72.872 7 0.394 79 122 181 331 356
222 73.872 7 0.388 79 125 187 334 358
222 74.876 7 0.382 79 128 181 333 359
222 75.878 7 0.377 79 131 179 329 355
222 76.881 8 0.371 79 134 177 326 354
222 77.893 8 0.366 79 137 172 318 346
222 78.904 8 0.361 79 140 177 331 358
222 79.904 8 0.357 79 143 176 327 355
