ID TIME BLK #BUFFER #GETH #ALLOWED BUFFERPEERS GETHPEERS ALLOWED
222 5.92 2 0 0 0   
222 11.422 2 1 0 0  211 
222 17.022 3 2 2 2 211;224 224;211 211;224
222 22.375 3 3 2 2 224;217 224;211;217 217;224
222 27.783 3 3 1 1 217 224;211;217 217
222 32.969 4 2 1 1 224 224;217 224
222 38.24 4 2 0 0  224;217 
222 43.478 4 2 0 0  224;211 
222 49.003 5 1 0 0  211 
222 54.096 5 1 0 0  211 
222 59.529 5 0 0 0   
222 66.062 6 3 2 2 226;211 226;214;211 226;211
222 71.724 6 3 2 1 226;213 226;214;211 226
222 77.453 7 4 0 0  226;214;213;211 
222 83.405 7 5 1 1 224 224;226;214;213;211 224
222 89.231 7 5 1 1 224 224;226;214;213;211 224
222 96.017 8 5 2 1 224;214 224;214;213;211;210 224
222 102.913 8 4 1 1 224 224;214;211;210 224
222 110.438 9 6 3 3 226;218;224 224;218;226;214;211;210 218;226;224
222 116.779 9 6 2 1 213;214 224;218;226;214;213;210 213
222 124.476 10 7 2 2 213;209 224;209;218;226;214;213;210 213;209
222 131.049 10 6 0 0  209;218;226;214;213;210 
222 138.564 11 6 1 1 211 209;218;226;213;211;210 211
222 145.222 11 5 2 1 224;211 209;218;226;213;211 211
222 152.833 12 6 1 1 224 224;209;218;226;213;211 224
222 159.962 12 4 1 1 224 224;209;218;226 224
222 166.201 13 2 2 2 209;224 209;218 209;224
222 171.51 13 1 1 1 209 209 209
222 177.477 13 2 1 1 209 209;213 209
222 183.366 14 2 1 1 211 209;211 211
222 188.961 14 2 1 0 211 209;211 
222 194.685 14 1 0 0  224 
222 200.234 15 2 1 1 226 224;226 226
222 205.749 15 1 1 1 226 226 226
222 211.057 15 1 1 1 226 226 226
222 216.439 16 1 1 1 226 226 226
222 222.002 16 1 1 1 226 226 226
222 227.442 17 2 2 2 211;210 226;211 210;211
222 233.296 17 4 1 1 218 218;226;211;210 218
222 240.84 18 3 1 0 218 218;211;210 
222 246.444 18 3 0 0  218;211;210 
222 252.31 18 3 1 1 211 218;211;210 211
222 258.597 19 3 0 0  218;211;210 
222 264.047 19 3 1 1 217 218;210;217 217
222 269.433 19 2 1 1 226 226;217 226
222 274.896 20 2 1 1 226 226;217 226
222 280.535 20 2 1 1 217 226;217 217
222 285.964 20 2 1 1 217 226;217 217
222 291.601 21 1 0 0  217 
222 296.865 21 1 0 0  217 
222 301.942 22 1 1 1 209 209 209
222 307.014 22 1 1 1 209 209 209
222 312.531 22 1 1 1 209 209 209
222 317.736 23 2 2 2 209;210 209;210 210;209
