ID TIME BLK #BLOCKS
211 17.01 3 1
211 20.844 3 1
211 30.544 4 1
211 46.753 5 1
211 54.301 5 1
211 64.395 6 3
211 73.689 6 1
211 78.71 7 1
211 81.077 7 1
211 92.205 8 1
211 107.116 9 1
211 122.323 10 1
211 138.016 11 1
211 151.172 12 1
211 162.825 12 1
211 171.443 13 1
211 183.547 14 1
211 185.32 14 1
211 197.072 15 1
211 207.311 15 1
211 213.253 16 1
211 218.25 16 1
211 227.02 17 1
211 242.776 18 1
211 258.681 19 2
211 274.603 20 2
211 288.839 21 1
211 302.41 22 1
211 330.335 23 1
211 335.369 24 1
211 346.382 25 1
211 350.543 25 2
211 360.709 26 1
