ID TIME BLK ESTIMATE W B S1 S2 S3
209 5.828 2 0.875 3 0 936 940 936
209 6.83 2 0.929 6 0 935 933 907
209 7.832 2 0.95 9 0 940 940 935
209 8.833 2 0.808 10 2 563 680 868
209 9.834 2 0.656 10 5 375 280 261
209 10.836 2 0.553 10 8 374 283 266
209 11.838 2 0.477 10 11 377 284 265
209 12.839 2 0.42 10 14 486 294 269
209 13.84 2 0.411 11 16 454 524 796
209 14.842 2 0.468 14 16 956 953 946
209 15.844 3 0.515 17 16 701 953 949
209 16.85 3 0.5 18 18 381 446 886
209 17.853 3 0.512 20 19 830 892 380
209 18.854 3 0.523 22 20 952 951 283
209 19.864 3 0.533 24 21 952 843 478
209 20.871 3 0.5 24 24 688 282 261
209 21.874 3 0.471 24 27 372 281 263
209 22.875 3 0.445 24 30 377 286 268
209 23.881 3 0.422 24 33 376 284 264
209 24.897 3 0.418 25 35 390 454 711
209 25.919 3 0.398 25 38 418 354 462
209 26.93 3 0.381 25 41 380 286 268
209 27.936 3 0.364 25 44 373 282 265
209 28.943 3 0.349 25 47 375 283 265
209 29.96 3 0.336 25 50 377 280 264
209 30.959 3 0.323 25 53 369 281 268
209 31.963 4 0.311 25 56 376 285 268
209 32.969 4 0.335 28 56 854 870 896
209 33.978 4 0.358 31 56 949 948 943
209 34.99 4 0.379 34 56 948 948 944
209 36.003 4 0.399 37 56 949 948 942
209 37.012 4 0.418 40 56 949 948 942
209 38.023 4 0.435 43 56 949 947 941
209 39.034 4 0.451 46 56 949 948 940
209 40.035 4 0.439 46 59 377 346 400
209 41.036 4 0.427 46 62 366 275 359
209 42.037 4 0.415 46 65 370 276 264
209 43.039 4 0.404 46 68 370 281 265
209 44.04 4 0.394 46 71 375 281 263
209 45.046 4 0.384 46 74 373 281 262
209 46.047 5 0.375 46 77 375 283 264
209 47.05 5 0.366 46 80 377 282 263
209 48.055 5 0.358 46 83 371 279 262
209 49.056 5 0.35 46 86 373 281 265
209 50.064 5 0.342 46 89 375 283 265
209 51.066 5 0.335 46 92 374 282 262
209 52.067 5 0.327 46 95 375 282 263
209 53.068 5 0.321 46 98 377 285 265
209 54.079 5 0.314 46 101 378 284 274
209 55.08 5 0.315 47 103 386 440 842
209 56.086 5 0.328 50 103 946 946 918
209 57.093 5 0.341 53 103 950 946 920
209 58.094 5 0.353 56 103 936 926 900
209 59.096 5 0.365 59 103 932 940 920
209 60.1 5 0.364 60 105 805 673 355
209 61.114 5 0.358 60 108 363 271 253
209 62.116 5 0.352 60 111 374 281 259
209 63.118 5 0.346 60 114 368 280 261
209 64.119 5 0.34 60 117 369 277 261
209 65.126 5 0.334 60 120 371 276 258
209 66.131 5 0.329 60 123 377 283 265
209 67.138 5 0.324 60 126 374 282 265
209 68.167 5 0.318 60 129 368 277 260
209 69.174 5 0.313 60 132 377 284 262
209 70.22 5 0.309 60 135 378 287 266
209 71.227 5 0.304 60 138 375 281 264
209 72.229 5 0.3 60 141 356 265 251
209 73.238 5 0.295 60 144 359 268 252
209 74.247 6 0.291 60 147 360 269 252
209 75.262 6 0.287 60 150 375 283 265
209 76.288 6 0.283 60 153 376 284 266
209 77.334 6 0.279 60 156 377 283 265
209 78.336 6 0.275 60 159 375 284 265
209 79.349 6 0.28 62 160 363 755 753
209 80.363 6 0.285 64 161 371 946 939
209 81.364 6 0.29 66 162 375 949 941
209 82.365 6 0.287 66 165 373 513 501
209 83.367 6 0.283 66 168 375 284 265
209 84.369 6 0.279 66 171 376 281 263
209 85.372 6 0.28 67 173 722 286 259
209 86.373 6 0.281 68 175 947 297 266
209 87.382 6 0.281 69 177 733 294 267
209 88.383 6 0.278 69 180 573 456 382
209 89.384 6 0.287 72 180 949 951 944
209 90.385 6 0.295 75 180 949 948 940
209 91.396 6 0.303 78 180 946 938 931
209 92.401 6 0.307 80 181 663 758 906
209 93.403 6 0.315 83 181 849 895 940
209 94.413 7 0.312 83 184 376 285 294
209 95.418 7 0.308 83 187 375 283 266
209 96.444 7 0.305 83 190 376 283 264
209 97.447 7 0.301 83 193 376 284 268
209 98.448 7 0.298 83 196 373 283 265
209 99.449 7 0.295 83 199 369 281 265
209 100.451 7 0.292 83 202 372 283 268
209 101.452 7 0.289 83 205 364 272 256
209 102.457 7 0.286 83 208 366 277 260
