ID TIME BLK #BUFFER #GETH #ALLOWED BUFFERPEERS GETHPEERS ALLOWED
226 5.363 2 0 0 0   
226 7.845 2 2 2 2 210;211 211;210 210;211
226 10.017 2 2 1 1 211 211;210 211
226 12.5 2 2 2 2 211;210 211;210 210;211
226 15.088 2 3 1 1 218 211;210;218 218
226 17.767 3 3 1 1 218 211;210;218 218
226 20.273 3 3 1 1 211 211;210;218 211
226 22.584 3 2 1 1 211 211;218 211
226 25.22 3 2 0 0  211;218 
226 27.36 3 1 0 0  218 
226 29.417 3 1 0 0  218 
226 31.505 3 1 0 0  218 
226 33.63 4 1 0 0  218 
226 36.056 4 0 0 0   
226 38.598 4 1 2 1 210;218 210 218
226 40.814 4 1 2 2 218;214 210 214;218
226 43.203 4 2 3 3 218;214;210 214;210 214;210;218
226 46.808 5 2 2 2 218;210 214;210 210;218
226 49.406 5 2 0 0  214;210 
226 53.273 5 4 2 2 217;214 217;214;210;218 214;217
226 56.643 5 4 3 3 217;214;218 217;214;210;218 214;217;218
226 59.952 5 3 2 2 214;218 217;214;218 214;218
226 63.35 6 3 0 0  217;214;218 
226 65.891 6 3 0 0  217;214;218 
226 69.128 6 3 1 1 209 217;214;209 209
226 73.53 6 4 0 0  217;214;209;218 
226 76.318 7 3 0 0  214;209;218 
226 79.755 7 4 1 1 211 214;211;209;218 211
226 82.998 7 4 3 2 211;213;218 214;211;209;213 211;213
226 89.209 7 6 2 2 218;210 217;214;211;210;209;213 210;218
226 92.063 7 5 0 0  217;211;210;209;213 
226 95.289 8 5 1 0 209 217;211;210;209;213 
226 98.587 8 4 1 1 209 217;210;209;213 209
226 102.71 8 2 0 0  209;213 
226 105.915 9 2 0 0  209;213 
226 108.603 9 1 1 1 209 213 209
226 111.687 9 2 2 1 209;217 209;213 209
226 115.335 9 4 3 2 209;217;214 217;211;209;213 209;217
226 119.138 9 5 1 1 217 217;214;211;209;213 217
226 123.039 10 5 1 0 209 217;214;211;209;213 
226 126.206 10 6 0 0  217;214;211;210;209;213 
226 129.157 10 3 1 1 209 217;214;210 209
226 131.527 10 2 1 1 209 217;214 209
226 133.994 10 2 1 1 209 217;214 209
226 136.234 10 2 1 1 209 217;214 209
226 138.489 11 2 1 1 209 217;214 209
226 141.187 11 2 2 1 209;217 217;214 209
226 143.632 11 2 2 2 209;217 217;214 217;209
226 146.231 11 3 1 1 217 217;214;209 217
226 148.86 11 3 2 2 209;217 217;214;209 209;217
226 151.443 11 3 1 1 209 217;214;209 209
226 154.289 12 3 1 1 209 217;214;209 209
226 157.472 12 2 0 0  217;209 
226 159.716 12 2 1 1 217 217;209 217
226 162.14 12 2 1 1 217 217;209 217
226 164.618 12 2 1 1 217 217;209 217
226 167.037 13 0 1 1 217  217
226 169.157 13 1 2 2 217;211 211 217;211
226 171.286 13 1 2 2 217;211 211 217;211
226 174.008 13 1 2 2 217;224 211 217;224
226 176.146 13 2 2 2 217;224 224;211 217;224
226 179.352 13 3 2 2 217;224 224;217;211 217;224
226 182.123 13 2 2 2 217;224 224;217 217;224
226 184.719 14 3 1 1 224 224;217;211 224
226 187.374 14 3 1 1 224 224;217;211 224
226 190.286 14 3 2 2 224;214 224;217;211 214;224
226 192.84 14 3 2 2 214;218 224;217;214 218;214
226 195.287 14 3 3 3 214;218;224 224;214;218 224;218;214
226 198.815 15 4 4 2 214;224;210;209 224;214;210;218 224;214
226 202.947 15 5 2 2 224;209 224;214;210;209;218 224;209
226 206.448 15 5 1 1 214 224;214;210;209;218 214
226 209.562 15 4 0 0  214;210;209;218 
226 213.525 16 5 0 0  224;214;210;209;218 
226 216.123 16 4 0 0  214;210;209;218 
226 218.679 16 4 0 0  214;210;209;218 
226 221.36 16 3 0 0  210;209;218 
226 224.011 16 3 1 0 224 210;209;218 
226 226.808 16 4 1 1 224 224;214;210;209 224
226 229.88 17 3 1 1 224 224;214;209 224
226 232.269 17 0 0 0   
226 234.677 17 1 1 1 222 222 222
226 237.304 17 1 1 1 222 222 222
226 239.869 17 1 1 1 222 222 222
226 242.588 18 2 2 1 222;210 222;210 222
226 244.909 18 2 1 1 222 222;210 222
226 247.365 18 2 0 0  222;210 
226 249.957 18 2 0 0  222;210 
226 252.51 18 2 0 0  222;210 
226 254.992 18 1 0 0  210 
226 257.482 18 1 1 1 210 210 210
226 260.189 19 1 1 0 217 210 
226 262.629 19 2 2 2 217;210 217;210 210;217
226 265.083 19 2 2 2 217;210 217;210 210;217
226 267.919 19 2 1 1 210 217;210 210
226 270.459 19 3 1 1 222 217;222;210 222
226 273.727 20 4 2 2 222;224 224;217;222;210 224;222
226 277.482 20 4 1 1 224 224;217;222;210 224
226 280.984 20 3 1 0 222 224;217;222 
226 283.708 20 3 2 2 222;224 224;217;222 222;224
226 287.956 21 2 1 0 224 224;217 
226 290.784 21 3 0 0  224;217;222 
226 293.299 21 3 1 0 211 224;217;222 
226 295.886 21 3 1 1 211 224;217;211 211
226 298.47 21 3 1 1 211 224;217;211 211
226 301.14 21 3 2 2 211;209 224;211;209 209;211
226 304.467 22 4 2 1 211;210 224;211;210;209 211
226 307.789 22 4 1 1 224 224;211;210;209 224
226 310.77 22 4 1 0 218 224;211;210;209 
226 313.953 22 4 1 1 218 224;211;209;218 218
226 316.309 22 3 0 0  211;209;218 
226 318.91 23 3 1 1 217 211;209;218 217
226 321.923 23 4 1 1 217 217;211;209;218 217
