ID TIME BLK #BUFFER #GETH #ALLOWED BUFFERPEERS GETHPEERS ALLOWED
222 5.49 2 0 0 0   
222 7.813 2 1 1 1 209 209 209
222 10.362 2 1 1 1 209 209 209
222 12.861 2 1 1 1 209 209 209
222 15.42 2 1 1 1 209 209 209
222 17.951 3 1 1 1 209 209 209
222 20.053 3 1 1 1 209 209 209
222 22.489 3 2 2 2 209;211 209;211 209;211
222 25.021 3 2 2 2 209;211 209;211 209;211
222 27.566 3 2 2 2 209;211 209;211 209;211
222 30.095 3 2 1 1 211 209;211 211
222 32.21 3 3 2 2 211;214 214;209;211 214;211
222 34.886 3 2 1 1 211 214;211 211
222 37.349 3 2 2 1 211;214 214;211 211
222 39.692 3 3 2 1 211;218 214;211;218 211
222 42.961 3 3 2 1 214;211 214;211;218 211
222 45.533 3 4 0 0  214;209;211;218 
222 49.623 5 4 0 0  214;209;211;218 
222 52.047 5 3 0 0  209;211;218 
222 54.548 5 2 0 0  211;218 
222 56.933 5 2 0 0  211;218 
222 59.213 5 2 0 0  211;218 
222 62.161 5 3 1 1 209 209;211;218 209
222 65.821 6 3 1 1 209 209;211;218 209
222 68.256 6 3 0 0  209;211;218 
222 70.843 6 1 0 0  209 
222 74.272 6 2 1 0 209 209;218 
222 76.723 6 2 1 1 209 209;218 209
222 80.609 7 3 3 1 209;224;211 209;224;211 209
222 83.42 7 3 2 0 224;213 209;224;211 
222 86.641 7 4 3 3 213;209;211 213;209;224;211 213;209;211
222 89.413 7 4 1 0 211 213;209;224;211 
222 92.357 7 4 1 1 211 213;209;224;211 211
222 95.106 8 3 1 1 211 213;224;211 211
222 99.006 8 3 0 0  213;224;211 
222 101.622 8 3 0 0  213;224;211 
222 104.633 8 2 0 0  213;211 
222 107.13 8 2 0 0  213;211 
222 110.039 9 2 1 1 210 210;213 210
222 112.982 9 2 0 0  210;213 
222 115.395 9 2 0 0  210;213 
222 117.798 9 3 1 1 218 210;213;218 218
222 120.178 9 2 1 1 218 210;218 218
222 122.913 9 2 2 2 218;210 210;218 210;218
222 125.164 10 2 1 1 218 210;218 218
222 127.564 10 2 1 1 218 210;218 218
222 129.905 10 3 2 1 218;214 214;210;218 218
222 132.429 10 3 2 1 218;209 214;210;209 218
222 134.891 10 3 1 1 218 214;210;209 218
222 138.406 11 2 1 0 209 214;209 
222 141.166 11 2 0 0  214;209 
222 143.936 11 2 0 0  214;209 
222 146.459 11 2 0 0  214;209 
222 148.823 11 2 0 0  214;209 
222 151.484 11 2 0 0  214;209 
222 154.28 11 2 0 0  209;218 
222 156.582 12 2 0 0  209;218 
222 158.958 12 0 0 0   
222 161.461 12 1 1 1 210 210 210
222 163.976 12 1 1 1 210 210 210
222 166.491 12 1 1 1 210 210 210
222 169.503 13 2 1 1 226 210;226 226
222 172.559 13 2 1 1 226 210;226 226
222 175.146 13 2 1 1 226 210;226 226
222 177.668 13 1 0 0  226 
222 180.156 13 1 0 0  226 
222 182.662 13 1 0 0  226 
222 185.151 13 1 1 1 209 209 209
222 187.891 13 1 0 0  209 
222 190.2 13 1 1 1 209 209 209
222 192.757 13 1 1 1 209 209 209
222 195.252 13 1 1 1 209 209 209
222 197.802 14 1 1 1 209 209 209
222 200.333 15 1 1 1 209 209 209
222 202.792 15 1 1 1 209 209 209
222 204.813 15 1 1 1 209 209 209
222 207.346 15 1 1 1 209 209 209
222 209.85 15 1 1 1 209 209 209
222 212.378 15 1 0 0  209 
222 214.869 16 0 0 0   
222 217.358 16 0 0 0   
222 219.861 16 0 0 0   
222 222.365 16 0 0 0   
222 224.389 16 0 1 1 209  209
222 226.883 16 1 1 1 209 209 209
222 229.423 16 1 1 1 209 209 209
222 231.912 16 1 1 1 209 209 209
222 234.551 16 1 2 2 209;226 209 226;209
222 236.991 16 2 2 2 209;226 209;226 226;209
222 239.53 16 3 3 3 209;226;210 210;209;226 210;226;209
222 242.161 16 3 2 2 209;210 210;209;226 210;209
222 244.574 16 3 2 2 209;210 210;209;226 210;209
222 247.488 18 3 2 2 209;210 210;209;226 210;209
222 250.441 18 3 1 1 209 210;209;226 209
222 252.751 18 3 1 1 209 210;209;226 209
222 255.579 18 3 0 0  210;209;226 
222 258.253 18 3 0 0  210;209;226 
222 260.846 19 2 0 0  209;226 
222 263.418 19 2 0 0  209;226 
222 265.77 19 3 2 1 214;217 214;217;209 217
222 267.941 19 2 0 0  214;217 
222 270.761 19 2 1 0 210 214;217 
222 273.548 19 4 2 2 210;218 214;210;217;218 218;210
222 276.416 20 4 2 2 210;218 214;210;217;218 218;210
222 279.417 20 4 2 2 210;224 214;210;217;218 210;224
222 281.939 20 4 1 0 226 214;210;217;218 
222 284.71 20 6 1 0 226 214;210;217;224;226;218 
222 287.27 20 6 1 1 226 214;210;217;224;226;218 226
222 290.342 21 6 1 1 226 214;210;217;224;226;218 226
222 293.279 21 6 1 1 226 214;210;217;224;226;218 226
222 296.669 21 5 1 1 226 214;217;224;226;218 226
222 299.106 21 5 1 1 226 214;217;224;226;218 226
222 301.512 21 5 1 1 226 214;217;224;226;218 226
222 303.745 22 4 0 0  217;224;226;218 
222 306.264 22 4 1 1 226 217;224;226;218 226
222 308.927 22 2 0 0  224;226 
222 311.484 22 2 0 0  224;226 
222 313.915 22 1 0 0  224 
222 316.453 22 2 1 1 209 209;224 209
222 318.709 23 2 0 0  209;224 
222 320.793 23 1 0 0  209 
222 323.016 23 2 1 0 224 209;224 
222 325.616 23 3 1 1 210 210;209;224 210
222 328.272 23 3 2 2 210;211 210;209;224 211;210
222 331.125 23 5 3 1 210;211;218 210;209;224;211;218 210
222 333.632 23 5 1 1 218 210;209;224;211;218 218
222 336.763 24 5 1 1 218 210;209;224;211;218 218
222 339.276 24 5 0 0  210;209;224;211;218 
222 342.203 24 5 2 1 211;210 210;209;224;211;218 211
222 345.109 24 5 2 2 211;210 210;209;224;211;218 211;210
222 347.837 24 5 2 2 211;210 210;209;224;211;218 211;210
222 350.8 25 5 2 2 210;213 210;209;224;211;218 210;213
