ID TIME BLK #BLOCKS
214 31.06 3 1
214 36.451 4 2
214 59.81 5 1
214 77.515 7 3
214 92.81 8 1
214 100.327 8 2
214 112.186 9 1
214 142.213 10 1
214 149.105 11 1
214 158.372 12 1
214 176.31 13 1
214 181.861 13 1
214 187.961 14 1
214 200.702 15 2
214 225.553 16 3
214 238.071 17 2
214 246.917 18 1
214 262.287 19 1
214 278.879 20 1
214 287.66 20 1
214 292.402 20 1
214 295.809 21 1
214 330.389 23 2
214 345.699 24 1
214 359.739 24 4
214 414.535 28 6
214 450.438 30 2
214 487.394 33 3
214 504.34 34 1
214 516.303 35 1
