ID TIME BLK ESTIMATE W B S1 S2 S3
222 5.926 2 0.125 0 3 166 310 352
222 6.934 2 0.071 0 6 158 289 340
222 7.937 2 0.05 0 9 150 283 338
222 8.938 2 0.038 0 12 169 299 344
222 9.939 2 0.094 1 14 322 668 806
222 10.94 2 0.132 2 16 171 477 722
222 11.941 2 0.114 2 19 171 315 363
222 12.943 2 0.1 2 22 169 306 353
222 13.944 2 0.089 2 25 173 299 343
222 14.946 2 0.081 2 28 163 293 347
222 15.947 2 0.074 2 31 166 291 343
222 16.948 2 0.068 2 34 158 283 329
222 17.949 2 0.062 2 37 165 304 352
222 18.951 2 0.058 2 40 165 282 328
222 19.952 2 0.054 2 43 164 299 352
222 20.955 2 0.051 2 46 158 295 345
222 21.956 2 0.048 2 49 172 307 352
222 22.958 2 0.045 2 52 158 287 341
222 23.959 2 0.043 2 55 157 288 341
222 24.96 2 0.041 2 58 217 405 485
222 25.961 2 0.086 5 58 957 963 960
222 26.963 2 0.127 8 58 957 962 959
222 27.965 2 0.164 11 58 956 962 959
222 28.965 2 0.199 14 58 956 962 959
222 29.966 2 0.217 16 59 957 949 653
222 30.971 2 0.209 16 62 545 307 349
222 31.973 2 0.201 16 65 166 308 507
222 32.973 2 0.194 16 68 172 306 610
222 33.975 2 0.188 16 71 169 295 342
222 34.983 2 0.181 16 74 423 544 590
222 35.99 2 0.197 18 75 956 750 443
222 37.002 2 0.191 18 78 424 312 357
222 38.003 4 0.185 18 81 169 304 347
222 39.016 4 0.18 18 84 173 311 359
222 40.026 4 0.175 18 87 172 312 359
222 41.037 4 0.17 18 90 173 315 360
222 42.068 4 0.174 19 92 532 681 798
222 43.07 4 0.187 21 93 955 872 432
222 44.073 4 0.182 21 96 528 466 361
222 45.079 4 0.178 21 99 170 305 355
222 46.085 4 0.173 21 102 160 291 338
222 47.089 5 0.169 21 105 156 290 339
222 48.096 5 0.165 21 108 161 292 343
222 49.109 5 0.162 21 111 159 291 340
222 50.111 5 0.158 21 114 162 296 343
222 51.125 5 0.155 21 117 160 283 329
222 52.135 5 0.151 21 120 148 274 324
222 53.142 5 0.148 21 123 163 299 346
222 54.146 5 0.145 21 126 169 305 354
222 55.151 5 0.142 21 129 275 432 486
222 56.161 5 0.159 24 129 957 963 960
222 57.172 5 0.175 27 129 957 963 960
222 58.19 5 0.191 30 129 897 889 860
222 59.224 5 0.187 30 132 170 308 350
222 60.235 5 0.184 30 135 168 303 349
222 61.236 5 0.18 30 138 149 274 326
222 62.257 6 0.177 30 141 161 293 337
222 63.262 6 0.174 30 144 156 283 334
222 64.276 6 0.171 30 147 149 275 327
222 65.291 6 0.169 30 150 146 273 324
222 66.329 6 0.182 33 150 785 844 864
222 67.346 6 0.195 36 150 957 963 960
222 68.371 6 0.208 39 150 957 962 958
222 69.384 6 0.22 42 150 957 962 959
222 70.385 6 0.232 45 150 956 961 957
222 71.404 6 0.244 48 150 943 957 952
222 72.421 6 0.25 50 151 956 742 439
222 73.446 6 0.246 50 154 265 300 346
222 74.464 6 0.243 50 157 167 291 338
222 75.498 7 0.239 50 160 158 286 337
222 76.555 7 0.236 50 163 160 298 348
222 77.577 7 0.247 53 163 725 733 707
