ID TIME BLK %CPU CHAINDATASIZE
213 29.349 4 191495 33.74
213 39.697 5 193635 33.73
213 49.393 5 193635 33.77
213 59.377 5 193635 33.79
213 69.391 5 193635 33.77
213 79.408 5 193635 33.79
213 89.425 5 193635 33.77
213 99.415 5 193635 33.74
213 109.411 5 193635 33.72
213 119.415 5 193635 33.74
213 129.507 5 193635 33.72
213 139.435 5 193635 33.69
213 149.449 5 193635 33.67
213 159.458 5 193635 33.64
213 169.511 5 193635 33.61
213 179.908 10 202970 33.61
213 189.927 11 206298 33.7
213 199.861 11 206402 33.79
213 209.588 11 206506 33.78
213 219.643 11 206506 33.81
213 229.595 11 206506 33.78
213 239.859 11 206506 33.79
213 372.046 15 218082 34.41
213 391.246 17 224556 34.49
213 392.019 17 224556 34.49
213 402.093 20 234807 34.56
213 411.635 21 236931 34.61
213 421.747 21 238411 34.62
213 431.816 21 240006 34.62
213 441.694 22 243208 34.67
213 451.693 22 243208 34.65
213 461.87 22 243208 34.65
213 471.803 22 243208 34.66
213 481.986 24 251550 34.74
213 491.738 24 251758 34.75
213 501.908 24 251758 34.77
213 512.048 25 259620 34.85
213 521.77 25 259724 34.93
213 577.878 28 272978 35.17
213 591.424 29 275330 35.21
213 591.609 29 275330 35.21
213 601.627 29 275330 35.24
213 611.641 29 275330 35.21
213 621.654 29 275330 35.19
213 632.29 31 281549 35.25
213 642.232 31 283624 35.33
213 651.824 31 283728 35.38
213 661.763 31 283728 35.4
213 671.706 31 283728 35.42
213 681.722 33 286752 35.47
213 691.742 33 286752 35.45
213 701.73 33 286752 35.47
213 711.847 33 286752 35.44
213 751.182 38 303071 35.66
