ID TIME BLK #BLOCKS
209 126.844 5 2
209 143.055 6 2
209 155.692 7 1
209 186.901 8 1
209 194.215 10 2
209 209.86 11 1
209 221.696 12 1
209 232.753 13 1
209 277.727 14 2
209 288.279 15 1
209 317.635 16 1
209 319.348 17 1
209 367.468 19 2
209 381.397 20 1
209 407.511 22 2
209 412.87 22 1
209 418.316 22 1
209 434.12 23 1
209 439.543 24 2
209 527.868 27 4
209 627.573 28 1
209 642.529 31 4
209 675.238 33 3
209 707.912 34 3
209 718.92 35 1
209 837.075 36 1
209 845.815 40 4
209 866.196 41 2
209 978.045 43 1
209 983.446 46 3
209 1048.002 49 3
209 1065.672 50 1
209 1075.479 50 1
209 1097.199 51 1
209 1158.687 51 1
209 1163.524 54 4
209 1175.799 55 1
209 1190.139 55 1
209 1196.255 56 1
209 1256.919 57 2
209 1268.421 58 1
209 1339.492 61 3
209 1354.265 62 1
209 1546.596 63 1
209 1550.489 68 5
209 1578.383 73 6
209 1589.629 74 1
209 1608.823 75 1
209 1614.606 76 1
209 1618.291 76 1
209 1708.241 77 1
209 1712.695 78 2
209 1722.51 82 4
209 1730.868 83 1
