ID TIME BLK ESTIMATE W B S1 S2 S3
214 8.585 9 0.125 0 3 270 332 315
214 9.59 9 0.071 0 6 267 330 312
214 10.591 9 0.05 0 9 256 328 312
214 11.593 9 0.038 0 12 421 425 376
214 12.598 9 0.219 3 12 965 969 961
214 13.6 9 0.342 6 12 964 968 962
214 14.601 9 0.432 9 12 963 967 961
214 15.602 9 0.46 11 13 548 716 823
214 16.603 9 0.411 11 16 271 328 304
214 17.609 10 0.371 11 19 274 336 310
214 18.617 10 0.338 11 22 270 328 310
214 19.626 10 0.311 11 25 257 321 308
214 20.653 10 0.287 11 28 264 328 308
214 21.654 10 0.267 11 31 271 328 307
214 22.655 10 0.25 11 34 568 572 505
214 23.662 10 0.296 14 34 966 969 963
214 24.663 10 0.337 17 34 965 969 963
214 25.665 10 0.318 17 37 605 540 388
214 26.666 10 0.302 17 40 261 320 302
214 27.666 10 0.287 17 43 249 299 290
214 28.668 10 0.273 17 46 269 330 307
214 29.669 10 0.261 17 49 264 322 303
214 30.67 10 0.25 17 52 266 328 307
214 31.671 10 0.24 17 55 250 304 287
214 32.673 10 0.23 17 58 272 334 310
214 33.674 10 0.222 17 61 281 340 316
214 34.675 10 0.238 19 62 960 788 598
214 35.677 10 0.265 22 62 966 969 963
214 36.678 10 0.29 25 62 965 968 960
214 37.684 10 0.313 28 62 964 967 960
214 38.692 10 0.335 31 62 965 968 962
214 39.694 10 0.356 34 62 965 968 962
214 40.694 10 0.365 36 63 607 780 870
214 41.695 10 0.354 36 66 270 331 310
214 42.697 10 0.344 36 69 267 329 309
214 43.698 10 0.335 36 72 265 326 306
214 44.705 10 0.326 36 75 265 327 306
214 45.708 10 0.343 39 75 965 907 834
214 46.717 10 0.36 42 75 964 967 961
214 47.718 10 0.376 45 75 965 969 962
214 48.719 10 0.391 48 75 965 969 963
214 49.72 10 0.406 51 75 965 969 963
214 50.721 10 0.419 54 75 962 966 961
214 51.722 10 0.432 57 75 730 964 957
214 52.724 10 0.423 57 78 266 454 569
214 53.725 10 0.414 57 81 269 331 309
214 54.732 10 0.405 57 84 264 323 305
214 55.733 10 0.397 57 87 241 290 281
214 56.734 10 0.389 57 90 249 301 285
214 57.735 10 0.381 57 93 263 318 297
214 58.736 10 0.373 57 96 255 305 289
214 59.739 10 0.366 57 99 234 287 283
214 60.746 10 0.359 57 102 268 328 309
214 61.748 10 0.359 58 104 353 551 746
214 62.748 10 0.37 61 104 965 968 962
214 63.75 10 0.382 64 104 965 969 963
214 64.751 10 0.392 67 104 964 967 960
214 65.752 10 0.397 69 105 675 802 879
214 66.753 10 0.39 69 108 260 324 307
214 67.754 10 0.384 69 111 254 315 302
214 68.755 10 0.378 69 114 269 326 305
214 69.761 10 0.372 69 117 267 324 306
214 70.763 10 0.366 69 120 255 310 297
214 71.764 10 0.36 69 123 269 329 311
214 72.766 10 0.355 69 126 265 328 310
214 73.774 10 0.349 69 129 273 368 405
214 74.775 10 0.359 72 129 962 968 962
214 75.777 10 0.368 75 129 965 968 962
214 76.778 10 0.377 78 129 965 968 962
214 77.785 10 0.386 81 129 965 968 962
214 78.786 10 0.395 84 129 965 968 961
214 79.786 10 0.399 86 130 964 874 530
214 80.792 10 0.398 87 132 965 594 308
214 81.791 10 0.397 88 134 965 356 303
214 82.792 10 0.392 88 137 546 322 308
214 83.8 10 0.386 88 140 276 331 307
214 84.803 10 0.381 88 143 268 318 299
214 85.815 10 0.377 88 146 607 313 299
214 86.816 10 0.372 88 149 264 317 304
214 87.827 10 0.367 88 152 276 334 311
214 88.832 10 0.363 88 155 271 327 306
214 89.841 10 0.358 88 158 255 310 295
214 90.842 10 0.354 88 161 253 297 286
214 91.843 10 0.35 88 164 277 331 304
214 92.844 10 0.346 88 167 279 339 314
214 93.845 10 0.342 88 170 263 327 311
214 94.847 10 0.338 88 173 263 318 301
214 95.848 10 0.334 88 176 320 566 697
214 96.856 10 0.341 91 176 964 967 961
214 97.856 10 0.349 94 176 964 968 960
214 98.858 10 0.356 97 176 962 966 961
214 99.871 10 0.356 98 178 448 663 791
214 100.874 10 0.352 98 181 275 329 311
214 101.874 10 0.348 98 184 270 330 305
214 102.875 10 0.344 98 187 262 309 294
214 103.877 10 0.341 98 190 266 314 298
214 104.878 10 0.337 98 193 267 310 300
214 105.881 10 0.334 98 196 263 324 309
214 106.881 10 0.331 98 199 257 314 298
214 107.888 10 0.327 98 202 614 567 472
214 108.889 10 0.334 101 202 966 969 963
214 109.89 10 0.34 104 202 965 969 963
214 110.892 10 0.347 107 202 965 968 962
214 111.893 10 0.353 110 202 965 968 962
214 112.894 10 0.356 112 203 962 860 668
214 113.895 10 0.353 112 206 308 297 290
214 114.899 10 0.349 112 209 273 337 310
214 115.9 10 0.346 112 212 263 309 291
214 116.926 10 0.346 113 214 270 326 857
214 117.93 11 0.346 114 216 271 337 961
214 118.944 12 0.346 115 218 441 639 961
214 119.949 12 0.352 118 218 965 968 962
214 120.974 12 0.357 121 218 965 969 963
214 121.98 12 0.363 124 218 965 968 963
