ID TIME BLK #BLOCKS
209 17.083 4 1
209 19.413 4 1
209 31.415 5 1
209 33.87 5 1
209 45.437 6 1
209 46.911 6 1
209 61.326 7 1
209 76.491 8 1
209 79.726 8 1
209 90.839 9 1
209 107.212 10 1
209 109.274 10 1
209 121.167 11 1
209 136.465 12 1
209 140.206 12 1
209 151.955 13 1
209 154.681 13 1
209 168.548 14 1
209 170.918 14 1
209 182.916 15 1
209 184.54 15 1
209 196.922 16 1
209 210.752 17 1
209 226.531 18 1
209 229.81 18 1
209 240.228 19 1
209 256.673 20 1
209 259.887 20 2
209 271.322 21 1
209 272.724 21 1
209 287.047 22 1
209 302.175 23 1
209 304.484 23 1
