ID TIME BLK BLOCK BALANCE UBI PAY #ROBOT MEAN #VOTES #OKVOTES R? C?
218 17.702 4 4 0.01 20 0 10 5000000 0 0 False False
218 32.102 5 5 40.01 0 0 10 5000000 0 0 False False
218 47.501 6 6 40.01 0 0 10 5000000 0 0 False False
218 48.813 6 6 40.01 0 0 10 5000000 0 0 False False
218 62.402 7 7 40.01 20 0 10 5000000 0 0 False False
218 77.922 8 8 20.01 0 0 10 5000000 10 0 True False
218 92.799 9 9 20.01 0 40 10 3122301 10 10 False False
218 107.191 10 10 60.01 0 0 10 3122301 10 10 False False
218 122.946 11 11 20.01 20 0 10 3122301 15 10 False False
218 137.02 12 12 40.01 0 0 10 3122301 15 10 False False
218 152.07 13 13 40.01 0 0 10 3122301 15 10 False False
218 153.79 13 13 40.01 0 0 10 3122301 15 10 False False
218 167.449 14 14 0.01 0 0 10 3122301 25 10 True False
218 182.886 15 15 0.01 0 40 10 3168153 25 20 False False
218 184.877 15 15 0.01 0 40 10 3168153 25 20 False False
218 197.957 16 16 40.01 0 0 10 3168153 25 20 False False
218 212.357 17 17 40.01 0 0 10 3168153 33 20 True False
218 227.51 18 18 40.01 0 40 10 3150068 33 30 False True
218 242.275 19 19 80.01 20 0 10 3150068 33 30 False True
