ID TIME BLK ESTIMATE W B S1 S2 S3
218 10.759 2 0.125 0 3 256 222 241
218 11.767 2 0.071 0 6 257 216 236
218 12.779 2 0.05 0 9 254 209 229
218 13.977 2 0.038 0 12 262 216 236
218 15.162 2 0.031 0 15 258 215 235
218 16.592 3 0.026 0 18 262 219 243
218 18.446 3 0.023 0 21 256 217 242
218 20.051 3 0.02 0 24 251 210 233
218 21.414 3 0.125 3 24 760 722 776
218 22.419 3 0.21 6 24 951 861 892
218 23.532 3 0.279 9 24 954 843 842
218 24.611 3 0.257 9 27 300 220 243
218 25.957 3 0.263 10 29 919 286 241
218 26.928 3 0.291 12 30 953 865 265
218 28.406 3 0.337 15 30 952 872 869
218 29.445 3 0.378 18 30 952 853 853
218 30.604 4 0.356 18 33 472 363 351
218 31.761 4 0.336 18 36 263 220 242
218 32.767 4 0.319 18 39 259 218 237
218 33.782 4 0.303 18 42 259 218 240
218 34.818 4 0.289 18 45 257 216 239
218 35.885 4 0.276 18 48 260 218 240
218 36.97 4 0.307 21 48 783 708 726
218 37.993 4 0.336 24 48 953 862 872
218 39.429 4 0.362 27 48 954 870 884
218 40.852 4 0.386 30 48 953 864 884
218 41.902 4 0.409 33 48 830 703 714
218 43.314 4 0.394 33 51 377 310 323
218 44.617 4 0.381 33 54 265 220 239
218 45.637 5 0.368 33 57 262 222 243
218 47.22 5 0.356 33 60 265 223 246
218 48.282 5 0.345 33 63 263 222 242
218 49.289 5 0.335 33 66 261 219 240
218 50.322 5 0.325 33 69 262 216 240
218 51.372 5 0.316 33 72 268 223 244
218 52.517 5 0.307 33 75 267 235 251
218 53.597 5 0.299 33 78 265 223 245
218 54.844 5 0.291 33 81 254 214 235
218 55.845 5 0.284 33 84 269 223 241
218 57.118 5 0.277 33 87 268 229 248
218 58.291 5 0.27 33 90 264 223 243
218 59.572 5 0.264 33 93 245 206 229
218 60.764 6 0.258 33 96 254 214 236
218 62.302 6 0.252 33 99 263 220 241
218 63.907 6 0.246 33 102 264 224 246
218 65.466 6 0.241 33 105 270 228 248
218 66.836 6 0.236 33 108 267 226 250
218 67.844 6 0.231 33 111 261 220 240
218 69.101 6 0.226 33 114 261 219 242
218 70.142 6 0.222 33 117 267 222 241
218 71.231 6 0.218 33 120 260 219 592
218 72.27 6 0.22 34 122 255 548 785
218 73.531 6 0.234 37 122 852 876 885
218 74.55 6 0.248 40 122 954 871 885
218 75.87 7 0.262 43 122 946 845 858
218 77.484 7 0.275 46 122 938 852 872
218 79.378 7 0.27 46 125 460 498 606
218 80.691 7 0.266 46 128 265 221 243
218 81.97 7 0.261 46 131 256 215 237
218 82.988 7 0.257 46 134 243 207 229
218 84.366 7 0.253 46 137 261 220 240
218 85.39 7 0.249 46 140 263 220 241
218 86.851 7 0.245 46 143 260 218 239
218 88.063 7 0.241 46 146 263 220 241
218 89.58 7 0.237 46 149 393 346 394
218 91.009 8 0.249 49 149 937 824 858
218 92.701 8 0.26 52 149 955 887 905
218 93.787 8 0.271 55 149 955 893 903
218 95.103 8 0.281 58 149 955 887 897
218 96.103 8 0.277 58 152 490 411 411
218 97.193 8 0.273 58 155 263 222 242
218 98.251 8 0.27 58 158 261 222 241
218 99.27 8 0.266 58 161 264 221 241
218 100.42 8 0.262 58 164 258 219 242
218 101.499 8 0.259 58 167 258 218 242
218 102.505 8 0.255 58 170 260 218 238
218 103.831 8 0.252 58 173 261 218 238
218 105.111 9 0.249 58 176 265 222 243
218 106.856 9 0.246 58 179 264 224 242
218 107.855 9 0.243 58 182 252 214 235
218 109.239 9 0.24 58 185 250 211 232
218 110.265 9 0.237 58 188 252 212 236
218 111.839 9 0.234 58 191 262 222 243
218 112.848 9 0.231 58 194 252 212 235
218 114.034 9 0.229 58 197 253 212 235
218 115.056 9 0.226 58 200 260 219 242
