ID TIME BLK ESTIMATE W B S1 S2 S3
222 6.574 3 0.875 3 0 953 963 958
222 7.575 3 0.929 6 0 929 960 952
222 8.576 3 0.95 9 0 920 958 947
222 9.578 3 0.962 12 0 926 958 943
222 10.579 3 0.906 14 1 696 762 755
222 11.581 3 0.763 14 4 354 475 504
222 12.582 3 0.795 17 4 914 958 946
222 13.583 3 0.82 20 4 931 961 952
222 14.586 3 0.839 23 4 763 949 886
222 15.595 4 0.855 26 4 782 948 864
222 16.606 4 0.868 29 4 826 951 892
222 17.607 4 0.878 32 4 805 951 905
222 18.622 4 0.887 35 4 770 949 888
222 19.623 4 0.895 38 4 771 949 890
222 20.625 4 0.902 41 4 786 950 899
222 21.625 4 0.908 44 4 790 950 902
222 22.626 4 0.913 47 4 792 949 904
222 23.628 4 0.918 50 4 791 949 902
222 24.629 4 0.922 53 4 793 950 903
222 25.63 4 0.926 56 4 793 950 904
222 26.632 4 0.93 59 4 792 950 903
222 27.633 4 0.933 62 4 792 950 903
222 28.634 4 0.936 65 4 793 950 903
222 29.635 4 0.938 68 4 793 950 904
222 30.636 4 0.941 71 4 794 950 904
222 31.643 5 0.943 74 4 793 950 905
222 32.655 5 0.945 77 4 795 951 906
222 33.655 5 0.947 80 4 794 951 905
222 34.657 5 0.949 83 4 795 951 905
222 35.658 5 0.951 86 4 795 951 906
222 36.659 5 0.952 89 4 795 951 906
222 37.66 5 0.954 92 4 795 951 905
222 38.662 5 0.955 95 4 795 951 905
222 39.663 5 0.956 98 4 822 953 915
222 40.664 5 0.958 101 4 952 964 960
222 41.665 5 0.959 104 4 952 964 960
222 42.667 5 0.96 107 4 952 964 960
222 43.668 5 0.961 110 4 952 964 960
222 44.669 5 0.962 113 4 952 964 960
222 45.67 5 0.963 116 4 952 964 960
222 46.67 5 0.964 119 4 953 964 960
222 47.672 5 0.965 122 4 953 964 960
222 48.677 5 0.965 125 4 953 964 960
222 49.678 5 0.966 128 4 953 964 960
222 50.68 5 0.967 131 4 953 964 960
222 51.68 5 0.968 134 4 953 964 960
222 52.686 5 0.968 137 4 953 964 960
222 53.687 5 0.969 140 4 953 964 960
222 54.691 5 0.97 143 4 953 964 960
222 55.698 5 0.97 146 4 952 963 959
222 56.7 5 0.971 149 4 953 964 960
222 57.701 5 0.971 152 4 953 964 960
222 58.702 5 0.972 155 4 953 964 960
222 59.703 5 0.972 158 4 953 964 960
222 60.704 5 0.973 161 4 953 964 960
222 61.705 5 0.973 164 4 953 964 960
222 62.706 5 0.974 167 4 953 964 960
222 63.708 5 0.974 170 4 953 964 960
222 64.709 5 0.975 173 4 953 964 960
222 65.713 5 0.975 176 4 952 964 960
222 66.714 5 0.976 179 4 952 964 960
222 67.715 5 0.976 182 4 953 964 960
222 68.717 5 0.976 185 4 953 964 960
222 69.718 5 0.977 188 4 953 964 960
222 70.724 5 0.977 191 4 953 964 960
222 71.726 5 0.977 194 4 953 964 960
222 72.729 5 0.978 197 4 953 964 960
222 73.73 5 0.978 200 4 953 964 960
222 74.737 5 0.978 203 4 953 964 960
222 75.738 5 0.979 206 4 953 964 960
222 76.74 5 0.979 209 4 953 964 960
222 77.741 5 0.979 212 4 953 964 960
222 78.742 5 0.98 215 4 953 964 960
222 79.749 5 0.98 218 4 952 964 960
222 80.751 5 0.98 221 4 952 964 960
222 81.752 5 0.98 224 4 953 964 960
222 82.755 5 0.981 227 4 953 964 960
222 83.762 5 0.981 230 4 952 964 960
222 84.763 5 0.981 233 4 952 964 960
222 85.765 5 0.981 236 4 953 964 960
222 86.771 5 0.982 239 4 952 963 960
222 87.772 5 0.982 242 4 952 963 960
222 88.773 5 0.982 245 4 952 963 960
222 89.781 5 0.982 248 4 952 963 960
222 90.782 5 0.982 251 4 952 963 960
222 91.783 5 0.983 254 4 952 963 960
222 92.79 5 0.983 257 4 952 963 960
222 93.791 5 0.983 260 4 952 964 960
222 94.793 5 0.983 263 4 952 964 960
222 95.794 5 0.983 266 4 952 964 960
222 96.795 5 0.984 269 4 952 964 960
222 97.796 5 0.984 272 4 952 964 960
222 98.797 5 0.984 275 4 952 964 960
222 99.8 5 0.984 278 4 952 964 960
222 100.8 5 0.984 281 4 952 964 960
222 101.801 5 0.984 284 4 952 964 960
222 102.802 5 0.985 287 4 952 964 960
222 103.803 5 0.985 290 4 952 964 960
222 104.811 5 0.985 293 4 952 964 960
222 105.819 5 0.985 296 4 952 964 960
222 106.82 5 0.985 299 4 952 964 960
222 107.829 5 0.985 302 4 952 964 960
222 108.829 5 0.985 305 4 924 961 951
222 109.839 5 0.986 308 4 952 964 960
222 110.841 5 0.986 311 4 952 964 960
222 111.843 5 0.986 314 4 952 964 960
222 112.845 5 0.986 317 4 952 964 960
222 113.851 5 0.986 320 4 952 964 960
222 114.852 5 0.986 323 4 952 964 960
222 115.853 5 0.986 326 4 952 964 960
222 116.854 5 0.987 329 4 952 964 960
222 117.857 5 0.987 332 4 952 964 960
222 118.858 5 0.987 335 4 952 964 960
222 119.86 5 0.987 338 4 952 964 960
222 120.861 5 0.987 341 4 952 964 960
222 121.867 5 0.987 344 4 952 964 960
222 122.868 5 0.987 347 4 952 964 960
222 123.878 5 0.987 350 4 952 964 960
222 124.881 5 0.987 353 4 952 964 960
222 125.882 5 0.988 356 4 952 964 960
222 126.883 5 0.988 359 4 952 964 960
222 127.885 5 0.988 362 4 952 964 960
222 128.887 5 0.988 365 4 952 964 960
222 129.896 5 0.988 368 4 952 964 960
222 130.897 6 0.988 371 4 952 964 960
222 131.909 7 0.988 374 4 952 964 960
222 132.923 7 0.988 377 4 952 964 960
222 133.931 7 0.988 380 4 952 964 960
222 134.943 7 0.988 383 4 952 964 960
222 135.954 7 0.988 386 4 952 964 960
222 136.965 7 0.989 389 4 952 964 960
222 137.966 7 0.989 392 4 952 964 960
222 138.967 7 0.989 395 4 952 964 960
222 139.968 7 0.989 398 4 952 964 960
222 140.97 7 0.989 401 4 952 964 960
222 141.972 7 0.989 404 4 952 964 960
222 142.973 7 0.989 407 4 952 964 960
222 143.974 7 0.989 410 4 952 964 960
222 144.975 7 0.989 413 4 952 964 960
222 145.976 7 0.989 416 4 952 964 960
222 146.978 7 0.989 419 4 952 964 960
222 147.979 7 0.989 422 4 952 964 960
222 148.981 7 0.99 425 4 952 964 960
222 149.982 7 0.99 428 4 952 964 960
222 150.983 7 0.99 431 4 952 964 960
222 151.985 7 0.99 434 4 952 964 960
222 152.985 7 0.99 437 4 952 964 960
222 153.987 7 0.99 440 4 952 964 960
222 154.988 7 0.99 443 4 952 964 960
222 155.989 7 0.99 446 4 952 964 960
222 156.99 7 0.99 449 4 952 964 960
222 157.991 7 0.99 452 4 952 964 960
222 158.993 7 0.99 455 4 952 964 960
222 159.994 7 0.99 458 4 952 964 960
222 160.996 7 0.99 461 4 952 964 960
222 161.996 7 0.99 464 4 952 964 960
222 162.998 7 0.99 467 4 952 964 960
222 163.999 7 0.991 470 4 952 964 960
222 164.999 7 0.991 473 4 952 964 960
222 166.0 7 0.991 476 4 952 964 960
222 167.002 7 0.991 479 4 952 964 960
