ID TIME BLK %CPU CHAINDATASIZE
222 132.492 7 170116 26.97
222 135.456 7 170116 27.09
222 179.319 7 170220 26.84
222 224.364 7 170220 26.43
222 269.373 7 170220 26.05
222 314.402 7 170220 25.71
222 359.454 7 170220 25.36
222 404.488 7 170220 25.04
222 449.539 7 170220 24.72
222 494.65 10 173650 24.99
222 539.828 11 174797 24.77
222 587.588 15 180022 25.36
222 629.804 17 187892 26.28
222 677.854 21 197334 27.3
222 732.399 24 201633 27.82
222 764.83 25 203123 28.15
222 857.651 29 211345 29.76
222 873.503 30 215098 30.19
