ID TIME BLK BLOCK BALANCE UBI PAY #ROBOT MEAN #VOTES #OKVOTES R? C?
222 17.87 4 4 0.01 20 0 3 5000000 0 0 False False
222 31.999 5 5 40.01 0 0 3 5000000 0 0 False False
222 133.259 7 6 0.01 20 0 3 5000000 2 0 False False
222 136.075 7 7 0.01 20 0 3 5000000 2 0 False False
222 472.685 9 8 20.01 0 0 3 5000000 2 0 False False
222 473.835 9 9 20.01 0 0 3 5000000 2 0 False False
222 486.276 10 10 20.01 0 0 3 5000000 2 0 False False
222 502.547 11 11 20.01 20 0 3 5000000 2 0 False False
222 543.4 12 12 20.01 20 0 3 5000000 2 0 False False
222 558.283 13 13 40.01 0 0 3 5000000 2 0 False False
222 576.793 14 14 40.01 0 0 3 5000000 2 0 False False
222 587.963 15 15 0.01 0 0 3 5000000 3 0 True False
222 603.846 16 16 0.01 0 0 3 5000000 3 0 True False
222 618.343 17 17 0.01 0 80 3 8744321 4 3 False False
222 623.763 17 17 0.01 0 80 3 8744321 4 3 False False
222 632.353 18 18 80.01 0 0 3 8744321 4 3 False False
222 648.74 19 19 80.01 20 0 3 8744321 6 3 True False
222 664.678 20 20 100.01 0 0 3 8973726 6 6 False False
222 669.071 20 20 100.01 0 0 3 8973726 6 6 False False
222 679.542 21 21 60.01 0 0 3 8973726 7 6 False False
222 712.298 23 22 60.01 0 0 3 8973726 8 6 False False
222 714.235 23 23 60.01 0 0 3 8973726 8 6 False False
222 733.163 24 24 20.01 0 0 3 8973726 10 6 True False
222 742.206 25 25 20.01 0 40 3 8772404 11 9 False False
222 774.534 27 25 60.01 0 0 3 8772404 11 9 False False
222 777.624 27 26 60.01 0 0 3 8772404 11 9 False False
222 781.708 27 27 60.01 0 0 3 8772404 11 9 False False
222 845.728 28 28 60.01 0 40 3 9066907 12 12 False False
222 849.985 28 28 60.01 0 40 3 9066907 12 12 False False
222 859.766 29 29 60.01 0 0 3 9066907 13 12 False False
222 864.806 29 29 60.01 0 0 3 9066907 13 12 False False
222 875.284 30 30 20.01 0 0 3 9066907 15 12 True False
