ID TIME BLK #BUFFER #GETH #ALLOWED BUFFERPEERS GETHPEERS ALLOWED
210 6.23 2 0 0 0   
210 8.584 2 0 1 1 224  224
210 11.141 2 1 1 1 224 224 224
210 13.595 2 1 1 1 224 224 224
210 15.684 3 1 1 1 224 224 224
210 18.221 3 1 0 0  224 
210 20.68 3 1 0 0  224 
210 23.17 3 0 0 0   
210 25.188 3 0 0 0   
210 27.691 3 0 0 0   
210 29.706 3 0 0 0   
210 32.209 3 0 0 0   
210 34.227 3 0 0 0   
210 36.724 3 0 0 0   
210 39.235 3 0 0 0   
210 41.736 3 0 0 0   
210 44.243 3 0 0 0   
210 46.756 3 0 1 1 224  224
210 49.279 3 1 1 1 224 224 224
210 51.917 3 1 1 1 224 224 224
210 54.405 4 1 1 1 224 224 224
210 56.936 4 1 2 2 224;218 224 218;224
210 59.418 4 2 2 2 224;218 224;218 218;224
210 61.725 4 2 3 3 218;209;224 224;218 209;218;224
210 64.55 4 3 3 3 218;209;224 224;218;209 209;218;224
210 67.011 4 3 2 2 209;224 224;218;209 209;224
210 69.17 4 2 2 2 224;226 224;209 226;224
210 71.616 4 3 2 2 224;226 224;226;209 226;224
210 74.843 6 3 2 2 224;226 224;226;209 226;224
210 77.569 6 2 1 1 226 226;209 226
210 79.845 7 1 1 1 226 226 226
210 82.095 7 1 1 1 226 226 226
210 85.645 7 2 0 0  224;226 
210 88.176 7 2 2 1 226;224 224;226 226
210 90.648 7 2 2 2 226;224 224;226 224;226
210 93.141 7 2 1 1 224 224;226 224
210 96.411 8 3 2 2 214;209 224;214;226 214;209
210 100.762 8 4 2 1 209;226 224;214;226;209 209
210 103.79 8 3 1 0 226 224;214;209 
210 106.717 8 3 1 1 226 214;226;209 226
210 109.088 8 2 1 1 226 214;226 226
210 112.657 9 3 1 0 213 214;213;226 
210 115.778 9 3 1 1 224 214;213;226 224
210 118.332 9 2 1 1 213 214;213 213
210 121.167 9 2 0 0  214;213 
210 124.091 9 2 0 0  214;213 
210 126.762 10 2 2 2 226;224 214;213 226;224
210 129.959 10 3 2 2 226;224 214;213;226 226;224
210 133.05 10 3 2 2 226;217 217;214;209 226;217
210 135.691 10 3 1 1 217 217;214;209 217
210 138.81 10 2 0 0  217;209 
210 141.868 11 2 0 0  217;209 
210 144.478 11 1 0 0  217 
210 147.217 11 1 0 0  217 
210 149.581 11 1 0 0  217 
210 151.896 11 1 0 0  217 
210 154.317 11 1 0 0  217 
210 156.802 11 1 0 0  217 
210 159.057 11 0 1 1 211  211
210 161.52 11 1 1 1 211 211 211
210 163.868 12 2 3 2 226;211;217 211;226 211;226
210 166.918 12 2 2 2 226;217 211;226 226;217
210 169.632 12 3 2 2 226;217 211;217;226 226;217
210 172.417 12 3 0 0  211;217;226 
210 175.167 13 3 0 0  211;217;226 
210 177.747 13 3 0 0  211;217;226 
210 180.386 13 3 1 0 211 211;217;226 
210 182.786 13 2 1 1 211 211;226 211
210 185.442 13 2 0 0  211;226 
210 188.079 14 1 0 0  226 
210 190.686 14 2 1 1 214 214;226 214
210 193.272 14 2 1 1 214 217;214 214
210 195.656 14 1 1 1 214 214 214
210 198.076 14 1 1 1 214 214 214
210 200.298 14 1 1 1 214 214 214
210 202.922 14 1 1 1 214 214 214
210 205.129 14 0 1 1 226  226
210 207.572 14 1 2 2 226;224 226 226;224
210 209.74 14 2 2 2 226;224 224;226 226;224
210 212.502 14 2 2 2 226;224 224;226 226;224
210 215.251 15 3 3 1 224;226;213 224;213;226 224
210 218.058 16 3 2 2 226;213 224;213;226 226;213
210 220.68 16 3 2 2 226;213 224;213;226 226;213
210 223.285 16 2 1 1 226 224;213 226
210 225.808 16 2 0 0  224;213 
210 228.152 16 2 1 1 209 213;209 209
210 230.754 17 2 2 1 209;224 213;209 209
210 233.769 17 2 2 2 209;224 213;209 209;224
210 236.201 17 2 3 2 209;224;222 213;209 209;224
210 239.098 17 3 3 3 209;224;222 222;213;209 209;222;224
210 242.087 17 3 2 2 209;222 222;213;209 209;222
210 244.997 18 3 2 1 222;224 224;222;209 222
210 248.027 18 3 1 0 222 224;222;209 
210 250.775 18 3 2 2 224;222 224;222;209 222;224
210 255.33 18 3 2 2 224;222 224;222;209 222;224
210 257.76 18 2 2 2 222;209 224;222 209;222
210 260.703 19 2 1 1 209 224;222 209
210 263.696 19 3 1 1 222 224;222;209 222
210 267.075 19 3 2 1 222;211 224;222;209 222
210 270.408 19 4 1 1 222 224;211;222;209 222
210 272.814 19 3 0 0  211;222;209 
210 275.353 19 2 0 0  211;222 
210 279.025 20 2 1 0 213 211;222 
210 283.093 20 3 1 0 224 211;222;213 
210 285.753 20 3 2 2 218;213 224;211;213 213;218
210 288.692 20 4 2 2 213;217 224;211;217;213 213;217
210 291.08 20 3 1 1 217 211;217;213 217
210 295.174 21 3 0 0  211;217;213 
210 297.705 21 3 0 0  211;217;213 
210 300.635 21 3 1 1 226 211;217;226 226
210 302.838 21 2 1 1 226 217;226 226
