ID TIME BLK ESTIMATE W B S1 S2 S3
217 5.511 2 0.875 3 0 955 965 946
217 6.516 2 0.929 6 0 953 957 890
217 7.518 2 0.95 9 0 958 962 942
217 8.52 2 0.885 11 1 657 960 944
217 9.521 2 0.844 13 2 217 957 936
217 10.522 2 0.816 15 3 219 958 945
217 11.538 2 0.841 18 3 954 959 936
217 12.554 2 0.86 21 3 798 947 934
217 13.59 2 0.768 21 6 215 231 314
217 14.592 2 0.694 21 9 217 228 160
217 15.63 2 0.632 21 12 217 229 165
217 16.648 3 0.581 21 15 588 430 177
217 17.68 3 0.613 24 15 955 956 925
217 18.685 3 0.64 27 15 951 956 938
217 19.693 3 0.663 30 15 952 962 942
217 20.713 3 0.622 30 18 625 433 205
217 21.735 3 0.606 31 20 900 688 354
217 22.743 3 0.627 34 20 958 958 930
217 23.764 3 0.647 37 20 957 958 942
217 24.765 3 0.615 37 23 640 462 250
217 25.778 3 0.586 37 26 426 243 200
217 26.8 3 0.604 40 26 956 961 744
217 27.802 3 0.621 43 26 959 962 944
217 28.829 3 0.637 46 26 957 960 931
217 29.845 3 0.638 48 27 923 924 644
217 30.849 3 0.652 51 27 952 955 806
217 31.855 4 0.665 54 27 955 961 899
217 32.882 4 0.665 56 28 784 715 397
217 33.887 3 0.642 56 31 249 214 196
217 34.913 3 0.621 56 34 237 207 167
217 35.937 4 0.601 56 37 243 194 206
217 36.954 4 0.582 56 40 221 205 190
217 37.958 4 0.575 57 42 316 535 753
217 39.039 4 0.587 60 42 958 961 941
217 40.055 4 0.571 60 45 365 518 616
217 41.058 4 0.555 60 48 236 239 172
217 42.094 4 0.54 60 51 225 237 195
217 43.099 4 0.526 60 54 225 227 174
217 44.119 4 0.513 60 57 216 219 171
217 45.122 4 0.5 60 60 216 250 406
217 46.153 4 0.512 63 60 767 960 943
217 47.154 4 0.524 66 60 956 960 940
217 48.159 4 0.535 69 60 953 960 927
217 49.172 5 0.545 72 60 960 959 946
217 50.182 5 0.555 75 60 955 962 943
217 51.189 5 0.565 78 60 813 958 946
217 52.19 5 0.553 78 63 213 256 366
217 53.191 5 0.541 78 66 198 205 175
217 54.195 5 0.53 78 69 210 251 174
217 55.199 5 0.52 78 72 205 224 182
217 56.208 5 0.51 78 75 205 217 178
217 57.219 5 0.5 78 78 196 211 176
217 58.227 5 0.491 78 81 316 377 389
217 59.229 5 0.5 81 81 957 959 944
217 60.261 5 0.509 84 81 957 959 931
217 61.281 5 0.518 87 81 956 961 936
217 62.307 5 0.526 90 81 950 956 897
217 63.328 5 0.534 93 81 957 959 798
217 64.355 5 0.525 93 84 456 331 159
217 65.367 5 0.517 93 87 206 254 176
217 66.382 5 0.508 93 90 225 227 168
217 67.426 5 0.5 93 93 218 230 180
217 68.559 5 0.492 93 96 208 222 178
217 69.56 5 0.484 93 99 210 238 165
217 70.566 5 0.477 93 102 417 566 632
