ID TIME BLK #BLOCKS
217 16.998 3 1
217 31.828 4 1
217 41.033 4 3
217 49.511 5 1
217 103.147 8 1
217 122.977 9 4
217 163.842 12 3
217 192.973 14 2
217 211.021 15 2
217 222.309 16 4
217 230.633 17 1
217 246.483 18 1
217 261.213 19 4
217 283.948 20 1
217 298.078 21 1
217 306.069 22 1
217 320.397 23 1
217 335.5 24 1
217 337.287 24 1
217 350.992 25 2
217 364.987 26 1
217 379.082 27 1
217 422.054 29 2
217 431.027 30 2
217 440.133 31 1
217 471.782 33 2
217 483.691 33 1
217 485.95 34 1
217 503.781 35 1
217 512.143 35 1
217 525.47 36 1
217 541.571 37 1
217 561.864 38 2
