ID TIME BLK #BUFFER #GETH #ALLOWED BUFFERPEERS GETHPEERS ALLOWED
209 6.377 4 0 0 0   
209 6.697 4 0 1 0 224  
209 7.257 4 1 2 2 224;222 224 224;222
209 7.705 4 1 2 2 224;222 224 224;222
209 8.283 4 1 2 2 224;222 224 224;222
209 8.744 4 1 2 2 224;222 224 224;222
209 9.378 4 2 2 1 224;222 222;224 224
209 9.76 4 2 2 2 224;222 222;224 224;222
209 10.33 4 2 2 2 224;222 222;224 224;222
209 10.949 4 2 1 1 222 222;224 222
209 11.411 4 2 1 1 222 222;224 222
209 11.848 4 2 1 1 222 222;224 222
209 12.386 4 2 1 1 222 222;224 222
209 12.802 4 2 1 1 222 222;224 222
209 13.452 4 2 1 1 222 222;224 222
209 13.866 4 2 1 1 222 222;224 222
209 14.437 4 2 1 1 222 222;224 222
209 14.833 4 2 1 1 222 222;224 222
209 15.397 4 2 1 1 222 222;224 222
209 15.838 4 2 1 1 222 222;224 222
209 16.604 5 2 1 1 222 222;224 222
209 17.845 5 2 1 1 222 222;224 222
209 18.498 5 1 1 1 210 222 210
209 18.934 5 1 1 1 210 222 210
209 19.372 5 1 1 1 210 222 210
209 20.154 5 2 2 2 210;222 222;210 210;222
209 20.877 5 2 2 1 210;222 222;210 222
209 21.43 5 2 2 1 210;222 222;210 222
209 22.116 5 2 2 2 210;222 222;210 210;222
209 22.675 5 2 2 2 210;222 222;210 210;222
209 23.173 5 2 2 2 210;222 222;210 210;222
209 23.88 5 2 2 2 210;222 222;210 210;222
209 25.1 5 2 1 1 210 222;210 210
209 25.921 5 2 2 2 210;214 222;210 214;210
209 27.074 5 3 2 2 210;214 214;222;210 214;210
209 28.222 5 3 2 2 210;214 214;222;210 214;210
209 29.933 5 3 1 1 214 214;222;210 214
209 31.097 5 3 1 1 214 214;222;210 214
209 32.005 6 2 1 1 214 214;210 214
209 32.635 6 2 1 1 214 214;210 214
209 33.424 6 2 2 2 214;213 214;210 214;213
209 34.5 6 3 2 1 214;213 214;213;210 214
209 35.439 6 3 2 1 214;213 214;213;210 214
209 36.709 6 3 2 1 214;213 214;213;210 214
209 38.225 6 3 1 1 213 214;213;210 213
209 39.364 6 3 0 0  214;213;210 
209 40.128 6 3 0 0  214;213;210 
209 41.063 6 3 0 0  214;213;210 
209 41.901 6 3 0 0  214;213;210 
209 42.718 6 3 0 0  214;213;210 
209 43.777 6 3 1 1 214 214;213;210 214
209 44.975 6 4 2 1 214;210 214;222;213;210 210
209 46.074 6 4 2 2 214;210 214;222;213;210 214;210
209 47.556 7 3 2 2 214;210 214;213;210 214;210
209 49.19 7 3 2 2 214;210 214;213;210 214;210
209 51.954 7 3 2 2 210;211 214;213;210 211;210
209 55.589 7 3 3 2 211;213;214 211;214;213 211;214
209 59.146 7 3 3 3 213;214;226 211;214;213 214;226;213
209 62.488 8 3 2 1 214;222 211;214;213 214
209 64.181 8 2 1 1 222 211;214 222
209 65.925 8 2 1 1 222 211;213 222
209 67.068 8 2 1 1 222 211;222 222
209 68.492 8 2 1 1 222 211;222 222
209 70.401 8 2 0 0  211;222 
209 71.505 8 2 1 1 213 211;222 213
209 73.068 8 3 1 1 213 211;222;213 213
209 74.468 8 3 2 2 213;222 211;222;213 222;213
209 76.456 9 3 2 1 213;222 211;222;213 213
