ID TIME BLK ESTIMATE W B S1 S2 S3
210 6.121 4 0.875 3 0 951 959 946
210 7.122 4 0.786 5 1 830 861 691
210 8.135 4 0.55 5 4 227 291 262
210 9.142 4 0.423 5 7 191 287 260
210 10.151 4 0.344 5 10 187 284 258
210 11.161 4 0.289 5 13 189 285 259
210 12.168 4 0.25 5 16 191 288 260
210 13.184 4 0.22 5 19 191 288 260
210 14.193 4 0.196 5 22 179 274 252
210 15.201 4 0.177 5 25 176 269 249
210 16.215 5 0.162 5 28 190 287 261
210 17.245 5 0.149 5 31 186 282 257
210 18.279 5 0.138 5 34 169 260 244
210 19.3 5 0.128 5 37 165 256 240
210 20.304 5 0.12 5 40 173 266 246
210 21.315 5 0.112 5 43 185 278 253
210 22.355 5 0.106 5 46 171 266 250
210 23.383 5 0.1 5 49 183 279 254
210 24.449 5 0.095 5 52 186 277 254
210 25.583 5 0.09 5 55 190 287 261
210 26.659 5 0.086 5 58 339 288 256
210 27.659 5 0.127 8 58 950 957 709
210 28.686 5 0.164 11 58 952 958 946
210 29.735 5 0.199 14 58 951 958 940
210 30.782 6 0.23 17 58 910 940 902
210 31.883 6 0.234 18 60 731 623 495
210 32.925 6 0.226 18 63 190 288 260
210 33.958 6 0.218 18 66 192 290 262
210 34.976 6 0.21 18 69 191 289 264
210 36.02 6 0.203 18 72 192 293 263
210 37.038 6 0.218 20 73 951 810 420
210 38.151 6 0.232 22 74 810 756 672
210 39.179 6 0.225 22 77 192 287 260
210 40.194 6 0.218 22 80 190 287 259
210 41.214 6 0.212 22 83 187 268 248
210 42.232 6 0.225 24 84 944 712 293
210 43.242 6 0.219 24 87 293 287 260
210 44.245 6 0.213 24 90 190 285 260
210 45.253 6 0.208 24 93 180 274 253
210 46.288 7 0.202 24 96 500 531 468
210 47.582 7 0.222 27 96 952 959 945
210 48.669 7 0.24 30 96 952 959 945
210 49.715 7 0.258 33 96 947 957 927
210 50.763 7 0.267 35 97 935 763 534
210 51.774 7 0.261 35 100 193 290 262
210 52.784 7 0.255 35 103 190 288 260
210 53.879 7 0.25 35 106 189 284 259
210 54.9 7 0.245 35 109 192 288 519
210 56.013 7 0.247 36 111 193 301 944
210 57.027 7 0.255 38 112 197 919 944
210 58.035 7 0.263 40 113 696 959 939
210 59.039 7 0.277 43 113 952 959 944
210 60.159 7 0.284 45 114 689 945 918
210 61.239 8 0.285 46 116 196 631 942
210 62.573 8 0.28 46 119 197 347 413
210 63.957 8 0.287 48 120 841 921 698
210 64.985 8 0.299 51 120 942 956 911
210 65.994 8 0.306 53 121 772 771 662
210 67.0 8 0.301 53 124 179 274 251
210 68.037 8 0.296 53 127 192 291 264
210 69.043 8 0.291 53 130 205 323 288
210 70.091 8 0.302 56 130 934 954 900
210 71.106 8 0.313 59 130 863 933 825
210 72.111 8 0.324 62 130 908 916 894
210 73.113 8 0.319 62 133 185 337 564
210 74.127 8 0.314 62 136 184 279 257
210 75.148 8 0.309 62 139 191 289 260
210 76.15 9 0.305 62 142 193 291 265
210 77.157 9 0.3 62 145 195 289 261
210 78.175 9 0.296 62 148 447 571 600
210 79.18 9 0.306 65 148 951 959 935
210 80.211 9 0.316 68 148 952 960 945
210 81.225 9 0.325 71 148 952 958 943
210 82.249 9 0.321 71 151 262 407 382
210 83.28 9 0.316 71 154 177 269 250
210 84.31 9 0.312 71 157 185 280 255
210 85.311 9 0.308 71 160 184 281 258
210 86.338 9 0.304 71 163 183 280 257
210 87.354 9 0.3 71 166 475 480 280
210 88.375 9 0.309 74 166 952 959 943
210 89.382 9 0.318 77 166 952 959 946
210 90.384 9 0.326 80 166 952 959 947
210 91.397 9 0.334 83 166 951 958 943
210 92.398 10 0.33 83 169 477 305 269
210 93.402 10 0.326 83 172 190 287 261
210 94.412 10 0.322 83 175 189 284 260
210 95.463 10 0.319 83 178 173 265 247
210 96.487 10 0.315 83 181 181 275 253
210 97.503 10 0.312 83 184 187 284 258
210 98.517 10 0.308 83 187 186 281 259
210 99.533 10 0.305 83 190 186 284 258
210 100.538 10 0.301 83 193 183 279 255
210 101.606 10 0.298 83 196 185 282 257
210 102.658 10 0.295 83 199 184 278 255
210 103.669 10 0.292 83 202 188 283 274
210 104.678 10 0.289 83 205 186 280 256
210 105.692 10 0.286 83 208 189 283 256
210 106.759 10 0.283 83 211 188 283 258
210 107.761 11 0.28 83 214 190 285 259
210 108.77 11 0.277 83 217 190 288 261
210 109.823 11 0.275 83 220 193 290 264
210 111.057 11 0.272 83 223 575 602 523
210 112.085 11 0.279 86 223 937 957 923
210 113.121 11 0.286 89 223 936 957 943
210 114.133 11 0.283 89 226 488 497 339
210 115.148 11 0.281 89 229 189 282 238
210 116.211 11 0.278 89 232 193 290 260
210 117.359 11 0.278 90 234 473 504 764
210 118.918 11 0.285 93 234 941 955 901
210 119.959 11 0.292 96 234 952 959 946
210 120.973 11 0.298 99 234 951 958 945
210 122.075 11 0.304 102 234 814 896 755
210 123.077 11 0.304 103 236 678 790 652
210 124.266 12 0.302 103 239 495 578 647
210 125.279 12 0.299 103 242 195 287 262
210 126.284 12 0.297 103 245 192 287 263
210 127.347 12 0.294 103 248 188 286 260
210 128.411 12 0.3 106 248 762 834 812
210 129.521 12 0.306 109 248 951 958 939
210 130.63 12 0.312 112 248 951 958 940
210 131.784 12 0.309 112 251 509 322 267
210 133.008 12 0.307 112 254 183 275 252
210 134.059 12 0.304 112 257 182 279 253
210 135.217 12 0.302 112 260 188 285 260
210 137.19 13 0.299 112 263 186 281 257
210 138.954 13 0.299 113 265 743 654 488
210 140.469 13 0.305 116 265 952 959 945
210 141.503 13 0.303 116 268 572 675 532
210 142.966 13 0.3 116 271 185 278 314
210 144.439 13 0.298 116 274 185 283 263
210 146.328 13 0.296 116 277 186 282 258
210 147.518 13 0.293 116 280 182 274 251
210 148.856 13 0.291 116 283 178 271 251
210 150.019 14 0.294 118 284 864 741 437
210 155.4 14 0.299 121 284 762 908 942
210 156.726 14 0.304 124 284 952 959 945
210 158.952 14 0.309 127 284 941 958 943
210 160.484 14 0.312 129 285 568 887 913
210 161.56 14 0.317 132 285 951 958 944
210 162.584 14 0.322 135 285 951 957 937
210 163.622 14 0.322 136 287 758 573 369
210 164.652 14 0.32 136 290 189 285 259
210 166.079 15 0.317 136 293 190 287 260
210 167.203 15 0.315 136 296 192 290 266
210 168.487 15 0.315 137 298 358 642 874
210 169.498 15 0.313 137 301 188 284 270
210 170.689 15 0.311 137 304 456 601 628
210 171.742 15 0.316 140 304 949 957 922
210 172.778 15 0.32 143 304 937 958 927
210 173.809 15 0.325 146 304 777 848 886
